"","x","dPSI_iPSC_1755497_3x","x","dPSI_iPSC_1949634_3x","x","dPSI_iPSC_2006152_3x","x","dPSI_iPSC_2059811_3x","x","dPSI_iPSC_2060573_3x","x","dPSI_iPSC_2060884_3x","x","dPSI_iPSC_2070692_3x","x","dPSI_iPSC_2135644_3x","x","dPSI_iPSC_2136770_3x","x","dPSI_NGN2_1755497_3x","x","dPSI_NGN2_1949634_3x","x","dPSI_NGN2_2006152_3x","x","dPSI_NGN2_2059811_3xM","x","dPSI_NGN2_2060573_3x","x","dPSI_NGN2_2060884_3x","x","dPSI_NGN2_2070692_3x","x","dPSI_NGN2_2135644_3x","x","dPSI_NGN2_2136770_3x"
"1","AC104109.3",0.692673052,"AC009022.1",0.999999999830344,"ARL15",0.720538851426466,"SNAP23",0.951,"ASAP1",0.985,"MLLT10",0.99803851520543,"ASAP1",0.991,"ASAP1",0.893,"COL4A5",0.922115581792976,"POMT2",0.803,"PCDH10",0.996197042703382,"LIMCH1",0.848,"POMT2",1,"CRYL1",0.997,"ELP4",1,"LINC02210",0.998,"POMT2",0.994,"PPIP5K1",0.999999274368506
"2","C12orf4",0.521187329,"TASP1",0.999999999801612,"C12orf4",0.664335025780151,"POMT2",0.95,"AC009022.1",0.967176879399474,"ASAP1",0.996,"AC009022.1",0.967066990891069,"POMT2",0.884,"GALC",0.92045329756216,"LIMCH1",0.796,"C12orf4",0.995025935819875,"POMT2",0.772,"GCFC2",0.986903499431332,"PMS1",0.994040942702296,"POMT2",1,"MLLT10",0.988734329648376,"EVC",0.969036334473302,"POMT2",0.98
"3","ARL15",0.490006503,"SNAP23",0.996,"GRAMD2B",0.608701939651363,"C12orf4",0.947675327938415,"MAOA",0.961051484499081,"C12orf4",0.975806828035817,"POMT2",0.957,"COL4A5",0.872706331233676,"ANKRD18CP",0.900820400140923,"WDR27",0.78085981212284,"COG3",0.995025119648091,"HTT",0.736410802978668,"GALC",0.972,"KDM6A",0.99,"GXYLT1",0.999999999910373,"ZMYM6",0.982152776958487,"GCFC2",0.966767699700634,"GCFC2",0.975023069692059
"4","POMT2",0.438,"PIEZO2",0.99,"POMT2",0.584,"AC009022.1",0.92044587900498,"ARL15",0.957,"POMT2",0.972,"PDXDC2P",0.938650472286369,"ANKRD18CP",0.851341805994506,"POMT2",0.884,"NUP58",0.779,"SMIM7",0.995,"ARL15",0.733,"EVC",0.956857054278863,"POMT2",0.982,"HTT",0.999999999828321,"POMT2",0.981,"GALC",0.957,"GALC",0.954
"5","SKP1",0.427292205,"POMT2",0.984,"AC104109.3",0.523033017444433,"COL4A5",0.918575719396221,"POMT2",0.947,"AC009022.1",0.971768335556859,"C12orf4",0.929850189582201,"ARL15",0.842,"CENPI",0.872684505014309,"DENND1A",0.689717980910128,"SNHG16",0.994,"GCFC2",0.726673690562951,"PCDH10",0.955246244398424,"WDR27",0.980565855661381,"ZMYM6",0.999999820086818,"PDE7A",0.974,"ASCC3",0.930729290572539,"AC009022.1",0.939564553442483
"6","FHOD3",0.4258572,"HSD17B12",0.983076932068161,"SAR1A",0.520978717546436,"GALC",0.906426389302167,"C12orf4",0.940270012309315,"ARL15",0.957,"GALC",0.92010861589225,"C12orf4",0.786528238759966,"C12orf4",0.865741813355085,"LINC02210",0.605972074387972,"PPIP5K2",0.993968801919527,"WDR27",0.654133809959983,"HSD17B12",0.950074131743363,"SMIM7",0.98,"C12orf4",0.999994818051963,"HTT",0.971718765598675,"ARL15",0.92,"COL4A5",0.919797701148452
"7","CYB5R2",0.423,"WDR91",0.981,"HDX",0.511238624060266,"CENPI",0.898473134617881,"PDXDC2P",0.92493974213909,"KDM6A",0.949,"ANKRD18CP",0.888538987524284,"AC009022.1",0.775375810005323,"ASAP1",0.821,"ARL15",0.601,"POMT2",0.993,"SENP6",0.650996993885202,"ASCC3",0.943256172738071,"ZMYM6",0.975291817410322,"LINC02210",0.998,"EVC",0.969352780088299,"LIMCH1",0.888,"CNGA3",0.910413467465673
"8","KDM6A",0.417434006,"C12orf4",0.980598892201808,"SKP1",0.503387649313856,"TMC3-AS1",0.850752000916864,"KDM6A",0.907,"DIAPH3",0.940763788892159,"ARL15",0.878792416269338,"PDXDC2P",0.773977848220383,"ARL15",0.796009207040217,"LARP7",0.6,"SNX7",0.990908042602923,"DENND1A",0.620750310236184,"PDE7A",0.939,"MLLT10",0.973657717406565,"CRYL1",0.997,"SEC22A",0.968462436569253,"PDXDC2P",0.885435758584431,"ASCC3",0.909056501695839
"9","FGFR1",0.399,"EVC",0.977605059304458,"ASAP1",0.486,"PDXDC2P",0.828470049182491,"MADD",0.879,"CRYM",0.939783325411404,"KDM6A",0.868,"HDX",0.766,"RPS4X",0.765604671652989,"NR1H3",0.596311811663982,"GXYLT1",0.98747766168534,"LINC02210",0.609505967818361,"HSD17B4",0.936954731617665,"GCFC2",0.970231987880331,"KDM6A",0.996,"GCFC2",0.968387470982543,"AC009022.1",0.885318111612239,"WDR27",0.888953705525473
"10","LINC00667",0.38,"ASAP1",0.974,"PHB2",0.476346732158169,"STX18-AS1",0.818534787249161,"RAB2B",0.868815126843264,"PDXDC2P",0.925264786213247,"CRYM",0.840349360181783,"CENPI",0.763848695393971,"HDX",0.742,"HDX",0.594,"ASCC3",0.987385076773621,"PDXDC1",0.593902347677396,"DENND1B",0.935076885215786,"EVC",0.969346430548925,"SCO1",0.991,"PCDH10",0.967607586999025,"PDE7A",0.883,"PDE7A",0.887
"11","HDX",0.36707441,"LMBRD2",0.973084496018112,"CYB5R2",0.455,"TPTEP2",0.789,"LINC02210",0.857706593980787,"MAN1A2",0.917818211090921,"HDX",0.804,"FBN2",0.73718931404064,"AC009022.1",0.721165266080667,"LRRC42",0.558,"WDR91",0.985,"LRRC42",0.592,"WDR91",0.928,"HTT",0.96586759481409,"MLLT10",0.990890967408788,"DENND1A",0.963421525179906,"LARP7",0.866,"PDXDC1",0.879535328825591
"12","MADD",0.365978504,"TMC3-AS1",0.97186392194681,"MATK",0.446943218831285,"MATK",0.785864363642048,"HTT",0.839305572018065,"RPS4X",0.917663766101016,"ASCC3",0.795693264370246,"LYRM1",0.691,"LARP7",0.7,"PDE7A",0.554,"SEC22A",0.981702055118407,"RAF1",0.592,"SNAP23",0.925,"USP9Y",0.964185049426869,"SF3B3",0.989307589108666,"USP9Y",0.95470238787341,"RAF1",0.823,"ARL15",0.877
"13","NAV2",0.361377354,"TNS3",0.965223998226392,"SENP6",0.434519710420322,"GCFC2",0.751419210454428,"CLASP2",0.821,"ANKRD18CP",0.906141410036518,"HTT",0.791655589319887,"KDM6A",0.69,"PDE7A",0.674,"PDXDC1",0.533637122956989,"SAR1A",0.980383389555032,"CNGA3",0.571497777266498,"C12orf4",0.923070801462847,"PDE7A",0.964,"GCFC2",0.986927995934304,"PMS1",0.951696993919271,"SEC22A",0.820171000343401,"LIMCH1",0.861
"14","LARP7",0.326,"SOS2",0.963255770707679,"PDE7A",0.386,"RAPGEF1",0.741,"WDR27",0.804569622593817,"TMC3-AS1",0.905693327022584,"LINC02210",0.778274147809613,"PDE7A",0.687,"AC104109.3",0.672943072629836,"STRN3",0.533,"TASP1",0.980300387076316,"XRN2",0.568315591937423,"AC009022.1",0.920619840965114,"DENND1A",0.953699934648675,"DHFR",0.986577491757688,"GARNL3",0.948812639522377,"USP9Y",0.800480428800593,"THSD7B",0.860420223675899
"15","STRN3",0.326,"SEC22A",0.963255519887215,"FOXM1",0.378628189910238,"PDE7A",0.733,"HDX",0.804,"ZMYM6",0.90492346420775,"ZFP82",0.762450499625061,"RAB2B",0.660851383116841,"PDXDC2P",0.646636188507048,"CACNA1C",0.523692045994325,"XRN2",0.977278673101108,"EVC",0.565231169591333,"PDXDC2P",0.918981895042285,"LARP7",0.953,"PDE7A",0.983,"KCNT2",0.943279942181244,"HTT",0.794462109007742,"USP9Y",0.859060420528004
"16","PDE7A",0.323882906,"PDIA5",0.961976421542514,"CLASP2",0.366883859749142,"DCAF17",0.727990343017748,"TMC3-AS1",0.794764342277235,"ZFP82",0.902397343813861,"NAV2",0.761,"ZFP82",0.658639831311815,"FOXM1",0.642,"HTT",0.515767115521948,"SLC12A2",0.976877700559631,"C12orf4",0.558570597310026,"PIGN",0.918678379690209,"KCNT2",0.948089208132911,"DENND1A",0.982970124712734,"ARL15",0.942,"GARNL3",0.793384132489481,"NKAIN2",0.849666269725441
"17","TUBGCP4",0.323,"TANK",0.96050271440021,"VPS29",0.366832778243315,"TOE1",0.72019868338535,"ZFP82",0.787584243437071,"MMS22L",0.901062491546394,"FBN2",0.757107273155457,"NAV2",0.651,"FBN2",0.635715505331456,"AP004608.1",0.509,"GABRB2",0.976314103601587,"STRN3",0.544,"MFN2",0.911,"PCDH10",0.94256387823657,"GARNL3",0.981473593852132,"CNGA3",0.940625456238486,"WDR27",0.782667810618537,"CENPI",0.848830772922309
"18","ASAP1",0.320655185,"RAF1",0.96,"KDM6A",0.362,"NAV2",0.719,"ERGIC3",0.787,"LNPK",0.878309476436693,"PDE7A",0.756,"HTT",0.624755087514339,"KDM6A",0.626,"RAF1",0.505,"WDR27",0.975629988710408,"PDE7A",0.541,"NKAIN2",0.904729264986544,"GARNL3",0.942050975952575,"PCDH10",0.979713904940564,"GALC",0.938957537410537,"XRN2",0.778413322899895,"ASAP1",0.845506794769021
"19","LYRM1",0.306,"PRPF31",0.956852856891208,"AC009022.1",0.359876037588846,"ARL15",0.715699612379533,"MLLT10",0.783416260579206,"ABCB8",0.876,"PDXDC1",0.748368956584805,"MATK",0.611646759370211,"STX18-AS1",0.62389673473325,"CACNB4",0.503,"RAF1",0.975,"STX18-AS1",0.539588458848038,"WDR27",0.89587035231113,"ARL15",0.942,"AC068547.1",0.974358772851121,"AC114490.2",0.923678337077384,"LINC02210",0.771767517461267,"LARP7",0.837
"20","DLGAP4",0.257397547,"MTERF3",0.956279179971363,"LARP7",0.354,"FOXM1",0.712,"PDE7A",0.777,"TIAM1",0.87010133365823,"STX18-AS1",0.743117908118308,"LINC02210",0.596247595613327,"FES",0.617727468583448,"STXBP5L",0.496293190287179,"PDE7A",0.973,"STRN",0.535513426341478,"TASP1",0.89307388587261,"SCO1",0.94,"RAF1",0.972,"LARP7",0.917,"GLRA3",0.761403029133621,"MFN2",0.832
"21",NA,NA,"MFN2",0.956,"TPTEP2",0.351787572600944,"ASAP1",0.702,"NAV2",0.776,"DCAF17",0.866253869275513,"SPIDR",0.742216898437456,"FOXM1",0.592,"MAOA",0.616821199833151,"CLASP2",0.495402384307501,"GALC",0.972,"HDX",0.533721925356221,"CNGA3",0.8870912333892,"PRKG1",0.937841361533554,"ABCC8",0.970705994824871,"PIGN",0.915559612647645,"AXIN1",0.759,"SOS2",0.83128128728643
"22",NA,NA,"VAV2",0.950051376209566,"ERGIC3",0.344984784343102,"HDX",0.702,"SPIDR",0.773527766666742,"AC104109.3",0.863196124677981,"STXBP6",0.726828566715214,"STXBP6",0.584226421862116,"NAV2",0.607,"CHROMR",0.494,"MLLT10",0.971988267618281,"LARP7",0.527,"HTT",0.87163646681032,"AC008581.2",0.937409900804216,"PRKG1",0.969384788217445,"WDR27",0.914138831434185,"NKAIN2",0.756702491731071,"ANKRD18CP",0.823575639387934
"23",NA,NA,"SLC12A2",0.948903754141516,"ST3GAL1",0.34,"TASP1",0.694522954351854,"ASCC3",0.752300662301003,"HTT",0.858768761444361,"TPTEP2",0.724,"RAP1A",0.582,"HTT",0.600904353350679,"XRN2",0.493448104052929,"CYB5B",0.969290258795747,"ASCC3",0.516128577148954,"LIMCH1",0.871,"RAF1",0.933,"PDXDC2P",0.966854820822233,"RAF1",0.91,"ZMYM6",0.756328011739192,"RAF1",0.822
"24",NA,NA,"CENPI",0.947398615151467,"EXOC6B",0.339720002642673,"MFN2",0.687,"SKP1",0.746602341987395,"C14orf132",0.853728387005573,"CDC37L1",0.720994197545728,"LRRC42",0.569,"DCAF17",0.581055688917216,"SENP6",0.490295373145182,"ZMYM6",0.969143759578939,"CLASP2",0.508213168791394,"RAF1",0.859,"GALC",0.918,"EVC",0.965059513049724,"CDC37L1",0.908294846879798,"HDX",0.74,"C12orf4",0.813021700473293
"25",NA,NA,"ARL15",0.941,"SERHL2",0.334,"FBN2",0.658227746665648,"AC015813.2",0.744795623094128,"ANXA11",0.852,"LYRM1",0.704,"SENP6",0.552,"TPTEP2",0.575,"DLGAP4",0.486,"EVC",0.968342910135061,"CACNB4",0.503,"LARP7",0.858,"C12orf4",0.915256682523876,"IVD",0.964824218086601,"ABCB8",0.907,"CNGA3",0.738175412841636,"TPTEP2",0.809
"26",NA,NA,"CYB5B",0.938032424682943,"KCNT2",0.333802463607929,"FAM162A",0.648,"PDXDC1",0.737148118811183,"SREK1",0.85,"WDR27",0.701288569098938,"TPTEP2",0.517390965525771,"LYRM1",0.552,"AC026786.1",0.483384729870954,"DENND1B",0.965978414458386,"CHROMR",0.494,"STX18-AS1",0.846158040273482,"PIGN",0.90753799077341,"CDC37L1",0.964133092135555,"AC008581.2",0.896539713810084,"APLP2",0.738,"PCDH10",0.793992291214718
"27",NA,NA,"DDX42",0.937794546882896,"LRRC42",0.329,"STXBP6",0.647130362167542,"AC104109.3",0.734608257406244,"SPIDR",0.847849017605252,"BECN1",0.700099548228341,"ZNF66",0.516082815108427,"SENP6",0.541,"MELTF",0.480565593575054,"PIGN",0.965055556537667,"INO80E",0.483,"MTERF3",0.843818804886564,"CACNA1C",0.904,"ENOX1",0.963314333211707,"ENOX1",0.893340384426859,"LRRC42",0.736,"XRN2",0.789744887745757
