"","dPSI_NGN2_2135644.1uM"
"POMT2",1
"MLLT10",0.999999999893024
"CRYL1",0.997
"KDM6A",0.996
"GXYLT1",0.992833129492731
"C12orf4",0.989035667523936
"PCDH10",0.988918724344645
"SOS2",0.986326759677134
"SMIM7",0.985
"PDE7A",0.984
"ZMYM6",0.983968617851945
"DENND1B",0.979717496771746
"GCFC2",0.977584742514373
"WDR91",0.973272949355131
"PIGN",0.971312122096027
"TET1",0.971232639826262
"ADAMTS10",0.969166745662883
"LINC02210",0.965771775580544
"SEC22A",0.964117888938264
"HSD17B12",0.961360749950782
"WDR27",0.961308786993327
"RAF1",0.959
"DENND1A",0.958206249156956
"LARP7",0.957
"CYB5B",0.95466029017816
"FAM162A",0.95
"AC008581.2",0.943735113591522
"ARL15",0.942
"SCO1",0.939
"SNX7",0.938234785029011
"CNGA3",0.935207476850921
"GALC",0.934
"MFN2",0.931
"USP9Y",0.926164715170252
"HSD17B4",0.925991303750033
"AC114490.2",0.917845786466333
"THSD7B",0.911558292629913
"MMS19",0.911362582344826
"DHFR",0.907325696023952
"GABRB2",0.904211533185887
"CDC37L1",0.899326602730682
"SETX",0.897018954640468
"TAF2",0.897
"EXOC6B",0.889
"AC068547.1",0.885813751715642
"LIMCH1",0.884
"PDIA5",0.883352487846536
"TPTEP2",0.88
"LRIG2",0.876155932823511
"ABCB8",0.875
"IVD",0.872645357778368
"CPLX2",0.871395627384565
"CEP57",0.87
"AXIN1",0.865
"ABCC8",0.855581884859621
"ENOX1",0.851358842109922
"SNAP23",0.85
"TASP1",0.845004510866216
"LMBRD2",0.842125215071263
"CHRM2",0.83331219298274
"AGPS",0.831192564792337
"DENND5A",0.83
"DPY30",0.82914271561807
"FUT9",0.828726213482815
"FAM124A",0.827714607373801
"HDX",0.827
"ATP8A2",0.824113930406256
"APLP2",0.823
"ZMYM2",0.823
"MTERF3",0.820960611172604
"ODR4",0.819953444595603
"EMSY",0.819115480156323
"LRRC42",0.817
"CLASP2",0.813015661703444
"STX18-AS1",0.81206909812551
"NUP58",0.811
"GNAQ",0.80618573054217
"BECN1",0.802017291384531
"SUPT20H",0.800307058171638
"TIAM1",0.800105538263524
"ARMH3",0.792574445350517
"ZNF804A",0.792169894366022
"NLGN1",0.79130504699915
"CHN2",0.789911165197752
"PRKG1",0.789540083306811
"FBXL16",0.789470491716526
"FAM174A",0.779
"CTTNBP2",0.775025076216986
"ZFP82",0.774388327784508
"ZNF66",0.771944294524675
"GLRA3",0.771891608754429
"ERCC8",0.77
"RBBP8",0.769540880898636
"SPIDR",0.768048491153357
"COG3",0.765870283368278
