"","dPSI_iPSC_1949634.10uM"
"RICTOR",0.999999999843693
"GNS",0.999999999799064
"SOS2",0.999999999779783
"MBOAT2",0.999999000664043
"THADA",0.998
"ASAP1",0.996
"SNAP23",0.996
"EVC",0.994478624914551
"PIGN",0.991796813700629
"LRRC1",0.990664472606533
"PIEZO2",0.99
"RAF1",0.99
"CIP2A",0.989486546091316
"TANK",0.989295059153142
"CLTA",0.984
"DUS4L",0.983438850100967
"ZMYM6",0.982950344820004
"ODR4",0.98279941356208
"POMT2",0.982
"DNMBP",0.981108719550434
"WDR91",0.981
"C12orf4",0.980573103528063
"VAV2",0.980313288826146
"PRPF31",0.977662106408718
"BNIP2",0.974
"TASP1",0.973460196897982
"FBN2",0.972477209764193
"CYLD",0.972184261700427
"SYN3",0.972073151478558
"TMC3-AS1",0.97112141262094
"DDX42",0.970729917686755
"INPP5D",0.970376397448177
"LINC02210",0.969933966278185
"EEA1",0.96920876439125
"ATAD2B",0.968373718072563
"MAOA",0.968156423919426
"ATP11B",0.967602757676949
"VPS13C",0.966920151609096
"PHACTR1",0.965762729832111
"COG5",0.965024688306164
"TNS3",0.964741426112984
"LARS2",0.964
"MFN2",0.964
"CDC37L1",0.963421260611347
"SLC12A2",0.963297319896108
"PDIA5",0.962377597169888
"WDR27",0.962175017087471
"CENPI",0.961644263302643
"MAN1A2",0.961626993420877
"TMEM214",0.960447476010174
"BSDC1",0.959419345266304
"MYCBP2",0.958437276060161
"SEC22A",0.958302780815006
"ATG2B",0.957108885674537
"MEDAG",0.956836205197031
"GXYLT1",0.956311858784401
"MTMR3",0.955456375183818
"LNPK",0.954676963966605
"KIF5C",0.953509570054678
"STX18-AS1",0.951540665590329
"COG3",0.949396356249699
"MTHFD1L",0.946227250501597
"CTNS",0.945936007837309
"SCO1",0.945
"AP002784.1",0.944807283541738
"STAT1",0.944
"TRAF3",0.943100583157992
"PROSER1",0.943
"CYB5B",0.942785103304614
"FYCO1",0.938134021658874
"MIER2",0.937786771547692
"APIP",0.935254838065851
"CPT2",0.931289083471754
"ZFP82",0.931217886460013
"INF2",0.928408182940685
"GNG10",0.92823011733437
"GPHN",0.925330379001549
"RAPGEF1",0.924
"USP43",0.923693399665171
"BICRA",0.921173401575921
"SPATS2",0.921149068852232
"MATK",0.920546467417564
"ABHD10",0.92
"ARAP3",0.919494025956508
"IGDCC4",0.917992121336205
"ZNF585B",0.914951864313885
"GALC",0.914568064967167
"IFT57",0.912743388189447
"SPIDR",0.911818195114742
"RBBP8",0.911
"AGK",0.910049428421823
"ASCC3",0.908485418605652
"VCAN",0.907
"MMS22L",0.906697059012668
"JMJD1C",0.901709443350462
"HSD17B12",0.901212696623808
"APPL2",0.898532474606166
"LMBRD2",0.898102040018835
"EXTL2",0.897
"TIAM1",0.895108349844033
"DPH1",0.89450051722325
"KRBA1",0.893174190954323
"CDC40",0.892995551065291
"PDXDC2P",0.887804729151066
"ALG13",0.886
"RAB2B",0.884681035699589
"DSG2",0.881633725366189
"NUP58",0.881
"CSMD2",0.880927545623633
"ATPAF1",0.879999514416113
"DLG5",0.879399757722031
"NAV2",0.879
"LTBP1",0.876792641117719
"DIAPH3",0.876548021268335
"RPS4X",0.874793155777598
"AC104109.3",0.874053182361333
"HNRNPUL1",0.874
"AC008581.2",0.870804478258308
"FAM126A",0.868741065372446
"SNX4",0.866602926645103
"CRYM",0.864606468741741
"SPPL2B",0.862758420654794
"IVD",0.862658282989453
"LUC7L3",0.862387042898349
"DNAJC13",0.861226226193925
"PPP1R26",0.860120551766122
"LRIG2",0.859410314881464
"CREBBP",0.859
"RBM33",0.859
"DIP2A",0.855
"ANXA11",0.85
"GLCE",0.848210066033827
"ALPK3",0.847740391221496
"AC009533.1",0.846277990994825
"VDAC2",0.846113650311499
"SRCAP",0.846
"CRISPLD1",0.845357774956975
"CAMKMT",0.842850442391339
"RERE",0.840719935189139
"CCDC93",0.838581027461188
"EXOC6B",0.837
"NUMB",0.837
"FOCAD",0.836138287425912
"TESMIN",0.833694317142331
"ARHGAP5",0.830770832182249
"TET1",0.830383454587906
"SUPT7L",0.83
"ARHGEF35",0.829437933171799
"LDAH",0.827738316683781
"SRGAP1",0.825499523795738
"MAN1B1",0.824
"NCOA6",0.824
"PARP4",0.82285613713236
"TAB2",0.822612964235711
"AIDA",0.822293607780805
"BTBD10",0.821889758516022
"MDN1",0.821760784774917
"SCMH1",0.820418252007694
"ULK1",0.817851269216672
"C1orf94",0.816612923295041
"DHFR",0.81608071780141
"ERGIC3",0.816
"CAP2",0.812
"OCLNP1",0.808993020049299
"LYRM1",0.807
"ADD1",0.805219086890665
"ZNF878",0.80429535339882
"HDX",0.804
"PDE7A",0.804
"ZNF417",0.804
"AGGF1",0.803797867819318
"CHEK2",0.802
"OCLN",0.798101124302358
"ELL3",0.795457750543013
"AXIN1",0.795
"FGD4",0.795
"FOXM1",0.795
"PDXDC1",0.794807170538885
"ZNF730",0.793343695144971
"ZNF10",0.793211189617146
"DGKZ",0.793
"FGF12",0.791830876472733
"OR2A20P",0.79
"MMP17",0.785849644823044
"CACNB1",0.782684759977811
"PRKDC",0.781322581891449
"C14orf132",0.781275317229874
"AC008770.1",0.780032870153747
"RNF144A",0.779866139816382
"MANEA",0.779699944912287
"TRDN",0.779173457919606
"RREB1",0.777
"MYLK",0.776597302074377
"KANSL3",0.775
"ZNF680",0.773269247789611
"STOX2",0.772932467387099
"ARHGEF7",0.769
"DPY30",0.767873744901405
"ABCB8",0.767
"PIK3R1",0.765066853749387
"AC106886.6",0.764
"FAM174A",0.762
"PPP6C",0.760573904923842
"LMTK2",0.758
"SUN1",0.758
"TMEM18",0.757
"AL031315.1",0.756794797444717
"ZNF836",0.75554547366065
"RPF2",0.755395585749245
"GPSM2",0.752220196523627
"TBL1XR1",0.751929343944603
"KIF1A",0.751674420164609
"NAA25",0.751012444231379
"AL732372.2",0.75060679682284
"ARID1A",0.748188681443674
"ATXN2",0.748
"LRRC42",0.746
"FAIM",0.743
"ZNF618",0.741
"ZRANB3",0.737145235371063
"CARD8",0.736
"SETDB2",0.735535672827122
"ZNF138",0.735325403742526
