"","dPSI_NGN2_2135644.300nM"
"POMT2",0.994
"EVC",0.969036334473302
"GCFC2",0.966767699700634
"GALC",0.957
"ASCC3",0.930729290572539
"ARL15",0.92
"LIMCH1",0.888
"PDXDC2P",0.885435758584431
"AC009022.1",0.885318111612239
"PDE7A",0.883
"LARP7",0.866
"RAF1",0.823
"SEC22A",0.820171000343401
"USP9Y",0.800480428800593
"HTT",0.794462109007742
"GARNL3",0.793384132489481
"WDR27",0.782667810618537
"XRN2",0.778413322899895
"LINC02210",0.771767517461267
"GLRA3",0.761403029133621
"AXIN1",0.759
"NKAIN2",0.756702491731071
"ZMYM6",0.756328011739192
"HDX",0.74
"CNGA3",0.738175412841636
"APLP2",0.738
"LRRC42",0.736
"MFN2",0.729
"SOS2",0.728976404203837
"CDC37L1",0.721998771162797
"AL157871.6",0.715086292531772
"DHFR",0.714150418088006
"ZMIZ2",0.711
"SENP6",0.709
"DENND1A",0.707085928774405
"PCDH10",0.705320029563032
"PDIA5",0.704521384978275
"STX18-AS1",0.700647623255463
"RBBP8",0.694785977594186
"LRIG2",0.692884492192777
"CLASP2",0.679888199230401
"C12orf4",0.6798342288505
"ZFP82",0.678469007380859
"ZMYM2",0.663
"TIAM1",0.657429392114602
"AL031315.1",0.657388831141538
"EXOC6B",0.646
"PIGN",0.645118704243917
"BEND6",0.64
"APIP",0.632935036848913
"AC114490.2",0.619877035784785
"SETX",0.617260337022257
"DENND1B",0.610205056965244
"RAPGEF1",0.606
"AC026786.1",0.600772657392967
"LINGO2",0.596457623645835
"ENAH",0.59097186862577
"PMS1",0.58
"MEMO1",0.575958810882919
"FAM162A",0.574
"FHOD3",0.57385872095725
"DLGAP4",0.571
"TPTEP2",0.567
"THSD7B",0.563475535468904
"KIAA0895L",0.562420318560239
"DPY30",0.562280869896782
"ABCB8",0.561
"SLC24A3",0.560060323261016
"KDM6A",0.557
"HAUS3",0.555837042594428
"FAM174A",0.555
"TAF2",0.549
"TASP1",0.54509482617557
"COPS7B",0.541
"CACNA1C",0.540322487679078
"AC068547.1",0.53846349696639
"WDR17",0.537
"LYRM1",0.53
"GXYLT1",0.528469970542384
"SULF1",0.528001097151952
"RAP1A",0.528
"MLLT10",0.527340357253153
"PRICKLE1",0.523178314071539
"CYB5B",0.522156744064812
"IVD",0.521608090783168
"ERCC8",0.517
"SLC25A17",0.516
"CCDC3",0.514580645223975
"EMSY",0.5102039736093
"NLGN1",0.507686583019875
"ZNF804A",0.504818718260051
"DPH1",0.499278658516316
"ENOX1",0.498342655501411
"DENND5A",0.494
"CLK4",0.49
"CRYL1",0.488
"SREK1",0.487
"GRIA1",0.485666376485906
"TENT2",0.48538356056781
"AC010538.1",0.484324721926608
"CACNB4",0.479372359479526
"MUTYH",0.477779454212772
"ARMH3",0.47575606630035
"ANP32A",0.475090447241831
"MATK",0.474052872228882
"NEK11",0.472871165026109
"SKP1",0.472
"SORCS1",0.469114322212152
"SLC7A6",0.467
"SNAP23",0.461
"FGF12",0.460219857889152
"LINC00963",0.46
"CTTNBP2",0.459707255784286
"DNAJC27",0.456307036590131
"STRN",0.454803059512242
"VPS29",0.451000480724858
"WNK1",0.439951079267951
"CDH18",0.439284029715974
"ATP7B",0.439
"CCT6B",0.436493609621737
"STXBP5L",0.435132737331539
"INVS",0.432182128128909
"ADGRL1",0.432115908760052
"C19orf47",0.431882550746483
"PBLD",0.430488947204525
"LMAN2L",0.427539665579313
"SF3B1",0.427
"ZNF618",0.425
"HIKESHI",0.418
"AGPS",0.417753599036872
"EIF2D",0.415
"RAB2B",0.413790891999241
"SERGEF",0.413
"CHD9",0.412594385077012
"MELTF",0.410491708729864
"KLHL1",0.405410148049741
"ELMO2",0.403
"PNISR",0.401362006012446
"FAAP20",0.401
"NUTM2A-AS1",0.396
"ADAMTS10",0.395881623050466
"PRKACB",0.395554454569177
"EXTL2",0.392774130103935
"GABRB2",0.390085786197254
"CLN3",0.388
"AC138894.1",0.387
"GPHN",0.385763187925659
"CHORDC1",0.385
"AC068205.2",0.382514376522197
"NUP58",0.382
"MYT1",0.379
"PRUNE2",0.377
"MED13L",0.374795043082012
"ADAM17",0.373
"PTPRT",0.371899991108292
"RUNDC3B",0.371
"GNAQ",0.370778725118607
"HSD17B12",0.369545201497246
"FGD4",0.367
"WDR91",0.364
"TMEM50B",0.363985525370712
"FNIP2",0.361569753389976
"STRN4",0.361437506529022
"CSTF3",0.359942452947466
"CACNA1H",0.358
"MSL3",0.358
"PPHLN1",0.356
"ZNF433",0.355373756981257
"EWSR1",0.353
"LARS2",0.352823425373697
"C14orf132",0.351
"FAM124A",0.340912099407062
"SPRYD7",0.34024954589132
"SCLT1",0.337
"TP53INP1",0.337
"AC104452.1",0.336
"MTHFSD",0.333729333903969
"KCNC1",0.33230689840947
"MTERF3",0.332152083819851
"WNK3",0.329545481820829
"RCC1",0.328564157776702
"TSPAN7",0.327
"ERICH1",0.324
"WSB1",0.324
"LMBRD2",0.322898310259491
"PIGT",0.319
"CDC42BPA",0.317
"STRN3",0.316
"VSTM2L",0.313835162070587
"GGCT",0.312
"HMGN1",0.312
"SH3YL1",0.312
"VAV2",0.310585392648329
"STOX2",0.308225384237584
"ERVK13-1",0.308
"LUC7L3",0.305687962014217
"FUS",0.305
"SCO1",0.304
"UBAP2L",0.30301658491606
"DECR2",0.302218473521634
"REPS1",0.301
"MYCBP2",0.3
"TAF5L",0.298558129103148
"LINC01011",0.298070601214709
"TET1",0.297278073211675
"PRPF39",0.297202566328507
"CIPC",0.294884606823748
"ERCC6L2",0.285077342230314
"BECN1",0.281373560093816
"CPLX2",0.277524256269628
"FCHO1",0.276341475447526
"RBCK1",0.273760281013687
"AKAP9",0.271020122802821
"CHN2",0.270768158865744
"SF3B3",0.270662311616027
"EPM2A",0.269322273795068
"TNPO3",0.268365378212758
"SUPT20H",0.265183781926984
"DCAF17",0.264798679065553
"SSBP1",0.263938371304821
"AC022433.1",0.25977129888105
"IFT57",0.257895063881967
"MARCHF8",0.255605530660721
"NR6A1",0.254463836421754
"FAM174C",0.254413038891892
"DOCK3",0.254358446568241
"MRPL39",0.253636217707146
"SLC41A3",0.251121443022511
