"","dPSI_iPSC_2059811.261nM"
"SNAP23",0.951
"POMT2",0.95
"C12orf4",0.947675327938415
"AC009022.1",0.92044587900498
"COL4A5",0.918575719396221
"GALC",0.906426389302167
"CENPI",0.898473134617881
"TMC3-AS1",0.850752000916864
"PDXDC2P",0.828470049182491
"STX18-AS1",0.818534787249161
"TPTEP2",0.789
"MATK",0.785864363642048
"GCFC2",0.751419210454428
"RAPGEF1",0.741
"PDE7A",0.733
"DCAF17",0.727990343017748
"TOE1",0.72019868338535
"NAV2",0.719
"ARL15",0.715699612379533
"FOXM1",0.712
"ASAP1",0.702
"HDX",0.702
"TASP1",0.694522954351854
"MFN2",0.687
"FBN2",0.658227746665648
"FAM162A",0.648
"STXBP6",0.647130362167542
"HSD17B4",0.636588199985475
"ASCC3",0.633163682952291
"PDXDC1",0.628253659385688
"HSD17B12",0.62322074632646
"PDIA5",0.618664803329506
"TSPAN2",0.612224570684686
"SENP6",0.61
"PRPF31",0.608512904638216
"SLC12A2",0.605008130911603
"TENT2",0.590270681344001
"EVC",0.589437260184728
"APLP2",0.583
"PPIP5K2",0.58122265422749
"SPIDR",0.578773320158136
"CDC37L1",0.578697824994954
"AC068205.2",0.575783721391087
"TARBP1",0.567
"FES",0.555268549013446
"SEC22A",0.555131489108963
"APIP",0.551085847691004
"KDM6A",0.55
"ZFP82",0.544692921058892
"PPP1R26",0.530305020586521
"LARP7",0.528
"RAP1A",0.521
"RAB2B",0.517481228848762
"ZNF66",0.516834710116041
"CEP164",0.5
"CLASP2",0.497752562983264
"TNRC6A",0.497173839782417
"CTNS",0.489773761328981
"AXIN1",0.488
"EMSY",0.480776905188995
"GRAMD2B",0.476
"PHB2",0.474386053497374
"CACNA1H",0.472434197924823
"FAM174A",0.468
"DENND1A",0.466043879842466
"SNHG16",0.466
"SGK3",0.461695264135557
"RPS10",0.458589218793122
"CA5B",0.456367546024625
"TRAPPC13",0.456
"LRRC42",0.455
"HIKESHI",0.452
"MADD",0.451
"RNF144A",0.449456314912961
"SPPL2B",0.440520511846915
"MMS22L",0.437799002157176
"FGF12",0.436103761239728
"OR2A20P",0.433205634432826
"CHD9",0.433
"WNK3",0.431861201242429
"NIPA1",0.428568498464082
"KCNT2",0.427448787131451
"FAM149B1",0.421797488038384
"ZFYVE26",0.417999232037957
"PIEZO2",0.417369935404565
"TNS3",0.412046003448684
"WDR90",0.408132833245941
"SERGEF",0.407539594581647
"SAR1A",0.407528803568986
"IFT27",0.407
"VAV2",0.401573236457213
"SOS2",0.397004225429905
"VPS29",0.389
"DPH1",0.388448145457959
"VWDE",0.383465000592295
"ZNF777",0.381095125948999
"HTT",0.377241174006376
"KIF3A",0.377
"ANKHD1",0.376383262447803
"ZNF138",0.375085477989873
"TMEM214",0.373527069541579
"SLC7A6",0.372515017617658
"ELMO2",0.371
"INTS11",0.369
"RAF1",0.369
"DENND5A",0.368
"PIGN",0.362955974722311
"FIGNL1",0.361
"TCF4",0.358260523498762
"TSPAN7",0.351
"EXOC6B",0.349496367278643
"EXTL2",0.348894180392132
"CLK4",0.347
"TAF2",0.346
"NOD1",0.344
"IFT57",0.342203683622601
"STRN",0.334858210582684
"NUBP2",0.332
"ZNF618",0.332
"FAAP20",0.331
"ABHD10",0.329
"ANKRD18CP",0.327
"TIAM1",0.326597754428244
"SGCE",0.326
"LNPK",0.316288290830285
"SLC25A17",0.312
"CCDC88A",0.31
"STRN3",0.305
"ZFAND4",0.304110970322678
"GGCT",0.301
"LINC00667",0.301
"ZMIZ2",0.301
"ERGIC3",0.299765603388257
"ADAM17",0.294470473383239
"PMS1",0.292679712603823
"GAS2L3",0.291683689190692
"KCTD20",0.2887678961974
"PLCH1",0.284578420110731
"FGD4",0.283954606824412
"SCLT1",0.27998360669696
"GRID2",0.279776673969079
"C1orf94",0.272412821690684
"SNX4",0.269588645421854
"LINC02210",0.26774192348058
"ENAH",0.260322296931905
"UBAP2L",0.253407711879133
"FBXO10",0.250194597678179
