"","dPSI_iPSC.5420.3x"
"ARL15",0.913833870601184
"SKP1",0.654949066212101
"C12orf4",0.588815003099152
"POMT2",0.583
"ZNF66",0.563691871545278
"LARP7",0.562
"HDX",0.556518869012508
"STRN3",0.544
"ASAP1",0.529
"PHB2",0.520081592844839
"HAPLN3",0.516
"ADAMTS19",0.51172089413218
"LYRM1",0.51
"EXOC6B",0.506
"GRAMD2B",0.500430788808621
"SYTL2",0.49
"HSD17B4",0.454131678152547
"LRRC42",0.452
"MADD",0.435
"ZNF730",0.425040367500196
"CLASP2",0.423185411865828
"STEAP2",0.417
"SLC45A4",0.40721536513191
"C14orf132",0.404275224263761
"FBN2",0.399584965604641
"VPS29",0.396848603437813
"PDE7A",0.392
"LINC02210",0.390058054604758
"BOLA2-SMG1P6",0.389
"MAN1B1",0.380539306153123
"CACNA2D1",0.379681117722057
"ZFP82",0.372653473608235
"LINC00662",0.37
"AC073111.4",0.364
"KDM6A",0.359
"SENP6",0.358627456617288
"ERGIC3",0.358
"IFT27",0.351
"TAF2",0.349
"SNAPC5",0.34
"PFDN5",0.336
"RAF1",0.326530883186769
"NAV2",0.32624794640492
"SNHG5",0.32
"TNRC6A",0.319247208098609
"FAAP20",0.317
"NUP58",0.308744425413408
"KIAA1549L",0.305
"DLGAP4",0.303115624707653
"INTU",0.303
"TMEM214",0.284234790930605
"AXIN1",0.282945150281783
"STRN",0.282098340459488
"TENT2",0.277577360019295
"ZNF618",0.267349253279343
"STXBP1",0.260422677472676
"PNISR",0.251960900914355
