"","dPSI_NGN2_2189972_10x"
"EVC",0.934388284687304
"PPIP5K1",0.920958954348521
"POMT2",0.92
"LIMCH1",0.864
"DENND1A",0.859252657460845
"ABCB8",0.847
"HDX",0.82
"GCFC2",0.81813654897566
"PDE7A",0.77
"LINC02210",0.735064978378144
"LRRC42",0.702
"DHFR",0.691575063581698
"GALC",0.679
"CLASP2",0.67478212555576
"ASCC3",0.667305876697598
"USP9Y",0.657685115715424
"AXIN1",0.652
"TAF2",0.643
"XRN2",0.621564308629747
"KDM6A",0.616
"RBBP8",0.604769120785556
"TENT2",0.597185199929159
"WDR17",0.595
"HAUS3",0.586565506623521
"ZFP82",0.578232078448172
"AC136604.3",0.573110291639354
"PHOX2B-AS1",0.568485658236347
"CDC37L1",0.562891622404733
"ENAH",0.555233015730429
"GXYLT1",0.554678816267314
"DLGAP4",0.552
"MELTF",0.547760343487723
"GRIA1",0.542429546989454
"EXOC6B",0.53
"PDXDC1",0.529112373778397
"SETX",0.519737456062129
"NKAIN2",0.517846000485956
"AC114490.2",0.514575072505485
"LRIG2",0.514487475153996
"TIAM1",0.512571484448004
"ENOX1",0.501158361363937
"STIM2",0.498
"CACNA1C",0.492
"SULF1",0.491421086814049
"LINGO2",0.491226087184461
"TPTEP2",0.49
"ERCC8",0.489256390106827
"MANBA",0.487
"FHOD3",0.486914470976548
"RAP1A",0.485
"GLRA3",0.483685898567085
"MEF2A",0.475285904475822
"GARNL3",0.470022401616317
"SCARB1",0.468
"STXBP5L",0.465880981902446
"APLP2",0.464
"SENP6",0.447
"AC138894.1",0.446
"ANP32A",0.445502055614777
"C12orf4",0.438513948082238
"TET1",0.438403153681434
"ARMH3",0.436326851631485
"CLK4",0.435
"RAPGEF1",0.43
"APIP",0.429004225732935
"LYRM1",0.429
"AC026786.1",0.428393585886187
"EMSY",0.419088166797708
"TRAPPC13",0.418
"ZNF730",0.416517198222997
"FGD4",0.416280819730539
"HTT",0.409606326260772
"LARP7",0.406
"MYCBP2",0.406
"SKP1",0.406
"PNISR",0.405570456562751
"CLN3",0.4
"CDH18",0.399813425449857
"PMS1",0.3982766691589
"CHRM2",0.393614362315652
"SERGEF",0.385
"KLHL1",0.381509981065837
"TRIM65",0.377
"FAM162A",0.376191243675927
"STRN",0.375828355869481
"SLC25A17",0.374
"ZMYM6",0.369673666090427
"TSPAN7",0.366761934966356
"MACROD2",0.36596644026669
"ZNF618",0.358
"SCO1",0.356898588451082
"FAAP20",0.353
"ADAM17",0.352
"PTPRT",0.351612824573379
"NLGN1",0.349960271609722
"PCDH10",0.349380074127349
"VPS29",0.348490666621313
"SNHG12",0.345
"ELMO2",0.343
"ANKS3",0.342
"NUDT22",0.339
"ADGRL1",0.338376042388795
"STOX2",0.335036084313898
"GABRB2",0.333634094096591
"TP53INP1",0.331
"C14orf132",0.33
"GPHN",0.329300487222601
"STRN4",0.328066560590312
"CACNB4",0.327121511142141
"GNAQ",0.32623238811951
"WDR27",0.326
"COPS7B",0.325
"SPRYD7",0.32425610204675
"ZMIZ2",0.323
"DPH1",0.322508336414254
"FIGNL1",0.322
"WNK1",0.320499287731774
"NUP58",0.319088390898929
"RAF1",0.317
"ARL15",0.313
"PRICKLE1",0.312975436081752
"AC022433.1",0.308357283294959
"STRN3",0.305
"FAM174A",0.304
"SH3YL1",0.302533190985035
"RUNDC3B",0.3
"FNIP2",0.291099451514054
"DNAJC27",0.289419010965142
"TMEM50B",0.278429005062437
"WSB1",0.277283931549921
"AGPS",0.271409751577925
"BECN1",0.266802222927355
"WNK3",0.262415522307841
"SCAF8",0.253227167585382
"SF3B3",0.251000505124583
