"","dPSI_iPSC_2006152_10x"
"ASAP1",0.924
"ARL15",0.905
"POMT2",0.857
"ADAMTS19",0.837959557088818
"C12orf4",0.783426763484428
"GALC",0.765
"ZNF37BP",0.760296467445498
"DLGAP4",0.754
"ANKRD18CP",0.692070266031993
"FBN2",0.68611679862309
"LARP7",0.665
"AC104109.3",0.643791941602427
"ZNF66",0.635202053828278
"MATK",0.632936150740027
"EXOC6B",0.629
"CENPI",0.625682723232342
"KDM6A",0.619
"HDX",0.615
"PDE7A",0.613
"HSD17B4",0.600409831379858
"ZFP82",0.594999810078044
"HAUS3",0.584206225246253
"MADD",0.584
"ZNF730",0.566206501708505
"NAV2",0.564
"AC009022.1",0.560135688683012
"LINC02210",0.553820952983356
"ERGIC3",0.549
"C14orf132",0.548
"FOXM1",0.543
"LRRC42",0.541
"SENP6",0.53
"HTT",0.525760481536331
"LYRM1",0.518
"TPTEP2",0.509
"TAF2",0.496
"WDR27",0.484168528701221
"MAN1B1",0.482255422318127
"MMS22L",0.453762474853145
"FAM162A",0.445733920175323
"DYRK1A",0.441801341246282
"ABCB8",0.430414695697125
"CRYM",0.428861797276108
"NIPA1",0.421420432176743
"APPL2",0.414851368714126
"TMEM214",0.414680754281648
"LRGUK",0.412145464887277
"AC138894.1",0.412
"CLK4",0.411
"BECN1",0.410602009439058
"TSPAN7",0.410512281456973
"FAAP20",0.404
"VPS29",0.393
"CLASP2",0.392
"RAB2B",0.388726768499803
"RPS3",0.385926803437007
"GRAMD2B",0.381
"APLP2",0.374
"NUP58",0.368
"AXIN1",0.367
"ZMYM6",0.365583245617261
"MYCBP2",0.36
"RCC1",0.359755447868918
"TNRC6A",0.359594767546488
"DENND5A",0.356471773252591
"ZNF618",0.354259325946933
"CHD9",0.348364818813524
"SKP1",0.345
"TCF4",0.344628471028957
"GGCT",0.344
"ARMCX6",0.337408847943969
"RAF1",0.333
"CLN3",0.33
"PNISR",0.327702540164783
"ELMO2",0.326
"STRN3",0.325
"SLC25A17",0.323
"INTS3",0.321
"ZMIZ2",0.318
"FAM174A",0.315398947283782
"TENT2",0.314539844563353
"SPIDR",0.312029301672528
"WNK1",0.309047289148852
"ASAP2",0.305917191808797
"DHFR",0.305779229243015
"ODR4",0.304954739103202
"ANXA11",0.3
"LRP8",0.3
"CACNA2D1",0.299296239404662
"PDXDC1",0.299045359591193
"GXYLT1",0.29789529084418
"PPP1R26",0.295918570008981
"FES",0.281059068583809
"ENAH",0.280671079142186
"STRN",0.278358083947376
"AC022400.3",0.277389684221669
"PLCH1",0.274491206412936
"CACNA1H",0.274131375138461
"STOX2",0.27269917911755
"GCFC2",0.269185411771442
"KIF21A",0.264830188522314
"APIP",0.262308489304748
"SAR1A",0.255520710662286
