"","dPSI_Sy5Y_2189972_3x"
"KCNT2",0.806
"ASAP1",0.779
"ARL15",0.752
"HDX",0.66
"POMT2",0.596
"AL589743.1",0.590110279517579
"TPTEP2",0.585071709297573
"MAOA",0.568
"PDE7A",0.554
"LRRC42",0.521
"MELTF",0.517392401690938
"ASAP2",0.516
"LIMCH1",0.497
"NOMO2",0.489969707014012
"CHRM2",0.469810551401108
"ERGIC3",0.467
"LARP7",0.432
"ZNF37BP",0.430578065198765
"NBR2",0.430461621232665
"TAF2",0.426
"LYRM1",0.42
"ATR",0.418
"IL17RC",0.41063611562569
"WDR27",0.404090968878035
"AL713999.1",0.388405033141733
"MADD",0.377
"BPHL",0.373
"ABCB8",0.364
"C14orf132",0.358850135312591
"VPS29",0.343
"HARS1",0.341
"LINC02210",0.339538835387382
"CHEK1",0.336
"PHOX2B-AS1",0.329131990204886
"KIF27",0.329
"ENAH",0.327357640394972
"KDM6A",0.315
"SMN2",0.310463858867357
"GGCT",0.308
"STRN3",0.307
"SLC25A17",0.30154142186872
"FRY",0.297934243084726
"EXOC6B",0.29732390272975
"FOXM1",0.290923321261632
"EVC",0.286094962098404
"C12orf4",0.278819939389004
"RAP1A",0.272515928228276
"SPIDR",0.266860070699573
"PCBP1-AS1",0.253739082956091
"PRICKLE1",0.252936323467366
"ZNF618",0.252931720136653
