"","dPSI_iPSC_1755497_10x_bridge"
"ARL15",0.846
"C12orf4",0.822012124660472
"ZNF37BP",0.809737024066252
"POMT2",0.786
"ASAP1",0.699
"AC009022.1",0.666304764727471
"HTT",0.662177563001632
"HDX",0.624
"KDM6A",0.574
"PDE7A",0.568
"SKP1",0.566942084363434
"PDXDC2P",0.5461888897104
"LRRC42",0.534
"ADAMTS19",0.521427167187421
"RAB3IP",0.518
"ZFP82",0.494248058280354
"AC104109.3",0.493444931992523
"NAV2",0.493
"KCNT2",0.489304145033739
"LYRM1",0.487
"RASSF8-AS1",0.475
"CACNA2D1",0.470266976949752
"LINC00862",0.465147216480579
"CLASP2",0.460691248358707
"LINC02210",0.459702203126408
"MYCBP2",0.45
"TAF2",0.447
"HAUS3",0.440174250359914
"AP2M1",0.435617953488457
"GALC",0.425
"DLGAP4",0.42381830699602
"TPTEP2",0.42235811761618
"TIAM1",0.416626184743358
"RPP21",0.411
"BECN1",0.405504505620858
"NR1H3",0.403621871381342
"WDR90",0.398658373369577
"TMEM50B",0.398376792650963
"FOXM1",0.389739045602551
"GRAMD2B",0.383
"IFT27",0.383
"AC138894.1",0.377
"AXIN1",0.369
"GXYLT1",0.361458565981511
"ANXA11",0.360843446991764
"ZNF618",0.357884505904767
"ZMYM6",0.355672028116919
"GGCT",0.354
"MIR924HG",0.347
"ABCB8",0.344
"NUP58",0.344
"PILRB",0.344
"MADD",0.343
"VPS29",0.34
"LARP7",0.339
"SENP6",0.334
"XPO1",0.333
"STRN",0.332187849904504
"CHD9",0.331006303809972
"STRN3",0.331
"KIF21A",0.328620459851961
"ERGIC3",0.325043775978921
"EXOC6B",0.325
"FAAP20",0.324
"CD27-AS1",0.32
"CLK4",0.32
"PNISR",0.318978770917308
"LARS1",0.317
"CLN3",0.312
"MMS22L",0.310538241758163
"RCC1",0.309534431918989
"ZNF730",0.306622889178508
"NFIB",0.297722435730512
"TENT2",0.284787262033345
"ARMCX6",0.282894909248482
"RAF1",0.280198396416664
"SPIDR",0.261901883844317
"FBN2",0.258044711811475
