""	"iPSC.4741.10x"	"iPSC.4741.3x"	"NGN2.4741.10x"	"NGN2.4741.3x"
"AC009022.1"	1	1	1	1
"APIP"	1	1	1	1
"APLP2"	1	1	1	1
"ARL15"	1	1	1	1
"AXIN1"	1	1	1	1
"C12orf4"	1	1	1	1
"CACNA1H"	1	1	1	1
"CLASP2"	1	1	1	1
"DENND5A"	1	1	1	1
"FAM162A"	1	1	1	1
"GCFC2"	1	1	1	1
"KDM6A"	1	1	1	1
"LARP7"	1	1	1	1
"LRRC42"	1	1	1	1
"MATK"	1	1	1	1
"PDE7A"	1	1	1	1
"PDXDC1"	1	1	1	1
"PDXDC2P"	1	1	1	1
"POMT2"	1	1	1	1
"RAF1"	1	1	1	1
"SAR1A"	1	1	1	1
"SENP6"	1	1	1	1
"SERGEF"	1	1	1	1
"SLC25A17"	1	1	1	1
"STRN"	1	1	1	1
"STRN3"	1	1	1	1
"TAF2"	1	1	1	1
"TENT2"	1	1	1	1
"TPTEP2"	1	1	1	1
"TSPAN7"	1	1	1	1
"ZFP82"	1	1	1	1
"ABCB8"	1	0	1	1
"ASCC3"	1	0	1	1
"CDC37L1"	1	0	1	1
"CLN3"	1	0	1	1
"DHFR"	1	0	1	1
"DLGAP4"	1	0	1	1
"ENAH"	1	0	1	1
"EVC"	1	0	1	1
"EXOC6B"	1	1	1	0
"HDX"	1	1	1	0
"HTT"	1	0	1	1
"LINC02210"	1	0	1	1
"MADD"	1	1	1	0
"MFN2"	1	1	1	0
"MYCBP2"	1	1	1	0
"PMS1"	1	0	1	1
"RAB2B"	1	1	1	0
"RAP1A"	1	0	1	1
"RAPGEF1"	1	0	1	1
"SEC22A"	1	0	1	1
"SKP1"	1	0	1	1
"SLC7A6"	1	0	1	1
"SNAP23"	1	0	1	1
"TARBP1"	1	0	1	1
"TNRC6A"	1	1	1	0
"UBAP2L"	1	0	1	1
"VAV2"	1	0	1	1
"VPS29"	1	1	1	0
"WDR27"	1	0	1	1
"WDR90"	0	1	1	1
"WDR91"	1	0	1	1
"XRN2"	1	0	1	1
"ZMIZ2"	1	0	1	1
"ABHD10"	1	0	1	0
"AC068205.2"	1	0	1	0
"ADAM17"	0	0	1	1
"ADGRL1"	1	0	1	0
"AL031315.1"	0	0	1	1
"ANKRD18CP"	1	1	0	0
"ASAP1"	1	1	0	0
"BECN1"	1	0	1	0
"C14orf132"	1	0	1	0
"CENPI"	1	1	0	0
"CHD9"	1	0	1	0
"CLK4"	1	0	1	0
"CNGA3"	0	0	1	1
"CTNS"	1	0	1	0
"CTTNBP2"	1	0	1	0
"DCAF17"	1	0	1	0
"DDX42"	1	0	1	0
"DENND1A"	1	0	1	0
"DLG5"	1	0	1	0
"DPH1"	1	0	1	0
"DPY30"	0	0	1	1
"EIF2D"	0	0	1	1
"EMSY"	1	0	1	0
"ERCC8"	0	0	1	1
"EXTL2"	1	0	1	0
"FAAP20"	1	0	1	0
"FAM124A"	1	0	1	0
"FAM161A"	1	0	1	0
"FBN2"	1	1	0	0
"FGF12"	0	0	1	1
"FHOD3"	0	0	1	1
"FNIP2"	0	0	1	1
"FOXM1"	1	1	0	0
"FSIP2"	0	0	1	1
"GALC"	0	0	1	1
"GGCT"	1	1	0	0
"GLRA3"	0	0	1	1
"GRAMD2B"	1	1	0	0
"HAUS3"	0	0	1	1
"HSD17B12"	1	0	1	0
"HSD17B4"	1	0	1	0
"IFT57"	1	0	1	0
"INTU"	1	0	0	1
"IVD"	1	0	1	0
"KCNT2"	0	0	1	1
"KLHL1"	0	0	1	1
"LIMCH1"	0	0	1	1
"LRIG2"	0	0	1	1
"LYRM1"	1	0	1	0
"MAN1A2"	1	0	1	0
"MAPK10"	0	0	1	1
"MELTF"	0	0	1	1
"MEMO1"	0	0	1	1
"MLLT10"	1	0	1	0
"MRPS5"	0	0	1	1
"MSL3"	0	0	1	1
"NAV2"	1	1	0	0
"NELFA"	1	0	1	0
"NIPA1"	1	0	1	0
"NKAIN2"	0	0	1	1
"NUP58"	1	0	1	0
"PCDH10"	0	0	1	1
"PDIA5"	1	0	1	0
"PIGN"	1	0	1	0
"PITPNB"	1	0	1	0
"PNISR"	1	0	1	0
"PPHLN1"	0	0	1	1
"PPIL2"	1	1	0	0
"PPIP5K2"	1	0	1	0
"PPP1R26"	1	1	0	0
"PRPF31"	1	0	1	0
"RARS2"	1	0	1	0
"RBBP8"	1	0	1	0
"RCC1"	1	0	1	0
"RNF144A"	1	0	1	0
"SCO1"	1	0	1	0
"SETX"	0	0	1	1
"SF3B3"	1	0	1	0
"SLC24A3"	0	0	1	1
"SNHG16"	1	0	1	0
"SOS2"	0	0	1	1
"SPPL2B"	1	0	1	0
"SUPT20H"	1	0	1	0
"SYNE4"	0	0	1	1
"TASP1"	1	0	1	0
"TCF4"	1	1	0	0
"THSD7B"	0	0	1	1
"TIAM1"	1	0	1	0
"TMEM214"	1	0	1	0
"TNFRSF25"	0	0	1	1
"TOE1"	1	0	1	0
"TSPAN2"	1	0	1	0
"ULK1"	1	0	1	0
"VPS13A"	1	0	1	0
"WASHC4"	1	0	1	0
"WDR17"	0	0	1	1
"WDR37"	1	0	1	0
"WNK1"	1	0	1	0
"ZDHHC11"	1	0	1	0
"ZFYVE26"	1	0	1	0
"ZNF618"	0	0	1	1
"ABCC8"	0	0	1	0
"AC007614.1"	0	0	1	0
"AC068547.1"	0	0	1	0
"AC093525.2"	0	0	1	0
"AC114490.2"	0	0	1	0
"ACAD11"	0	0	1	0
"ADAMTS10"	0	0	1	0
"ADAMTS19"	1	0	0	0
"AGK"	0	0	1	0
"AGO3"	1	0	0	0
"AGPS"	0	0	1	0
"AKAP9"	0	0	1	0
"AL157871.6"	0	0	1	0
"ALDH3A2"	1	0	0	0
"ANAPC16"	1	0	0	0
"ANKHD1"	1	0	0	0
"ANKHD1-EIF4EBP3"	1	0	0	0
"ANXA11"	1	0	0	0
"AP004608.1"	0	0	1	0
"APPL2"	0	0	1	0
"ARAP3"	1	0	0	0
"ARHGAP5"	1	0	0	0
"ARHGEF40"	0	0	1	0
"ARMCX6"	1	0	0	0
"ARMH3"	0	0	1	0
"ASNS"	0	0	1	0
"ATG2B"	0	0	1	0
"ATP8A2"	0	0	1	0
"BBS9"	0	0	1	0
"BICRA"	0	0	1	0
"BLMH"	0	0	1	0
"BORCS8-MEF2B"	1	0	0	0
"C19orf47"	0	0	1	0
"C1orf94"	1	0	0	0
"C1RL-AS1"	1	0	0	0
"CA12"	1	0	0	0
"CACNA1C"	0	0	1	0
"CACNB4"	0	0	1	0
"CDCA4"	0	0	1	0
"CDK18"	1	0	0	0
"CENPL"	1	0	0	0
"CEP41"	0	0	1	0
"CERS5"	0	0	1	0
"CHEK2"	1	0	0	0
"CHRM2"	0	0	1	0
"CMSS1"	0	0	1	0
"CNOT1"	0	0	1	0
"CNTRL"	1	0	0	0
"COG3"	0	0	1	0
"COP1"	0	0	1	0
"COPS5"	0	0	1	0
"COPS7B"	0	0	1	0
"CPLX2"	0	0	1	0
"CRYM"	1	0	0	0
"CSTF3"	0	0	1	0
"CYB561D1"	0	0	1	0
