,dPSI_BIO2197294_CHX_vs_DMSO_CHX
AC009022.1,0.48341714717863
ACLY,0.340270495569038
ADAMTS19,-0.490753266554147
ASAP1,0.300417041371658
AXIN1,-0.269216075789049
CACNA2D1,0.309448566712965
CHD9,-0.264496395084843
CIP2A,-0.456622797912196
CRYL1,-0.255295351158408
DHFR,-0.29904761837031
EMSY,-0.262672260875701
EVC,-0.253913337118234
FAAP20,-0.295284433297592
FAM214A,0.257303218592469
FHOD3,0.433337320896267
HTT,0.379650327146296
KCNT2,-0.272429938045195
LARP7,-0.36198043404526
MLLT10,-0.43618777631226
PDE7A,0.32216288754928
PDXDC1,0.28805659408038
PITPNB,0.335305658837629
POMT2,0.349424593400112
PSMA1,0.417168905507752
SETDB2,-0.290591231220746
SLC25A23,-0.336391553753169
SLC7A6,-0.268370874964388
SPEF2,0.372656075980895
SPRYD7,-0.317030977913162
SREK1,0.263004435210929
TAF2,-0.385154281452812
TENT2,0.254992732223773
TIAM1,-0.34469985343137
WDR27,-0.349737461681053
XRN2,-0.414765746905044
