Row.names,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH.x,dPSI_U1_WT_500_Branaplam_vs_DMSO_EtOH.x,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x
AADAT,-0.282387372865794,NA,-0.283163416176954,NA,NA
ABCA5,-0.271837852806483,NA,NA,NA,NA
ABCB8,-0.480158340436735,-0.336653432359434,-0.303957984824529,NA,NA
AC004803.1,NA,NA,0.302278524611874,NA,NA
AC009022.1,0.491094152507584,0.334863430604006,0.494929626634421,0.339771233646327,NA
AC009053.2,0.260873810290136,NA,NA,NA,NA
AC009533.1,0.258902110291776,NA,0.291955920869892,NA,NA
AC026191.1,0.291272184793279,NA,NA,NA,NA
AC092683.1,0.258444583764596,NA,NA,NA,NA
AC138649.1,-0.412667531910287,NA,0.25730274887939,NA,NA
AC138894.1,-0.412804176631046,NA,-0.293116529476933,NA,NA
AC159540.2,0.260257173366379,NA,NA,NA,NA
AC241952.2,0.279466888999039,NA,NA,NA,NA
ACAD10,0.276915512898085,NA,NA,NA,NA
ACAD11,-0.28183034535007,NA,-0.256257951611113,NA,NA
ACSS3,-0.272441272213384,NA,NA,NA,NA
ACTN2,NA,NA,0.272347258501923,NA,NA
ADAMTS19,0.383793907245573,NA,0.366160736273104,NA,NA
AGO3,-0.283193791229602,NA,-0.296930745456997,NA,NA
AKAP17A,NA,NA,-0.297983518636396,NA,NA
AKAP8L,-0.413800240897315,NA,-0.432404839906239,NA,NA
AL009179.1,NA,NA,-0.287351305042466,NA,NA
AL512353.1,0.318575166204586,NA,NA,NA,NA
ANKRA2,-0.269717036504429,NA,NA,NA,NA
APLP2,-0.337705495222861,NA,NA,0.43956041421823,NA
ARSK,-0.365039260438,NA,-0.300285900651307,NA,NA
ASAP1,0.310374244020623,-0.422522177405048,0.31376968128913,-0.427548499481227,NA
ASTE1,-0.251465876014552,NA,-0.256799613893724,NA,NA
ATF2,NA,NA,-0.280986259140549,NA,NA
ATRX,-0.300497121317872,NA,-0.341288370065076,NA,NA
AUH,-0.268670696425351,NA,-0.256081549274936,NA,NA
B3GNTL1,NA,0.288612251887247,NA,NA,NA
BCLAF3,-0.297675862201201,NA,NA,NA,NA
BTN2A1,-0.26724292455989,NA,NA,NA,NA
BTN3A3,NA,NA,-0.361655718501615,NA,NA
C19orf47,NA,NA,0.362569417922371,NA,NA
C1QTNF6,0.361610700468834,NA,NA,NA,NA
CACNA2D1,0.384339187725795,0.524957250982601,0.381385912646505,0.522179029961752,NA
CACNA2D3,NA,NA,0.305110016420333,NA,NA
CACNB4,-0.259517299118582,NA,NA,NA,NA
CASKIN1,NA,NA,0.296682228278071,NA,NA
CASP2,-0.334485598950205,NA,-0.296351003140283,NA,NA
CBWD3,-0.285784990985496,NA,NA,NA,NA
CBWD5,-0.311397983903213,NA,-0.2789070546898,NA,NA
CCNL1,-0.280846097526185,NA,NA,NA,NA
CDK11A,NA,NA,0.277748996566582,NA,NA
CDKN2AIP,0.305194740762971,NA,NA,NA,NA
CEP250,-0.300871566740911,NA,NA,NA,NA
CEP89,-0.280953787460171,NA,NA,NA,NA
CEPT1,-0.355428481462005,NA,-0.297394589750756,NA,NA
CHKB.DT,-0.260082923379667,NA,NA,NA,NA
CIP2A,-0.322699972403135,NA,-0.322764210955871,NA,NA
CLASRP,NA,NA,0.30727405433844,NA,NA
CLK1,0.41115265427212,NA,0.395910032979422,NA,NA
CLK4,NA,NA,0.277696200313018,NA,NA
COX18,0.342016736693917,NA,0.299967391210805,NA,NA
CUL7,0.300582091294887,-0.294197220103628,NA,NA,-0.285424354968543
CYTH1,0.477197001020964,NA,0.455069171661039,NA,NA
DCAF8,-0.343875586346088,NA,-0.321307975270504,NA,NA
DECR2,-0.303480292233204,NA,-0.308920701745642,NA,NA
DENND1B,-0.296197593914066,NA,-0.268503415145613,NA,NA
DEPDC4,0.269523506002686,NA,NA,NA,NA
DHFR,-0.269952813583801,NA,NA,NA,NA
DHX34,NA,NA,-0.255329376380982,NA,NA
DHX9,-0.3797383162076,NA,-0.369896273032033,NA,NA
DLGAP4,-0.255463043054869,-0.291090725126799,NA,-0.285945519422187,NA
DNAJC25,-0.327572718776031,NA,-0.292752991585678,NA,NA
DNAJC27,NA,NA,0.270104207718901,NA,NA
DNAJC6,-0.282465120842249,NA,-0.279663255517315,NA,NA
DPY19L2P1,-0.265741626714286,NA,NA,NA,NA
EDRF1,-0.345179919969755,NA,-0.337147762686432,NA,NA
EEA1,-0.251803970152374,NA,NA,NA,NA
EIF4A2,-0.321376330873829,NA,-0.282038946248765,NA,NA
ELMOD3,-0.308865432421145,NA,NA,NA,NA
EMC9,0.285143285409782,NA,-0.263872717729665,NA,NA
EPC2,-0.256414924697023,NA,NA,NA,NA
EPG5,0.253920038631045,NA,NA,NA,NA
ERGIC3,-0.305319429911415,NA,-0.310201796179148,-0.263982495063235,NA
ERMARD,0.262585956232512,NA,NA,NA,NA
EVC,-0.342305709323348,-0.263510885059157,-0.342016981375229,-0.26328435282868,NA
EXOG,-0.260852113851142,NA,-0.316713877169933,NA,NA
EYA3,-0.361146174279898,NA,-0.362176290472319,NA,NA
FAAP20,-0.270566607135281,-0.349261177069026,NA,0.253947295982727,NA
FAM228B,0.356813177060281,NA,NA,NA,NA
FDXR,0.307265939282643,NA,NA,NA,NA
FHOD3,0.371062362302737,NA,0.371022034743366,NA,NA
FNBP4,-0.342532387412466,NA,-0.317862095659807,NA,NA
FOXM1,NA,-0.264416144374241,NA,-0.259433531164001,NA
GARNL3,0.374638181638194,NA,NA,NA,NA
GAS8,-0.259344713276418,NA,NA,NA,NA
GDAP1,0.3311113250922,NA,0.324957777771462,NA,NA
GLS,-0.253866671911518,NA,NA,NA,NA
GOLGA8A,NA,NA,0.370890166239945,NA,NA
GORAB,-0.286679166810912,NA,NA,NA,NA
GPATCH2,-0.318988914583819,NA,0.261638318309531,NA,NA
GPC2,0.326698929814644,NA,NA,NA,NA
GRB10,0.262393138452538,NA,NA,NA,NA
GTF2H2,-0.270219197953535,NA,NA,NA,NA
GTF2IP13,0.25816238323188,NA,NA,NA,NA
H2BC5,NA,NA,-0.253909166933329,NA,NA
H4C14,NA,0.393050588730045,NA,NA,NA
HLF,NA,NA,0.255517540734268,NA,NA
HSD17B6,NA,0.299326616010368,NA,NA,NA
HSD17B7P2,NA,NA,0.328281517672291,NA,NA
HTT,0.273334483546729,-0.272680089431603,0.273110412407847,-0.271376070568541,NA
IFFO1,-0.371564324063878,NA,-0.375032539349802,NA,NA
IMPACT,0.254041240191547,NA,0.26779314649364,NA,NA
IVNS1ABP,-0.399509427535768,NA,-0.382524365939711,NA,NA
JAK2,0.275295096955098,NA,NA,NA,NA
KANSL2,-0.349409707679857,NA,NA,NA,NA
KCNT2,0.611997537705203,NA,0.514421817878601,NA,NA
KDM6A,0.269956671480748,-0.493999505736343,NA,-0.495366425668275,NA
KIF27,-0.257325701441825,NA,-0.270922687297119,NA,NA
KLHL17,0.309152849517376,NA,NA,NA,NA
KPNA5,-0.332540710351496,NA,-0.304632230880944,NA,NA
KYAT1,0.255891684992031,NA,NA,NA,NA
LARP7,NA,NA,NA,-0.428844494694919,NA
LINC00491,NA,0.286230229757967,NA,NA,NA
LINC02210,0.257022582069885,NA,0.2586708953366,-0.33134443278539,NA
LNPK,-0.252948894622475,NA,NA,NA,NA
LRIG2,-0.252707077775001,NA,-0.305573852264405,NA,NA
LRRC27,-0.327554734736841,NA,-0.376521231736149,NA,NA
LRRC37A3,0.282685494419937,NA,NA,NA,NA
LRRC69,NA,NA,0.315372689078025,NA,0.378721190278703
LTN1,-0.308834669725694,NA,-0.25417077748152,NA,NA
LUC7L,-0.272891306356481,NA,NA,NA,NA
MADD,NA,-0.345666923191623,NA,NA,NA
MAN2A1,-0.264594046940337,NA,-0.273791409043595,NA,NA
MANBA,-0.293076073811625,NA,NA,NA,NA
MAP3K15,-0.308492032070659,NA,-0.436483257013645,NA,NA
MCEE,NA,NA,0.307521630939519,NA,NA
MCOLN3,-0.296225171654797,NA,NA,NA,NA
MDH1B,-0.294597141695156,NA,NA,NA,NA
MELTF,0.291235956233964,NA,NA,NA,NA
METTL22,0.361666483425692,NA,0.39491245843382,NA,NA
MINAR1,-0.385354137034268,NA,-0.343535292498017,NA,NA
MLLT10,-0.400555223152398,NA,-0.400537579568157,NA,NA
MOV10,-0.289944858790694,NA,NA,NA,NA
MRPS6,0.313361870026817,NA,NA,NA,NA
MSH5,0.36539200234447,NA,NA,NA,NA
MUTYH,0.285136623242774,NA,0.258851853013834,NA,NA
NAA16,-0.408443294920362,NA,-0.346535440898555,NA,NA
NAA25,-0.310075498098496,NA,-0.306397403602101,NA,NA
NKTR,0.253073867858614,NA,-0.366849313014955,NA,NA
NOP14.AS1,0.376106925346518,NA,NA,NA,NA
NOP56,0.38723464108886,NA,0.370157832355053,NA,NA
NSUN5P1,NA,NA,-0.289661299503368,NA,NA
NT5M,-0.340831208836841,NA,0.282002629582254,NA,NA
NUDT16L1,0.336282159764428,NA,NA,NA,NA
NUP58,NA,NA,NA,-0.251780283594609,NA
ODR4,-0.32010529388624,NA,-0.273661267061495,NA,NA
PANK2,-0.261514304168577,NA,NA,NA,NA
PANK4,0.39596455270146,NA,NA,NA,NA
PARG,-0.268886190684986,NA,NA,NA,NA
PARP4,NA,NA,-0.255712611841655,NA,NA
PATL1,-0.328429816617503,NA,-0.324825295898269,NA,NA
PCCA,-0.263821874311574,NA,NA,NA,NA
PCNX2,NA,NA,0.279650450671209,NA,NA
PDCD6IPP2,0.338305388276291,NA,0.383219346965089,NA,NA
PDE5A,-0.371709729265252,NA,-0.362659717580003,NA,NA
PDE7A,0.350325779376945,0.310846075775267,0.400956024848288,0.360843172178892,NA
PDSS1,0.267329854006401,NA,0.26140949924363,NA,NA
