,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH
AADAT,-0.282387372865794
ABCA5,-0.271837852806483
ABCB8,-0.480158340436735
AC009022.1,0.491094152507584
AC009053.2,0.260873810290136
AC009533.1,0.258902110291776
AC026191.1,0.291272184793279
AC092683.1,0.258444583764596
AC138649.1,-0.412667531910287
AC138894.1,-0.412804176631046
AC159540.2,0.260257173366379
AC241952.2,0.279466888999039
ACAD10,0.276915512898085
ACAD11,-0.28183034535007
ACSS3,-0.272441272213384
ADAMTS19,0.383793907245573
AGO3,-0.283193791229602
AKAP8L,-0.413800240897315
AL512353.1,0.318575166204586
ANKRA2,-0.269717036504429
APLP2,-0.337705495222861
ARSK,-0.365039260438
ASAP1,0.310374244020623
ASTE1,-0.251465876014552
ATRX,-0.300497121317872
AUH,-0.268670696425351
BCLAF3,-0.297675862201201
BTN2A1,-0.26724292455989
C1QTNF6,0.361610700468834
CACNA2D1,0.384339187725795
CACNB4,-0.259517299118582
CASP2,-0.334485598950205
CBWD3,-0.285784990985496
CBWD5,-0.311397983903213
CCNL1,-0.280846097526185
CDKN2AIP,0.305194740762971
CEP250,-0.300871566740911
CEP89,-0.280953787460171
CEPT1,-0.355428481462005
CHKB.DT,-0.260082923379667
CIP2A,-0.322699972403135
CLK1,0.41115265427212
COX18,0.342016736693917
CUL7,0.300582091294887
CYTH1,0.477197001020964
DCAF8,-0.343875586346088
DECR2,-0.303480292233204
DENND1B,-0.296197593914066
DEPDC4,0.269523506002686
DHFR,-0.269952813583801
DHX9,-0.3797383162076
DLGAP4,-0.255463043054869
DNAJC25,-0.327572718776031
DNAJC6,-0.282465120842249
DPY19L2P1,-0.265741626714286
EDRF1,-0.345179919969755
EEA1,-0.251803970152374
EIF4A2,-0.321376330873829
ELMOD3,-0.308865432421145
EMC9,0.285143285409782
EPC2,-0.256414924697023
EPG5,0.253920038631045
ERGIC3,-0.305319429911415
ERMARD,0.262585956232512
EVC,-0.342305709323348
EXOG,-0.260852113851142
EYA3,-0.361146174279898
FAAP20,-0.270566607135281
FAM228B,0.356813177060281
FDXR,0.307265939282643
FHOD3,0.371062362302737
FNBP4,-0.342532387412466
GARNL3,0.374638181638194
GAS8,-0.259344713276418
GDAP1,0.3311113250922
GLS,-0.253866671911518
GORAB,-0.286679166810912
GPATCH2,-0.318988914583819
GPC2,0.326698929814644
GRB10,0.262393138452538
GTF2H2,-0.270219197953535
GTF2IP13,0.25816238323188
HTT,0.273334483546729
IFFO1,-0.371564324063878
IMPACT,0.254041240191547
IVNS1ABP,-0.399509427535768
JAK2,0.275295096955098
KANSL2,-0.349409707679857
KCNT2,0.611997537705203
KDM6A,0.269956671480748
KIF27,-0.257325701441825
KLHL17,0.309152849517376
