,dPSI_U1_WT_500_Branaplam_vs_DMSO_EtOH
ABCB8,-0.336653432359434
AC009022.1,0.334863430604006
ASAP1,-0.422522177405048
B3GNTL1,0.288612251887247
CACNA2D1,0.524957250982601
CUL7,-0.294197220103628
DLGAP4,-0.291090725126799
EVC,-0.263510885059157
FAAP20,-0.349261177069026
FOXM1,-0.264416144374241
H4C14,0.393050588730045
HSD17B6,0.299326616010368
HTT,-0.272680089431603
KDM6A,-0.493999505736343
LINC00491,0.286230229757967
MADD,-0.345666923191623
PDE7A,0.310846075775267
POMT2,0.355221391506032
RBM8A,0.353436281580453
RNF32,0.415176773251126
SPIDR,0.292899495311496
TAF2,-0.345092953533788
TIAM1,0.272322606388943
TPTEP2,-0.27881649921786
ZFP62,-0.284917636525476
ZNF37BP,0.421107495613949
ZNF419,0.263907248548305
ZNF618,-0.26420575358658
