,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH
AC009022.1,0.339771233646327
APLP2,0.43956041421823
ASAP1,-0.427548499481227
CACNA2D1,0.522179029961752
DLGAP4,-0.285945519422187
ERGIC3,-0.263982495063235
EVC,-0.26328435282868
FAAP20,0.253947295982727
FOXM1,-0.259433531164001
HTT,-0.271376070568541
KDM6A,-0.495366425668275
LARP7,-0.428844494694919
LINC02210,-0.33134443278539
NUP58,-0.251780283594609
PDE7A,0.360843172178892
POMT2,0.348453807853848
SENP6,-0.282551499386091
SPIDR,0.303526316290928
TAF2,-0.329320867711078
TIAM1,0.257138907728027
TPTEP2,-0.261151519914346
