Row.names,dPSI_U1_mut2_500_EtOH_vs_DMSO_EtOH.x,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x,dPSI_U1_mut2_500_CHX_vs_DMSO_CHX,dPSI_U1_WT_500_CHX_vs_DMSO_CHX
ABHD4,0.463986096434606,NA,0.37741016129913,NA
AC008581.2,NA,NA,-0.31532928734887,NA
AC090825.1,NA,NA,0.342399113022576,NA
AC138894.1,-0.352258993543775,NA,NA,NA
AC215522.2,NA,NA,0.294373994817518,NA
ADAM22,-0.273872348766978,NA,NA,NA
ADCY3,NA,NA,-0.301369059706868,NA
AFF1,NA,NA,-0.378077658957325,NA
AGAP12P,0.280621536493796,NA,NA,NA
AL355574.1,NA,NA,0.296319340642663,NA
ALG13,NA,NA,-0.296695307387233,NA
ANKRD20A2P,NA,NA,0.251868802247434,NA
AP2M1,NA,NA,NA,0.394566363147179
AP3B2,NA,NA,0.251530054481562,NA
APLP2,-0.256788290297294,NA,NA,NA
ATP6AP1L,0.529285708082389,NA,0.427532116475033,NA
BARHL2,NA,NA,-0.364474345530629,NA
C1GALT1,-0.276345054851802,NA,-0.263459900573764,NA
C1orf109,-0.302359603470701,NA,NA,NA
C1QTNF6,0.446483419046983,NA,NA,NA
C2orf42,-0.293664724908127,NA,NA,NA
CALM1,NA,NA,-0.310576414022351,NA
CCDC130,NA,NA,0.305997965878726,NA
CUL7,NA,-0.285424354968543,NA,NA
CYB561D1,0.272486234889516,NA,NA,NA
DENND4A,NA,NA,-0.285143393780554,NA
DHRS4L2,-0.268496674210166,NA,NA,NA
DLG5,NA,NA,-0.358960524163615,NA
DNAH14,NA,NA,0.264294378496837,NA
DNAJC27,0.327677305050575,NA,NA,NA
DZIP3,NA,NA,-0.274802735892797,NA
EFCAB14,0.277161220784465,NA,0.276651420636919,NA
ELMOD1,NA,NA,0.277727118508369,NA
ENPP2,NA,NA,-0.352129118061868,NA
ERGIC2,NA,NA,-0.250115914467253,NA
FAM122C,NA,NA,0.331405471697255,NA
FAM200A,NA,NA,-0.285648997209629,NA
FANCC,0.306112614666025,NA,NA,NA
FMNL2,NA,NA,-0.339271804925755,NA
FNIP1,NA,NA,-0.301760142333998,NA
FNIP2,-0.30035136673958,NA,-0.383206511071277,NA
GALNT13,-0.286082770020485,NA,-0.318387579973989,NA
GDAP2,NA,NA,-0.302393300450118,NA
GDI2,-0.300273055087817,NA,-0.274263454545155,NA
GK5,-0.296278791072982,NA,-0.358306323816343,NA
GNPTAB,NA,NA,-0.250606597318593,NA
GORASP2,-0.371430784026834,NA,-0.311098677474601,NA
GRK3,NA,NA,-0.300876114203096,NA
GUCY1A1,NA,NA,-0.310123231871788,NA
HEATR5B,-0.266466408225504,NA,-0.303414397085266,NA
HERC2P2,NA,NA,-0.321311545466497,NA
HIKESHI,NA,NA,-0.297554631272911,NA
HMG20A,-0.257832113421086,NA,NA,NA
HOOK1,-0.326369649290716,NA,0.278273517419647,NA
HUNK,NA,NA,0.296714518232,NA
ICE1,NA,NA,-0.271954652058281,NA
ITFG2.AS1,0.344185742816247,NA,NA,NA
KDM4A,-0.323283263072082,NA,-0.334671276328588,NA
KDM6A,0.254495094258751,NA,NA,NA
KIAA1109,0.304306325952945,NA,0.389763824683232,NA
L3MBTL3,NA,NA,-0.250256695907215,NA
LIMS1,-0.311380538954897,NA,-0.343945154166042,NA
LINC00491,0.373788169009217,NA,NA,NA
LINC01145,NA,NA,0.313048544637749,NA
LRCH2,NA,NA,-0.336577822452667,NA
LRP6,-0.341383340985935,NA,-0.425695664032446,NA
