,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2186827_10x_vs_GM_DMSO,dPSI_GM_BIO_2186827_3x_vs_GM_DMSO
ABCB8,NA,NA,0.81,0.455
AC004784.1,NA,NA,0.4807,NA
AC006059.1,0.7794,0.4787,0.6366,NA
AC009022.1,0.775185753878901,0.28899811653141,0.975164894100556,0.754348751687389
AC020915.3,NA,NA,0.302409099760361,NA
AC068547.1,NA,NA,0.6902,NA
AC093157.1,NA,0.349,NA,NA
AC114490.2,NA,NA,0.5346,NA
AC138894.1,NA,NA,0.312,NA
ADGRL1,NA,NA,0.447197019685689,NA
AGPS,NA,NA,0.328084818466306,NA
AKAP9,NA,NA,0.317258911434521,NA
ANP32A,NA,NA,0.6452,NA
ANXA11,NA,NA,0.343,NA
APPL2,NA,NA,0.4812,NA
ARHGAP1,NA,NA,0.262972375369992,NA
ARL15,NA,NA,0.962,0.689
ARMCX6,NA,NA,0.250764380930439,NA
ARSJ,NA,NA,0.323334619558974,NA
ASAP1,NA,NA,0.982,0.78
ASAP2,NA,NA,0.421273929756927,NA
ASCC3,NA,NA,0.53244671813479,NA
ATP5MC1,NA,NA,0.336,NA
AXIN1,NA,NA,0.672,0.394
BECN1,NA,NA,0.5393,NA
C12orf4,0.38622379738291,NA,0.788214792020416,NA
C14orf132,NA,NA,0.614,0.316569673859902
CACNB1,NA,NA,0.335263341189162,NA
CACNB4,NA,NA,0.306,NA
CAND2,0.5425,NA,NA,NA
CCDC136,0.321,NA,NA,NA
CDC37L1,NA,NA,0.483664118496617,NA
CECR7,0.565000779241771,0.534367051673156,0.65791171382406,NA
CEMIP,0.4156,NA,0.5037,NA
CHEK1,NA,NA,0.252249722501185,NA
CIP2A,NA,NA,0.650445296748303,NA
CLK4,NA,NA,0.317,NA
CMAHP,0.295637183768856,NA,NA,NA
COPS7B,NA,NA,0.478,NA
CSF1,NA,NA,0.271876322702986,NA
DCAF17,NA,NA,0.414361759170543,NA
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,NA,NA
DHFR,NA,NA,0.536850794604171,NA
DLGAP4,NA,NA,0.478,0.386
DNAJC27,NA,NA,0.26410877171634,NA
DNM2,NA,NA,NA,0.502544108840155
DPH1,NA,NA,0.436638906490885,NA
DRG2,0.304,NA,NA,NA
DYRK1A,NA,NA,0.4555,NA
ELMO2,NA,NA,0.305,NA
EMSY,NA,NA,0.510927763290033,NA
ENAH,NA,NA,0.572,0.3512
ERGIC3,NA,NA,0.614,0.372812789464068
EVC,NA,NA,0.738443541128818,NA
EXOC6B,NA,NA,0.59,0.263547767210866
FAAP20,NA,NA,0.451,0.304
FAM162A,0.316042385012033,NA,NA,NA
FAM174A,0.302543099531048,NA,NA,NA
FBN2,0.748154577611698,0.689503472893666,0.756940305933873,0.743157661811558
FBXO10,NA,NA,NA,0.575309862073138
FOXM1,0.457,NA,0.349279261037139,NA
GALC,0.462,NA,NA,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,0.3819,NA
GMDS.DT,NA,NA,0.33,NA
GNG12,NA,NA,0.812743189121903,0.589324123295265
GSDMB,0.408310001574108,NA,0.341149345075143,0.307
GXYLT1,NA,NA,0.347033398994458,NA
HAUS3,NA,NA,0.5767,NA
HDX,NA,NA,0.672,0.458202311086929
HIKESHI,0.369,NA,NA,NA
HMGA2,NA,NA,0.614636213398829,NA
HTT,NA,NA,0.8295,0.372913771036635
HYAL3,NA,NA,0.355,NA
KDM6A,NA,NA,0.857,0.314
KLHL23,NA,NA,NA,0.311
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.846,0.745
LINC00707,NA,NA,0.4793,NA
LINC02210,NA,NA,0.451,0.275839514860031
LRRC42,NA,NA,0.675,0.523
LUCAT1,NA,NA,NA,0.356
LYRM1,NA,NA,0.633,0.382
MADD,NA,NA,0.969,0.304910664180112
MELTF,NA,NA,0.3817,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
MLLT10,NA,NA,0.640420203046051,NA
MMS22L,NA,NA,0.551595188404853,NA
MSL3,NA,NA,0.364,NA
MYCBP2,NA,NA,0.455,NA
NGF,0.557932602094686,0.316605428815716,0.498815579234703,NA
NUP58,NA,NA,0.435378282303532,NA
OCLN,NA,NA,0.710853530134951,NA
OCLNP1,NA,NA,0.740865085629454,NA
ODR4,NA,NA,0.290044378869901,NA
PDE7A,0.391775711056322,NA,0.841,0.713219271901359
PDXDC1,0.417331733850713,NA,0.911824723672954,0.39531384379082
PDXDC2P,0.7405,NA,0.9694,0.7152
PI16,NA,NA,0.6827,NA
PITPNB,NA,NA,0.423237287608838,NA
PMS1,0.30167652602251,NA,NA,NA
PNISR,NA,NA,0.381646773706792,NA
POMT2,0.766,0.388,0.906,0.652
PPIEL,NA,0.419,NA,NA
PPIP5K2,NA,NA,0.259155551664146,NA
PRKACB,NA,NA,0.4664,NA
PRUNE2,0.494,NA,0.335,NA
PTP4A2,NA,NA,0.621286933961466,NA
RAB2B,NA,NA,0.441387854835264,NA
RAP1A,NA,NA,0.331,NA
RAPGEF1,0.314,NA,NA,NA
RCC1,NA,NA,0.473641775763388,0.4397
RPAIN,NA,NA,NA,0.318
SAR1A,0.7061,NA,NA,NA
SDCBP2.AS1,NA,NA,0.406,0.329
SENP6,0.74,NA,0.7667,NA
SERGEF,0.253778290139916,NA,NA,NA
SF3B3,NA,NA,0.441782997798756,NA
SH3YL1,NA,NA,0.329,NA
SHOC2,NA,NA,0.5165,NA
SKP1,NA,NA,0.7145,0.479
SLC25A17,0.399,NA,0.357,NA
SLC7A6,0.313667986220715,NA,0.442,0.314069074365095
SMN2,0.45,0.382,0.445,0.377
SMTN,NA,NA,0.341,NA
SNAP23,0.328,NA,NA,NA
SOS2,0.277630626748413,NA,NA,NA
SPIDR,NA,NA,0.697437392266904,0.323239293491627
SREK1,NA,NA,0.418,NA
STRN3,0.625,0.337,0.826,0.603
STRN4,NA,NA,0.317316762700357,NA
TAF2,NA,NA,0.685,0.452
TENT2,NA,NA,0.426325217145383,NA
TET1,NA,NA,0.511012508763081,0.271993680440255
TEX26.AS1,0.4807,NA,0.6763,NA
TIAM1,NA,NA,0.552347053975003,0.448580127431042
TJP2,NA,NA,0.363617968982299,NA
TMEM50B,NA,NA,0.320537697774671,NA
TNRC6A,NA,NA,0.3549,NA
TNS3,NA,NA,0.275137568842963,NA
TPTEP2,0.792531134808141,0.5217,0.527840691521506,NA
TRIM65,NA,NA,0.334,0.334
URGCP,NA,NA,0.4797,NA
VPS29,0.301,NA,0.666,0.485
WDR27,NA,NA,0.912178133654337,0.505059386544451
WDR91,0.304616495223268,NA,NA,NA
WNK1,NA,NA,0.45494764081782,NA
XRN2,NA,NA,0.383550247756416,NA
ZFP82,NA,NA,0.575555910858012,0.323353681246612
ZMYM6,NA,NA,0.5518,NA
ZNF37BP,NA,NA,NA,0.261764725007715
ZNF467,0.31,NA,NA,NA
ZNF618,NA,NA,0.399,NA
ZNF680,NA,NA,0.410687151967867,NA
