,GM_BIO_2196772_10x_vs_GM_Risdiplam_10x,GM_BIO_2207180_10x_vs_GM_Risdiplam_10x,GM_BIO_2178782_10x_vs_GM_Risdiplam_10x,GM_BIO_2196895_10x_vs_GM_Risdiplam_10x,GM_BIO_2197306_10x_vs_GM_Risdiplam_10x,GM_BIO_2206678_10x_vs_GM_Risdiplam_10x,GM_BIO_2201042_10x_vs_GM_Risdiplam_10x,GM_BIO_2204984_10x_vs_GM_Risdiplam_10x,GM_BIO_2199562_10x_vs_GM_Risdiplam_10x,GM_BIO_2186827_10x_vs_GM_Risdiplam_10x,GM_BIO_2196772_3x_vs_GM_Risdiplam_3x,GM_BIO_2207180_3x_vs_GM_Risdiplam_3x,GM_BIO_2178782_3x_vs_GM_Risdiplam_3x,GM_BIO_2196895_3x_vs_GM_Risdiplam_3x,GM_BIO_2197306_3x_vs_GM_Risdiplam_3x,GM_BIO_2206678_3x_vs_GM_Risdiplam_3x,GM_BIO_2201042_3x_vs_GM_Risdiplam_3x,GM_BIO_2204984_3x_vs_GM_Risdiplam_3x,GM_BIO_2199562_3x_vs_GM_Risdiplam_3x,GM_BIO_2186827_3x_vs_GM_Risdiplam_3x,GM_BIO_2196772_3x_vs_GM_DMSO,GM_BIO_1949634_3x_vs_GM_DMSO,GM_BIO_2207180_3x_vs_GM_DMSO,GM_BIO_2178782_3x_vs_GM_DMSO,GM_BIO_2196895_3x_vs_GM_DMSO,GM_BIO_2197306_3x_vs_GM_DMSO,GM_BIO_2206678_3x_vs_GM_DMSO,GM_BIO_2201042_3x_vs_GM_DMSO,GM_BIO_2204984_3x_vs_GM_DMSO,GM_BIO_2199562_3x_vs_GM_DMSO,GM_BIO_2186827_3x_vs_GM_DMSO,GM_BIO_2196772_10x_vs_GM_DMSO,GM_BIO_1949634_10x_vs_GM_DMSO,GM_BIO_2207180_10x_vs_GM_DMSO,GM_BIO_2178782_10x_vs_GM_DMSO,GM_BIO_2196895_10x_vs_GM_DMSO,GM_BIO_2197306_10x_vs_GM_DMSO,GM_BIO_2206678_10x_vs_GM_DMSO,GM_BIO_2201042_10x_vs_GM_DMSO,GM_BIO_2204984_10x_vs_GM_DMSO,GM_BIO_2199562_10x_vs_GM_DMSO,GM_BIO_2186827_10x_vs_GM_DMSO
ISG15,NA,NA,NA,NA,NA,NA,1.89135077789606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86055545726991,NA,NA,NA
AL513477.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14494018517751,NA,NA,1.11235853882283,NA,NA,1.11430373798536,NA,1.01731685795564,1.41312460472489,1.14642419495268,1.13816468938543,1.10277139875213,1.26609487574099,1.18646431168353,1.11860289869548,1.2305763394238,1.17275797540573,1.21522797207195,1.38453241055397,1.25391176391252,1.28401130169573
RNF207,NA,NA,-0.815828604111905,NA,NA,NA,NA,NA,-0.908795792527535,-0.848270300691498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.893135187954671,NA,-1.04869759401508,NA,NA,-1.21382162225192,NA,-0.952458176217647,NA,-0.873562426464616,-1.14628454214149,-1.28957833591882,-1.23573457976723
ECE1-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87432808132316,NA,NA,2.95599001759038,NA,NA,NA,NA,3.62872446469297,3.51527370658663,NA
TENT5B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.635057854313578,NA,NA,NA,NA,NA,-0.711091380327614,NA
IFI6,NA,NA,NA,NA,NA,NA,2.29669282743999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19370605220478,NA,NA,NA
RCC1,2.82823503292575,NA,3.04087100491375,NA,2.24988822397209,0.644472311232229,1.90252837502587,2.79997424514409,3.51908796101523,2.82622287274317,1.50433507394474,NA,1.73682627453654,NA,1.11792119429029,0.753875336663728,0.854061670399695,1.4864158861423,2.20586267602753,1.45337451264124,1.61611218107347,NA,NA,1.84836575988555,NA,1.22997842596951,0.866892051137259,0.971358015803763,1.59830809383267,2.31767076546664,1.56509491636845,3.19495112888413,NA,NA,3.40748188730827,NA,2.61679256890414,1.01608406628788,2.26982985632676,3.16666168670322,3.88571061735885,3.19314415476879
SNHG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6383947305553,NA,NA
AL513497.1,3.3675013150599,NA,3.75891343970434,NA,2.4964609826805,NA,1.96600128315031,3.32954855514218,4.12604440856242,3.30544479044233,NA,NA,2.01130792875985,NA,NA,NA,NA,1.72919133392942,2.49792138221996,1.54676824669103,1.63398018473472,NA,NA,2.0305461649279,NA,NA,NA,NA,1.74758303613039,2.51555655206412,1.56543681542757,3.74971825276849,NA,NA,4.14147600099449,NA,2.8773259713587,NA,2.34352618002593,3.71480958262321,4.51570640599899,3.68628473282838
AC114490.2,NA,NA,NA,NA,NA,NA,NA,NA,0.650850231802683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703624292287729,NA
