,GM_BIO_2196772_10x_vs_GM_Risdiplam_10x,GM_BIO_2207180_10x_vs_GM_Risdiplam_10x,GM_BIO_2178782_10x_vs_GM_Risdiplam_10x,GM_BIO_2196895_10x_vs_GM_Risdiplam_10x,GM_BIO_2197306_10x_vs_GM_Risdiplam_10x,GM_BIO_2206678_10x_vs_GM_Risdiplam_10x,GM_BIO_2201042_10x_vs_GM_Risdiplam_10x,GM_BIO_2204984_10x_vs_GM_Risdiplam_10x,GM_BIO_2199562_10x_vs_GM_Risdiplam_10x,GM_BIO_2186827_10x_vs_GM_Risdiplam_10x,GM_BIO_2196772_3x_vs_GM_Risdiplam_3x,GM_BIO_2207180_3x_vs_GM_Risdiplam_3x,GM_BIO_2178782_3x_vs_GM_Risdiplam_3x,GM_BIO_2196895_3x_vs_GM_Risdiplam_3x,GM_BIO_2197306_3x_vs_GM_Risdiplam_3x,GM_BIO_2206678_3x_vs_GM_Risdiplam_3x,GM_BIO_2201042_3x_vs_GM_Risdiplam_3x,GM_BIO_2204984_3x_vs_GM_Risdiplam_3x,GM_BIO_2199562_3x_vs_GM_Risdiplam_3x,GM_BIO_2186827_3x_vs_GM_Risdiplam_3x,GM_BIO_2196772_3x_vs_GM_DMSO,GM_BIO_1949634_3x_vs_GM_DMSO,GM_BIO_2207180_3x_vs_GM_DMSO,GM_BIO_2178782_3x_vs_GM_DMSO,GM_BIO_2196895_3x_vs_GM_DMSO,GM_BIO_2197306_3x_vs_GM_DMSO,GM_BIO_2206678_3x_vs_GM_DMSO,GM_BIO_2201042_3x_vs_GM_DMSO,GM_BIO_2204984_3x_vs_GM_DMSO,GM_BIO_2199562_3x_vs_GM_DMSO,GM_BIO_2186827_3x_vs_GM_DMSO,GM_BIO_2196772_10x_vs_GM_DMSO,GM_BIO_1949634_10x_vs_GM_DMSO,GM_BIO_2207180_10x_vs_GM_DMSO,GM_BIO_2178782_10x_vs_GM_DMSO,GM_BIO_2196895_10x_vs_GM_DMSO,GM_BIO_2197306_10x_vs_GM_DMSO,GM_BIO_2206678_10x_vs_GM_DMSO,GM_BIO_2201042_10x_vs_GM_DMSO,GM_BIO_2204984_10x_vs_GM_DMSO,GM_BIO_2199562_10x_vs_GM_DMSO,GM_BIO_2186827_10x_vs_GM_DMSO
ISG15,NA,NA,NA,NA,NA,NA,1.62167552513913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59418513740064,NA,NA,NA
AL513477.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1117615283737,NA,NA,1.12284015671386,NA,1.06573001495463,1.12433723432649,1.05503876301198,1.07924607093093,1.34162467985173,1.13745803823863,1.14708214406597,1.10409601108217,1.18602400547407,1.21303574996818,1.18776766995889,1.14869633655176,1.08688329078424,1.08362308654245,1.35078805710236,1.17151350219671,1.24850564896993
RNF207,NA,NA,-0.841783423975243,NA,NA,NA,NA,NA,-0.968404504016211,-0.887093497024951,NA,NA,NA,NA,NA,NA,NA,NA,-0.821616722381701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.937953128101619,NA,-1.13099748367176,NA,NA,-1.26173463015439,NA,-1.02757807708437,NA,-0.96725270541688,-1.19393633738339,-1.3735609385012,-1.29021559593459
ECE1-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93425701142475,NA,NA,3.22153083771915,NA,3.20039436523333,NA,NA,3.76303849097915,3.62342353361966,2.76974476252682
TENT5B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74070880179342,NA
IFI6,NA,NA,NA,NA,NA,NA,2.03676806020144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9241885992293,NA,NA,NA
RCC1,2.87400911687121,NA,3.05625090656721,NA,2.26426749253677,0.628029847880507,1.87880522777036,2.77054080867862,3.52830482804901,2.79960993088993,1.52869257590035,NA,1.74254693034882,NA,1.1167145293322,0.766582573121368,0.869395545464947,1.53386314258047,2.22207325987109,1.49073771274187,1.65697111827666,NA,NA,1.87358627956419,NA,1.24812506090366,0.898547353385529,1.00122272510648,1.66497687929345,2.35299062659837,1.62186470909398,3.27691998482236,NA,NA,3.45912457341884,0.852071945105718,2.66732966334069,1.03480937417394,2.28205504181713,3.17344262577407,3.93111820947421,3.20252998808557
SNHG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.627988550290306,NA,NA
AL513497.1,3.43365255958965,NA,3.84150221737996,NA,2.52753406670193,NA,2.00439882045332,3.35473940715505,4.26165781042033,3.33956464058723,1.65315820274339,NA,2.01591180823619,NA,NA,NA,NA,1.67958012873449,2.43676646218018,1.54979510787116,1.77317986815506,NA,NA,2.13070289765789,NA,1.23554507061152,NA,NA,1.79584374207257,2.55050481130129,1.66551828716128,3.85146037227473,NA,NA,4.25440109677922,NA,2.94483409537987,0.948851188474645,2.4227143923238,3.76457802637022,4.68242455924518,3.75575120474036
ZMYM6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645769445251359,NA
