,SH_BIO_2196772_10x_vs_SH_Risdiplam_10x,SH_BIO_2207180_10x_vs_SH_Risdiplam_10x,SH_BIO_2178782_10x_vs_SH_Risdiplam_10x,SH_BIO_2196895_10x_vs_SH_Risdiplam_10x,SH_BIO_2197306_10x_vs_SH_Risdiplam_10x,SH_BIO_2204984_10x_vs_SH_Risdiplam_10x,SH_BIO_2199562_10x_vs_SH_Risdiplam_10x,SH_BIO_2196772_3x_vs_SH_Risdiplam_3x,SH_BIO_2207180_3x_vs_SH_Risdiplam_3x,SH_BIO_2178782_3x_vs_SH_Risdiplam_3x,SH_BIO_2196895_3x_vs_SH_Risdiplam_3x,SH_BIO_2197306_3x_vs_SH_Risdiplam_3x,SH_BIO_2204984_3x_vs_SH_Risdiplam_3x,SH_BIO_2199562_3x_vs_SH_Risdiplam_3x,SH_BIO_2196772_3x_vs_SH_DMSO,SH_BIO_1949634_3x_vs_SH_DMSO,SH_BIO_2207180_3x_vs_SH_DMSO,SH_BIO_2178782_3x_vs_SH_DMSO,SH_BIO_2196895_3x_vs_SH_DMSO,SH_BIO_2197306_3x_vs_SH_DMSO,SH_BIO_2204984_3x_vs_SH_DMSO,SH_BIO_2199562_3x_vs_SH_DMSO,SH_BIO_2196772_10x_vs_SH_DMSO,SH_BIO_1949634_10x_vs_SH_DMSO,SH_BIO_2207180_10x_vs_SH_DMSO,SH_BIO_2178782_10x_vs_SH_DMSO,SH_BIO_2196895_10x_vs_SH_DMSO,SH_BIO_2197306_10x_vs_SH_DMSO,SH_BIO_2204984_10x_vs_SH_DMSO,SH_BIO_2199562_10x_vs_SH_DMSO
PRKCZ-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63388814600495,NA,NA,NA,NA
AL513477.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701738601381746,NA,NA,NA,NA,NA,NA
ECE1-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64301293443179,NA,NA,1.77372192521086,NA,NA,NA,NA,2.2024285233642,NA,NA,1.52162345035444,1.60534854573539,1.7029132234458,1.70877725474105,NA
RCC1,1.17718166489696,NA,1.135473673295,NA,NA,NA,0.810419477710091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2758804470028,NA,NA,1.23442770971042,NA,0.734202373121384,NA,0.912064226773149
SNHG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.604570565210361,NA,NA,NA,NA,NA,NA,NA
AL513497.1,1.33210761509551,NA,1.42169242393414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49796338681442,NA,NA,1.5826568686631,NA,NA,NA,1.05556062766967
EIF2B3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.663494802534118,NA,NA,-0.689471635685446,NA,NA,NA,NA
NSUN4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644373184368311,NA,NA,NA,NA,NA,NA,NA
ROR1-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86333202222012,NA,NA,-0.701767765375515,NA,NA,NA,NA
ZNF326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778217589022856,0.691723087909132,NA,0.727611027888928,NA,0.814971698152388,NA,NA
LRRC39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29854985361507,NA,NA,NA,NA,1.49615580411836,NA,NA,1.78756953440915,NA,1.19381054500684,NA,1.18031684898477
BCL2L15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41018573516933,1.73476222804623,NA,NA,1.74443842674083,NA,1.41090863914294,NA,1.4318777567814
OLFML3,NA,NA,NA,NA,NA,-0.657543111666053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739775013994582,NA
MAN1A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765114350848946,NA,NA,-0.765948177452891,NA,NA,NA,NA
LINGO4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.955397557167868,NA,NA,NA,NA,NA,NA,-0.894947483132871
AQP10,-0.717497604067441,NA,NA,NA,NA,-0.678788932745828,-0.767186990109549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.617500768739277
AL592078.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05085443407965,0.617587700000217,NA,0.951028655054427,NA,0.732665257412287,0.819216050907311,1.19251435494774,1.36933702406978,1.08769904561179,0.684667606431391,1.09680104766017,1.20995186045054,1.20186143030549,1.40096384445471,1.2583506466915
HAPLN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77920340524545,NA,NA,NA,1.49953126264382
DPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18199550856266,NA,NA,NA,NA,NA,NA,NA
TNN,NA,NA,NA,NA,NA,NA,3.73392417345248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68190983403235,NA,NA,5.85915146622407,NA,4.64099939616193,NA,6.61100704680952
COP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.670897400503848,NA,NA,NA,NA
NIBAN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748264710604717,NA,NA,NA,NA
AL356273.6,0.895639051946802,NA,0.947284690661857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCNT2,NA,NA,NA,NA,NA,NA,NA,-1.16478345252607,-0.721176709816428,-1.29189805379798,NA,-1.02237076072047,-0.845265448031309,-1.23388381159946,-1.84416495589412,-0.640674142751635,-1.4095937937783,-1.9694607954838,-0.889104298214133,-1.70408026859564,-1.53057845854313,-1.92097931733032,-2.05049167512039,-1.60958136496074,-1.64698043021715,-1.91719522337702,-1.9082870745769,-1.96298295872052,-2.11034052103767,-2.03292637678554
PTPRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91764360453267,NA,NA,3.27456218980451,NA,NA,NA,NA
TNNT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.877831713956073,NA,NA,-0.772912886215952,NA,NA,NA,NA
IRF6,-0.799431387446797,NA,-0.60538080823456,NA,-0.600063160305324,-0.652924073765961,-0.805286022348734,NA,NA,NA,NA,NA,NA,-0.603936939970303,NA,NA,NA,NA,NA,NA,NA,-0.668273761543526,-0.94680990550183,NA,NA,-0.758498220787507,NA,-0.752133922921059,-0.793671908401778,-0.950468010258264
TARBP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63721021904242,NA,NA,NA,NA
GREM2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.860068331484463,NA,NA,-1.09183504214866,NA,NA,NA,NA
CEP170,-1.0810815026287,NA,-0.774126410564168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20476309386521,NA,NA,-0.902270864776356,NA,NA,NA,-0.807150977818574
DNAJC27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627878440882135,NA,NA,0.591366369533446,NA,NA,0.622167216045715,NA
ZNF512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.609699078213765,NA,NA,NA,NA,NA,NA,NA
ALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.623190177897624,NA,NA,NA,NA
C2orf91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05920718311395,NA
THADA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.769430360939371,NA,NA,-0.678420012254777,NA,NA,NA,NA
PLEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5637867586727,NA,NA,NA,NA,2.54643440000631,NA,NA,2.73977656742825,NA,2.54509278482586,NA,2.5209136929644
LMAN2L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.622267244325243,NA,NA,NA,NA,NA,NA,NA
LYPD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778595589221521,NA,NA,0.842650059829094,NA,NA,NA,NA
ERICH2,1.31109185866998,NA,1.29786808143209,NA,0.960205308109353,1.01902067921535,1.30107532166771,NA,NA,NA,NA,NA,NA,NA,1.21576231995629,NA,NA,1.3468925497694,NA,NA,NA,1.4168687696602,2.08172328447891,NA,NA,2.06873009219738,1.34106478432759,1.74398646449527,1.796911240172,2.07023457600259
LNPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.832915412404701,NA,NA,NA,NA
