,SH_2196772_10x_vs_SH_Risdiplam_10x,SH_2207180_10x_vs_SH_Risdiplam_10x,SH_2178782_10x_vs_SH_Risdiplam_10x,SH_2196895_10x_vs_SH_Risdiplam_10x,SH_2197306_10x_vs_SH_Risdiplam_10x,SH_2204984_10x_vs_SH_Risdiplam_10x,SH_2199562_10x_vs_SH_Risdiplam_10x,SH_2196772_3x_vs_SH_Risdiplam_3x,SH_2207180_3x_vs_SH_Risdiplam_3x,SH_2178782_3x_vs_SH_Risdiplam_3x,SH_2196895_3x_vs_SH_Risdiplam_3x,SH_2197306_3x_vs_SH_Risdiplam_3x,SH_2204984_3x_vs_SH_Risdiplam_3x,SH_2199562_3x_vs_SH_Risdiplam_3x,SH_2196772_3x_vs_SH_DMSO,SH_1949634_3x_vs_SH_DMSO,SH_2207180_3x_vs_SH_DMSO,SH_2178782_3x_vs_SH_DMSO,SH_2196895_3x_vs_SH_DMSO,SH_2197306_3x_vs_SH_DMSO,SH_2204984_3x_vs_SH_DMSO,SH_2199562_3x_vs_SH_DMSO,SH_2196772_10x_vs_SH_DMSO,SH_1949634_10x_vs_SH_DMSO,SH_2207180_10x_vs_SH_DMSO,SH_2178782_10x_vs_SH_DMSO,SH_2196895_10x_vs_SH_DMSO,SH_2197306_10x_vs_SH_DMSO,SH_2204984_10x_vs_SH_DMSO,SH_2199562_10x_vs_SH_DMSO
PRKCZ-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AL513477.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ECE1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0
RCC1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
SNHG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AL513497.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
EIF2B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
NSUN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ROR1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ZNF326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
