,DMSO-CHX__vs_DMSO,U1-WT100-CHX_vs_DMSO,U1-WT100-CHX_vs_DMSO-CHX,U1-WT100-CHX_vs_WT100,U1-WT100-EtOH_vs_DMSO,U1-WT500-CHX_vs_DMSO,U1-WT500-CHX_vs_DMSO-CHX,U1-WT500-CHX_vs_WT500,U1-WT500-EtOH_vs_DMSO
WASH7P,1,1,0,1,0,1,0,1,0
AL627309.1,1,1,0,1,0,1,0,1,0
AL627309.3,0,1,0,0,0,0,0,0,0
AL627309.5,1,0,0,1,0,0,0,1,0
WASH9P,1,1,0,1,0,1,0,1,0
AP006222.1,1,1,0,1,0,1,0,1,0
AL732372.2,1,0,0,1,0,1,0,1,0
AL732372.3,0,0,0,1,0,0,0,1,0
MTND2P28,0,1,0,0,0,1,0,1,0
MTCO1P12,1,1,0,1,0,1,0,1,0
AC114498.2,0,0,0,0,0,1,0,1,0
MTATP6P1,1,1,0,1,0,1,0,1,0
AL669831.1,1,1,0,1,0,1,0,1,0
AL645608.2,1,1,0,1,0,1,0,1,0
LINC02593,1,1,0,0,0,1,0,0,0
SAMD11,1,1,0,1,0,1,0,1,0
KLHL17,1,1,0,1,0,1,0,1,0
ISG15,1,1,0,1,0,0,0,0,0
SCNN1D,0,0,0,0,0,0,0,1,0
ACAP3,1,1,0,0,0,1,0,1,0
CCNL2,1,1,0,1,0,1,0,1,0
ATAD3B,1,1,0,0,0,1,0,0,0
AL645728.1,0,1,0,1,0,1,0,0,0
FNDC10,1,1,0,1,0,1,0,1,0
FO704657.1,1,0,0,0,0,0,0,0,0
CDK11A,1,1,0,1,0,1,0,1,0
PRKCZ.AS1,1,1,0,1,0,1,0,1,0
SKI,1,1,0,1,0,1,0,1,0
PANK4,1,1,0,1,0,1,0,1,0
NPHP4,1,1,0,1,0,1,0,1,0
CHD5,1,0,0,0,0,0,0,0,0
RNF207,1,1,0,1,0,1,0,1,0
GPR153,1,0,0,1,0,1,0,0,0
TNFRSF25,0,0,0,1,0,0,0,0,0
PLEKHG5,0,0,0,0,0,1,0,0,0
ZBTB48,1,1,0,1,0,1,0,1,0
THAP3,1,1,0,1,0,1,0,1,0
Z98884.2,0,0,0,0,0,1,0,1,0
PER3,0,0,0,1,0,0,0,0,0
AL034417.5,1,1,0,1,0,1,0,1,0
H6PD,1,1,0,0,0,1,0,0,0
PIK3CD,1,0,0,1,0,1,0,0,0
NMNAT1,1,1,0,1,0,1,0,1,0
UBE4B,1,1,0,1,0,1,0,0,0
AL139424.2,0,0,0,1,0,0,0,0,0
CENPS.CORT,1,0,0,0,0,0,0,0,0
AL109811.3,1,1,0,1,0,1,0,1,0
AL109811.2,0,1,0,0,0,0,0,0,0
DISP3,1,1,0,1,0,1,0,1,0
