,U1-mut2-100-CHX_vs_DMSO,U1-mut2-100-CHX_vs_DMSO-CHX,U1-mut2-100-CHX_vs_mut2-100,U1-mut2-100-EtOH_vs_DMSO,U1-mut2-100-CHX_vs_WT_EtOH,U1-mut2-100-CHX_vs_WT_CHX,U1-mut2-100-EtOH_vs_WT_EtOH,U1-mut2-500-CHX_vs_DMSO,U1-mut2-500-CHX_vs_DMSO-CHX,U1-mut2-500-CHX_vs_mut5-500,U1-mut2-500-EtOH_vs_DMSO,U1-mut2-500-CHX_vs_WT_EtOH,U1-mut2-500-CHX_vs_WT_CHX,U1-mut2-500-EtOH_vs_WT_EtOH
WASH7P,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL627309.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL627309.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AL627309.5,0,0,1,0,1,0,0,1,0,1,0,1,0,0
WASH9P,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AP006222.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL732372.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL732372.3,0,0,1,0,1,0,0,1,0,1,0,1,0,0
AL669831.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MTND2P28,1,0,1,0,1,0,0,0,0,0,0,1,0,0
MTCO1P12,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AC114498.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AL669831.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL645608.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
LINC02593,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SAMD11,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KLHL17,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL645608.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ISG15,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SCNN1D,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ACAP3,1,0,1,0,0,0,0,1,0,1,0,1,0,0
CCNL2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL391244.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VWA1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ATAD3B,1,0,1,0,0,0,0,1,0,0,0,0,0,0
AL645728.1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
FNDC10,0,0,0,0,1,0,0,1,0,1,0,1,0,0
FO704657.1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
CDK11A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL031282.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TMEM52,0,0,1,0,1,0,0,0,0,1,0,1,0,0
SKI,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PANK4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL139246.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TTC34,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NPHP4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CHD5,1,0,0,0,0,0,0,1,0,1,0,1,0,0
RNF207,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GPR153,1,0,1,0,1,0,0,1,0,1,0,0,0,0
ACOT7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TNFRSF25,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PLEKHG5,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ZBTB48,1,0,1,0,1,0,0,1,0,1,0,1,0,0
THAP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PARK7,0,0,0,0,1,0,0,1,0,0,0,1,0,0
AL034417.5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ENO1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
MIR34AHG,0,0,0,0,0,0,0,1,1,0,0,1,1,0
H6PD,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PIK3CD,0,0,1,0,1,0,0,1,0,1,0,1,0,0
PIK3CD.AS2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CTNNBIP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NMNAT1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UBE4B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PGD,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL109811.3,1,0,1,0,1,0,0,1,0,1,0,0,0,0
AL109811.2,0,0,0,0,0,0,0,1,0,1,0,1,0,0
DISP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
C1orf167,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MTHFR,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CLCN6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MFN2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
TNFRSF1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
EFHD2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AGMAT,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UQCRHL,0,0,1,0,1,0,0,0,0,1,0,1,0,0
SPEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZBTB17,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAM131C,0,0,0,0,0,0,0,1,0,1,0,1,0,0
FBXO42,1,0,1,0,1,0,0,1,0,0,0,1,0,0
SPATA21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL137802.2,1,0,0,0,1,0,0,1,0,0,0,1,0,0
CROCCP2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL137798.2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
EIF1AXP1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AL021920.3,0,0,0,0,1,0,0,1,1,0,1,0,0,0
MST1L,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFAP2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATP13A2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SDHB,0,0,1,0,1,0,0,0,0,1,0,1,0,0
PADI2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAX7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IFFO2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AKR7L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AKR7A3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC66A1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
NBL1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MUL1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
FAM43B,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PINK1.AS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
DDOST,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KIF17,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SH2D5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ECE1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ALPL,0,0,0,0,0,0,0,1,0,1,0,1,0,0
HSPG2,1,0,0,0,0,0,0,1,0,0,0,1,0,0
LINC00339,0,0,1,0,1,0,0,0,0,1,0,1,0,0
AL031281.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EPHB2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TEX46,0,0,0,0,0,0,0,1,0,0,1,1,0,0
HNRNPR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF436,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ZNF436.AS1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASAP3,1,0,1,0,0,0,0,0,0,1,0,0,0,0
E2F2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ID3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RPL11,0,0,1,0,1,0,0,0,0,0,0,0,0,0
IFNLR1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
GRHL3,1,0,0,0,1,0,0,1,0,0,0,1,0,0
NIPAL3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RCAN3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CLIC4,1,0,0,0,0,0,0,1,0,1,0,1,0,0
RSRP1,0,0,0,0,0,0,0,1,1,1,0,1,1,0
TMEM50A,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SELENON,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AL020996.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAQR7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STMN1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
PAFAH2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CNKSR1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CEP85,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SH3BGRL3,1,0,1,0,1,0,0,0,0,1,0,0,0,0
CRYBG2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHDDS,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID1A,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GPN2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GPATCH3,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NPM1P39,0,0,0,0,0,0,0,1,0,0,0,1,0,0
WDTC1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TMEM222,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ACTG1P20,1,0,0,0,0,0,0,1,0,0,1,1,0,0
GPR3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
WASF2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
IFI6,1,0,0,0,1,0,0,1,0,1,0,1,0,0
