,BIO2197294-CHX_vs_DMSO,BIO2197294-CHX_vs_DMSO-CHX,BIO2197294-CHX_vs_7294,BIO2197294-EtOH_vs_DMSO,BIO2197294-EtOH_vs_U1_WT100_EtOH,BIO2197294-EtOH_vs_U1_WT500_EtOH,BIO2197294-CHX_vs_U1_WT100_CHX,BIO2197294-CHX_vs_U1_WT500_CHX,BIO2197294-EtOH_vs_U1_U1_mut1_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut1_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut1_100_CHX,BIO2197294-CHX_vs_U1_U1_mut1_500_CHX,BIO2197294-EtOH_vs_U1_U1_mut2_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut2_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut2_100_CHX,BIO2197294-CHX_vs_U1_U1_mut2_500_CHX
WASH7P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL627309.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL627309.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH9P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006222.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL732372.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO1P12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL669831.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL645608.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02593,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMD11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ISG15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNL2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL391244.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VWA1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAD3B,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AL645728.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FNDC10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FO704657.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CDK11A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCZ.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF207,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHG5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
