,U1-WT-500-BIO2197294_vs_DMSO,U1-WT-500-BIO2197294_vs_WT-500,U1-WT-500-Branaplam_vs_DMSO,U1-WT-500-Branaplam_vs_WT-500
WASH7P,1,1,0,0
AL627309.1,1,1,0,0
AL627309.5,1,1,0,0
WASH9P,1,1,0,0
AP006222.1,1,1,0,0
AL732372.2,1,1,0,0
AL732372.3,0,1,0,0
AL669831.1,1,1,0,0
SAMD11,1,0,0,0
KLHL17,1,1,0,0
CCNL2,1,1,0,0
ATAD3B,1,0,0,0
AL645728.1,1,0,0,0
FNDC10,1,1,0,0
CDK11A,1,1,0,0
PANK4,1,1,0,0
NPHP4,0,1,0,0
RNF207,0,1,0,0
GPR153,1,0,0,0
ZBTB48,1,1,0,0
AL034417.5,1,1,0,0
H6PD,1,0,0,0
AL109811.3,1,0,0,0
DISP3,1,1,0,0
FBXO2,1,0,0,0
CLCN6,1,1,0,0
VPS13D,0,1,0,0
PRDM2,1,0,0,0
FAM131C,1,1,0,0
CROCCP2,1,1,0,0
AL021920.3,1,0,1,0
BX284668.2,1,0,0,0
UBR4,0,1,0,0
AKR7L,1,1,0,0
AKR7A3,1,1,0,0
FAM43B,0,1,0,0
CDA,1,1,0,0
ALPL,1,1,0,0
LINC00339,0,1,0,0
E2F2,1,1,0,0
ID3,1,1,0,0
CNKSR1,1,1,0,0
GPN2,1,1,0,0
ACTG1P20,1,1,0,0
PTAFR,1,1,0,0
SESN2,1,0,0,0
SNHG12,1,1,0,0
YTHDF2,1,0,0,0
MATN1.AS1,1,1,0,0
SDC3,1,0,0,0
SERINC2,1,1,0,0
IQCC,1,1,0,0
ZSCAN20,1,1,0,0
AC114490.2,1,1,0,0
AL590434.2,1,0,0,0
C1orf216,0,1,0,0
ADPRS,1,1,0,0
ZC3H12A,0,1,0,0
YRDC,1,0,0,0
MTF1,1,1,0,0
PPIEL,1,1,0,0
HPCAL4,1,0,0,0
TRIT1,1,1,0,0
MYCL,1,1,0,0
RLF,1,1,0,0
ZNF684,1,1,0,0
RIMS3,1,1,0,0
KCNQ4,1,1,0,0
PPCS,1,0,0,0
CCDC30,1,1,0,0
AC098484.2,1,0,0,0
C1orf50,1,1,0,0
AC098484.3,1,1,0,0
TMEM269,1,1,0,0
ZNF691,1,1,0,0
PTPRF,1,1,0,0
SLC6A9,1,0,0,0
PLK3,1,1,0,0
PTCH2,1,1,0,0
TOE1,1,1,0,0
NSUN4,1,1,0,0
FAAH,1,0,0,0
MOB3C,1,0,0,0
STIL,1,1,0,0
CC2D1B,1,1,0,0
ZYG11A,1,1,0,0
AC119674.2,1,1,0,0
MYSM1,1,1,0,0
JUN,1,1,0,0
LINC01748,0,1,0,0
CACHD1,0,1,0,0
PDE4B,1,1,0,0
SLC35D1,1,1,0,0
GADD45A,1,0,0,0
RABGGTB,1,0,0,0
MSH4,1,1,0,0
WDR63,1,0,0,0
MCOLN3,1,1,0,0
AL603750.1,1,1,0,0
SYDE2,1,1,0,0
BCL10,1,0,0,0
CCN1,1,1,0,0
LINC02795,1,0,0,0
LRRC8D,1,0,0,0
BARHL2,0,1,0,0
ZNF644,1,1,0,0
HFM1,1,1,0,0
BTBD8,0,1,0,0
PTBP2,1,1,0,0
TRMT13,1,1,0,0
LRRC39,1,1,1,0
CDC14A,1,1,0,0
S1PR1,1,1,0,0
PRPF38B,1,0,0,0
TMEM167B,0,1,0,0
KIAA1324,1,0,0,0
SLC16A4,1,0,1,0
KCNA2,1,0,0,0
AL360270.2,0,1,0,0
OVGP1,1,1,1,0
C1orf162,1,1,0,0
DDX20,1,1,0,0
ST7L,1,1,0,0
SLC16A1.AS1,1,1,0,0
LRIG2,1,1,0,0
BCL2L15,1,1,0,0
OLFML3,0,1,0,0
SYT6,1,0,0,0
TSPAN2,1,0,0,0
SLC22A15,1,1,0,0
IGSF3,1,1,0,0
PTGFRN,1,1,0,0
TENT5C,0,1,0,0
TBX15,1,1,0,0
PHGDH,1,0,0,0
NBPF8,1,1,0,0
AC241952.2,1,1,0,0
NBPF26,1,1,0,0
LINC01632,1,0,0,0
PDZK1,1,0,0,0
TXNIP,1,1,0,0
NBPF10,1,1,0,0
AC239799.1,0,1,0,0
NBPF12,1,1,0,0
GJA5,0,1,0,0
GPR89B,1,1,0,0
LINC02804,1,1,0,0
