"Index1_iPSC_2006152_3x_Gene.Name","log2FoldChange","Index2_iPSC_2139701_3x_Gene.Name","log2FoldChange.1","Index3_iPSC_2174714_3x_Gene.Name","log2FoldChange.2","Index4_iPSC_2174748_3x_Gene.Name","log2FoldChange.3","Index5_iPSC_2175420_3x_Gene.Name","log2FoldChange.4","Index6_iPSC_2184088_3x_Gene.Name","log2FoldChange.5","Index7_iPSC_2184090_3x_Gene.Name","log2FoldChange.6","Index8_iPSC_2184741_3x_Gene.Name","log2FoldChange.7","Index9_iPSC_2186527_3x_Gene.Name","log2FoldChange.8","Index10_iPSC_2186866_3x_Gene.Name","log2FoldChange.9","Index11_iPSC_2186960_3x_Gene.Name","log2FoldChange"
"FBXO9","-0.7022946","FBXO9"," -0.8611600","DHFR","-1.0097540","DHFR"," -0.7314653","CASC3"," -0.7347742","FBXO9","-1.0537494","DHFR","-0.7082524","GALC"," -2.0837781","FP671120.5","-45.0107261","FBXO9",-1.1431047901701,"FP671120.5","-42.8311715"
"CHEK1","-0.8040556","HTT"," -1.8627128","PITPNB","-1.5925485","PITPNB"," -1.2790309","FBXO9"," -1.1491342","CASC3","-0.6018939","PITPNB","-1.3089512","PDXDC1"," -2.3692623","AC006064.6","-18.7444398","DHFR",-1.0809527082173,"HTT"," -1.3503240"
"GALC","-0.9370538","ADAMTS19"," -1.4923722","PDXDC1","-1.8995114","XRN2"," -1.2368485","ADAMTS19"," -2.5347810","XRN2","-1.9171513","HTT","-1.4297502","SLC24A3"," -1.5276800","HTT"," -1.2617007","XRN2",-2.11861908097202,"DHFR"," -0.5968276"
"HTT","-1.4361613","CHEK1"," -0.7213516","TENT2","-1.4877250","HTT"," -1.3250137","CHEK1"," -1.1567628","ADAMTS19","-2.2944591","FBXO9","-0.6374965","TSPAN7"," -2.3420947","CHEK1"," -0.6802620","PITPNB",-1.9433207638275,"CHEK1"," -0.6891323"
"NPTX1","-1.7407216","SLC2A3P1","-17.7389116","SLC24A3","-1.2108934","TENT2"," -1.1250161","XRN2"," -1.8158149","HTT","-1.9622041","XRN2","-1.1977491","HSD17B12"," -1.9306851","AL035461.4","-25.5817555","CASC3",-0.601457275717318,"PITPNB"," -1.0257795"
"XRN2","-1.2883842","NPTX1"," -1.5153187","HTT","-1.6098520","CHEK1"," -0.6642091","HTT"," -1.9053659","DHFR","-0.8690212","CHEK1","-0.7020826","TENT2"," -1.5920522","TENT2"," -1.0141928","PDXDC1",-2.31380391861859,"XRN2"," -1.0574748"
"ADAMTS19","-1.5138579","TENT2"," -1.1371068","XRN2","-1.4247456","RARS1"," -0.6855062","AC087190.3","-28.6715092","CHEK1","-0.9568697","ADAMTS19","-1.3690669","DENND5A"," -1.0194488","XRN2"," -0.9702623","CHEK1",-1.17411785112995,"AL035461.4","-24.8361300"
"TSPAN7","-1.5492991","PDXDC1"," -1.3249352","RARS1","-0.8853914","ADAMTS19"," -1.2513220","NPTX1"," -2.2288414","PITPNB","-1.4551660","TENT2","-0.9551978","DHFR"," -0.7403108","ADAMTS19"," -1.1159117","HTT",-2.1380845572108,"TENT2"," -1.0045716"
"PDXDC1","-1.3104252","XRN2"," -1.0674345","ADAMTS19","-1.6714868","PDXDC1"," -1.1871399","PDXDC1"," -1.5439571","ADAL","-0.8516102","SPRYD7","-0.9523095","FAF1"," -1.2223000","PITPNB"," -0.8543323","ADAMTS19",-2.34731187623649,"ADAMTS19"," -1.1880469"
"COL4A5","-0.9638741","PITPNB"," -0.9295996","FBXO9","-0.6665268","AP002748.5","-21.3507861","ADAL"," -0.8294476","PDXDC1","-1.4476837","FHOD3","-1.8504618","SNHG16"," -0.6567795","SPRYD7"," -0.7954593","TENT2",-1.73368047999803,"PDXDC1"," -1.0315866"
"SLC24A3","-0.7351826","FHOD3"," -1.7672120","CHEK1","-0.7775435","FHOD3"," -1.7966531","DHFR"," -0.6269885","TENT2","-1.1981742","MT-ND6","-1.2598420","AC116366.3","-20.0404254","PDXDC1"," -0.9320301","ADAL",-0.882560658110395,"FHOD3"," -1.6000761"
"TENT2","-0.9039379","SPRYD7"," -0.7769086","HTR3A","-1.1043656","SLC24A3"," -0.6337285","TENT2"," -1.1428175","NPTX1","-1.4534303","PDXDC1","-0.7834797","XRN2"," -1.2551274","FHOD3"," -1.6042926","RARS1",-0.86424765982644,"KCNT2"," -1.1203677"
"CAND2","-0.9985466","GALNT9"," -1.0197293","GALC","-0.6751213","SPRYD7"," -0.7334564","FHOD3"," -2.4387336","CYB5R2","-1.0571917","SPEF2","-1.3454257","CDCA7"," -0.8670803","KCNT2"," -0.9209116","NPTX1",-1.79546327702484,"SPRYD7"," -0.6722346"
"FHOD3","-1.7488663","KCNT2"," -1.0828069","SLC7A6","-0.6492760","HTR3A"," -0.7970659","PITPNB"," -1.0306489","FHOD3","-2.1555544","TBCE","-0.8682665","DENND1A"," -0.9973022",NA,NA,"FAF1",-0.952779996212798,NA,NA
"GALNT9","-1.2188836","AC048341.1"," -0.7235498","FHOD3","-1.8585368","CYB5R2"," -0.6456104","BCLAF3"," -0.9134050","SLC25A21","-1.1772218","KCNT2","-1.0137112","COL4A5"," -1.2392266",NA,NA,"DIAPH3",-1.54561791438968,NA,NA
"PITPNB","-0.7498868","FILIP1"," -0.7521553","SPRYD7","-0.8398069","AC114811.2"," -1.5624409","CYB5R2"," -1.1225741","C19orf47","-0.6462366","TFAP2C","-0.6704805","PITPNB"," -1.1616502",NA,NA,"CIP2A",-1.49914282952816,NA,NA
"CYB5R2","-0.6826074","MCF2L2"," -0.6360742","DIAPH3","-1.0851838","SCD5"," -0.9294182","SEMA6D"," -0.6549617","L3MBTL2","-0.6310329","AP001267.5","-1.4462992","AC006064.6","-18.0609019",NA,NA,"KDSR",-0.895246104414036,NA,NA
"CCDC3","-0.8272696","TFAP2C"," -0.6696829","CIP2A","-1.0575253","KCNT2"," -0.9509552","C19orf47"," -0.6866952","GALNT9","-1.1379960","TPTEP2-CSNK1E","-1.6263387","CAND2"," -1.3956346",NA,NA,"CYB5R2",-1.10285292451563,NA,NA
"AC099548.2","-5.5339145","CIP2A"," -0.7984795","CYB5R2","-0.7973088","CDK20"," -0.7759801","ASIC1"," -1.2442736","SPEF2","-1.5873761","HTR3A","-0.6198803","HTT"," -1.2691884",NA,NA,"MAN1A2",-1.03828967892147,NA,NA
"SPEF2","-1.2289927","CYB5R2"," -0.5884838","KCNT2","-1.0822953",NA,NA,"SLC7A6"," -0.5898415","SPRYD7","-0.7183872","NPTX1","-0.6738998","COP1"," -0.7107226",NA,NA,"SLC25A21",-1.41249651078629,NA,NA
"AC114811.2","-1.4529901","DLG2"," -0.6764123","CAND2","-0.7314191",NA,NA,"MCF2L2"," -0.8910106","CIP2A","-0.9365749","PCDHA7","-2.7214813","SCO1"," -0.6111209",NA,NA,"SLC7A6",-0.725867434072397,NA,NA
"MAP6","-0.6991098","HAUS3"," -0.6321780","HLTF","-0.7529306",NA,NA,"COL4A5"," -0.8272799","KCNT2","-1.1115046",NA,NA,"PMS1"," -1.2733454",NA,NA,"SPRYD7",-1.03044252959705,NA,NA
"ASIC1","-0.7636070","TSPAN7"," -0.6595780","NPTX1","-0.7975552",NA,NA,"STEAP2"," -0.9244744","MT-ND6","-1.2737429",NA,NA,"ERC2"," -0.8610064",NA,NA,"THADA",-0.68832899950011,NA,NA
"TBCE","-0.7383849","TBCE"," -0.7186198","HDAC9","-0.5977627",NA,NA,"SLC25A21"," -1.0734972","APPL2","-0.6316161",NA,NA,"GCFC2"," -1.1672067",NA,NA,"RAB28",-0.592092314628596,NA,NA
NA,NA,NA,NA,"SREK1","-0.6867552",NA,NA,"NEFH"," -0.6194950","HTR3A","-0.7287069",NA,NA,"DIAPH3"," -1.3380404",NA,NA,"FHOD3",-2.01424222078613,NA,NA
NA,NA,NA,NA,"DLG2","-0.6846068",NA,NA,"GALNT9"," -1.2187644","CELF4","-0.9828321",NA,NA,"HLTF"," -1.1393986",NA,NA,"C19orf47",-0.675085041479163,NA,NA
NA,NA,NA,NA,"TET1","-0.8040277",NA,NA,"CIP2A"," -1.0287479","MAN1A2","-0.6279597",NA,NA,"THADA"," -0.6673721",NA,NA,"RDX",-0.73886205993799,NA,NA
NA,NA,NA,NA,"CRYL1","-1.1630909",NA,NA,"MAN1A2"," -0.7491733","FILIP1","-0.7617365",NA,NA,"SLC7A6"," -0.6761455",NA,NA,"GALC",-0.624402034110341,NA,NA
NA,NA,NA,NA,"RPSAP26","-5.4567359",NA,NA,"SPEF2"," -1.7375030","DIAPH3","-0.8433393",NA,NA,"ADAMTS19"," -1.1620056",NA,NA,"L3MBTL2",-0.665139370511982,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"CDK20"," -1.0502084","ASIC1","-0.8245692",NA,NA,"SEC22A"," -0.7533533",NA,NA,"STEAP2",-1.01066423549281,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"KDSR"," -0.6237262","MCF2L2","-0.6189736",NA,NA,"MAN1A2"," -0.8925516",NA,NA,"SPEF2",-1.97114528421596,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"ASAP1"," -0.6777063","HAUS3","-0.6876933",NA,NA,"STEAP2"," -1.0080876",NA,NA,"APPL2",-0.795864714439629,NA,NA
