"Index1_iPSC.1755497.3x_Gene.Name","log2FoldChange","Index2_iPSC.2006152.3x_Gene.Name","log2FoldChange.1","Index3_iPSC.2189972.3x_Gene.Name","log2FoldChange.2","Index4_iPSC.2194943.3x_Gene.Name","log2FoldChange.3","Index5_iPSC.2195127.3x_Gene.Name","log2FoldChange.4","Index6_iPSC.2195327.3x_Gene.Name","log2FoldChange.5","Index7_iPSC.2197294.3x_Gene.Name","log2FoldChange"
"CHEK1","-0.6255764","CHEK1","-0.7035986","CHEK1",-0.688086484195561,"AL035461.4","-30.7347563","CHEK1","-0.7722095","HTT"," -1.7112508","HTT","-1.4368641"
"FBXO9","-0.6293504","HTT","-1.3798612","HTT",-1.58707167075505,"FP671120.5","-21.1793297","XRN2","-1.3099301","CHEK1"," -0.7286375","FHOD3","-1.7082420"
"HTT","-1.2637649","FHOD3","-1.9421886","FHOD3",-2.08527931657878,"FHOD3"," -2.0788495","HTT","-1.4448410","FP671120.5","-21.1764860","TENT2","-0.8516194"
"FHOD3","-1.4678656","XRN2","-1.1610830","CAND2",-0.959559561692868,"HTT"," -1.2888851","FBXO9","-0.6762828","FHOD3"," -1.9867698","XRN2","-0.6820171"
"CYB5R2","-0.6584774","CAND2","-0.8683050","XRN2",-1.23043359736833,"XRN2"," -0.9625801","FHOD3","-1.8353025","SLC7A6"," -0.6268175",NA,NA
"PDXDC1","-0.8829484","PDXDC1","-1.2482734","PDXDC1",-1.3637301068705,"TENT2"," -0.9230733","ADAL","-0.5954394","XRN2"," -1.1663928",NA,NA
"XRN2","-0.7238835","GALC","-0.8872168","DHFR",-0.713204409076405,"PDXDC1"," -0.9448605","SPRYD7","-0.6243810","PDXDC1"," -1.3876330",NA,NA
"TENT2","-0.7576199","TSPAN7","-1.1811112","FBXO9",-0.605846636744,"PITPNB"," -0.8643607","CYB5R2","-0.8069297","FBXO9"," -0.5861221",NA,NA
NA,NA,"TENT2","-1.0934913","HTR3A",-0.663086836997195,"MAOA"," -0.7542566","ADAMTS19","-1.7913451","TENT2"," -1.1424379",NA,NA
NA,NA,"ADAMTS19","-1.6506784","SPRYD7",-0.650473685301019,"ZNF540"," -1.2601825","PDXDC1","-1.0011995","CAND2"," -0.7332510",NA,NA
NA,NA,"COL4A5","-0.8439293","PITPNB",-1.13029704352677,"C2orf80"," -0.8118979","CAND2","-0.6071435","ADAMTS19"," -1.6070082",NA,NA
NA,NA,"BCDIN3D-AS1","-1.4025034","TENT2",-1.07392334606473,"SLC24A3"," -0.7823987","TENT2","-0.8845600","PITPNB"," -0.9221054",NA,NA
NA,NA,"CYB5R2","-0.5972136","HLTF",-0.716514999575425,NA,NA,"PITPNB","-0.8865627","CYB5R2"," -0.6528949",NA,NA
NA,NA,"CIP2A","-0.6670455","GALC",-0.762161570330684,NA,NA,"CIP2A","-0.6606033","CIP2A"," -0.7366088",NA,NA
NA,NA,"AC107918.4","-0.8891779","MAOA",-0.919515485101033,NA,NA,"DIAPH3","-0.6289791","DIAPH3"," -0.6918977",NA,NA
NA,NA,"PITPNB","-0.7341323","ADAMTS19",-1.69808934838817,NA,NA,"BTNL9","-1.5306927","TET1"," -0.6187951",NA,NA
NA,NA,"DIAPH3","-0.5958767","ZNF883",-20.0092568754113,NA,NA,"SLC25A21","-0.8508824","GPR83"," -0.6113323",NA,NA
NA,NA,NA,NA,"DIAPH3",-0.773160335767704,NA,NA,NA,NA,"SLC24A3"," -0.7937751",NA,NA
NA,NA,NA,NA,"CYB5R2",-0.679185935666056,NA,NA,NA,NA,"AC004997.1"," -6.3008779",NA,NA
NA,NA,NA,NA,"CIP2A",-0.715596436108614,NA,NA,NA,NA,"DLG2"," -0.7531718",NA,NA
NA,NA,NA,NA,"TET1",-0.621539932675912,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"COL4A5",-0.714267654320778,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"THSD1",-1.33777127803995,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"TSPAN7",-0.724647416168841,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"SLC24A3",-0.764768234058145,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"PRKAG2-AS1",-2.36503817233635,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"SLC25A21",-0.817124045599337,NA,NA,NA,NA,NA,NA,NA,NA
