"1st_exp_NGN2.6152.3x","2nd_exp_NGN2.6152.3x"
"GCFC2",0.726673690562951,0.603288411142975
"XRN2",0.568315591937423,0.612269849629271
"HTT",0.736410802978668,0.438565198795793
"SENP6",0.650996993885202,0.461210397117836
"PDXDC1",0.593902347677396,0.509894682513559
"DENND1A",0.620750310236184,0.440749647727287
"LINC02210",0.609505967818361,0.398914738365771
"INO80E",0.483,0.521
"MELTF",0.452420104931301,0.513136820040606
"STRN",0.535513426341478,0.301282671568438
"NKAIN2",0.455656830254495,0.299023742240538
"TIAM1",0.442312838970498,0.289030911455485
"SETX",0.379189308361628,0.350407034415646
"ZFP82",0.428174832634584,0.294471507549583
"ADAM17",0.288043701658911,0.403151206358041
"CACNA1H",0.366,0.304
"TENT2",0.341098549588275,0.310630780515194
"TSPAN7",0.372447775562998,0.265295435729365
"LRIG2",0.369327567100596,0.266706974422561
"KLHL1",0.357846671842085,0.253760254793944
"GALC",-0.373,0.388406340135738
"ABCB8",-0.48,0.453573895783474
"NUP58",-0.391,0.310816190050291
"KDM6A",-0.39,0.258655934262757
"CACNB4",-0.503,0.254133021405468
