,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH
AADAT,-0.406068160827924
ABCB9,0.260841792777339
AC009022.1,0.336391309622492
AC009053.2,0.385130413390357
AC009533.1,0.361874843463572
AC022784.1,0.264682615459953
AC092279.1,0.404036796365273
AC138649.1,0.31556959038237
AC233968.1,0.353896657243635
AC241952.2,0.588864106149421
ACAD10,0.266128135726644
ACAD11,-0.373940006133269
ACBD6,-0.274448872027459
ACER3,-0.292777540956411
ACIN1,-0.252723678283981
ACOT2,0.269374835294607
ACOT8,0.283331540093197
ACSF2,-0.265440324976874
ACSS3,-0.434229159666494
ADAM11,0.293339015832155
ADPRM,0.48269124544577
AGBL5,-0.293919101372396
AGFG2,-0.294235456603197
AGO3,-0.308999473302517
AGPAT4,0.320188982132737
AKAP10,0.261179338762072
AKAP17A,-0.303166143159601
AKAP8,-0.282905182316514
AKAP8L,0.282816668402483
ANKIB1,-0.337175154349346
ANKLE2,0.256657345110268
ANKRD10,-0.258425215377301
ANKRD13C,-0.261417276262366
ANKRD16,0.282605335557262
ANKRD36,0.276345691047371
ANKRD36C,0.260122589788954
APBB3,0.250252298420215
APLF,-0.354544591395443
ARSK,-0.371316571397963
ARVCF,-0.259813530981031
ASTE1,-0.336868352750326
ATAD2B,-0.413653830459299
ATF2,-0.460766356289528
ATP13A1,0.340022712753776
ATRX,0.25070207938328
AUH,-0.255547294564974
BBS1,-0.265753001649325
BCLAF3,-0.267555864486129
BICD1,0.267424982252523
BRD2,-0.287978041399851
BRD4,-0.280224652405317
BRD7,0.289985004983003
BTN2A1,-0.263456941350767
C5orf22,-0.325804642522723
C6orf136,0.392641311076361
CACNA2D3,0.286574690563921
CACNB2,0.415110223042717
CAPN10,-0.29778614839791
CASP10,-0.262453351263183
CASP2,-0.439933508569554
CBFA2T2,-0.314589085927373
CBWD2,-0.314272663783176
CBWD3,-0.292779965477781
CBWD5,-0.325980122971037
CCDC173,-0.266891606668987
CCDC84,-0.277198942338934
CCNL1,-0.315124377312251
CCNT2,0.308593981444052
CDAN1,0.350555429042524
CDK11A,0.282337413986857
CDKN2AIP,0.353293327587544
CEP250,-0.368741961923307
CEP89,-0.351547199631887
CEPT1,-0.419644465264749
CFAP206,0.276652721661444
CFDP1,0.442483074574735
CHD3,0.374229661530787
CHFR,0.253380801822277
CHMP4A,-0.259217631278907
CHN1,-0.389026175697339
CIC,0.337637794233354
CILK1,-0.250616665007213
CIP2A,-0.454637756928344
CIRBP,0.260769443936357
CLASRP,0.430063108618677
CLCN6,0.335407280644293
CLK1,0.54948615392397
CLK4,-0.418770205772351
CNTLN,-0.305674956848321
CNTNAP3B,-0.303637554272183
COX11,-0.3053512972977
COX18,0.484271450107157
CTDSPL2,-0.334792810998545
CU633904.2,0.270191028585259
CUL5,-0.366641477468463
CUL7,0.273897478472947
CYTH1,0.460504188231705
DAGLA,-0.274492059264712
DBT,-0.282930863763455
DCAF17,0.255132456861512
DCAF8,-0.407677046908412
DCAKD,-0.339417021184833
DCLK2,0.250629735275933
DDB2,0.405984119027452
DDX19A,-0.292843979411966
DECR2,-0.380148666239578
DELE1,-0.278824608252806
DENND1A,-0.265061765071388
DENND1B,-0.34799532282725
DGLUCY,-0.369965204255433
DHX34,-0.276505300606656
DHX9,0.266962411156971
DIAPH3,-0.345210713629615
DIP2C,0.250515804779098
DMTF1,-0.269085259664497
DNAJC2,-0.290744545674344
DNAJC6,-0.314707204546606
DPY30,0.351311680339764
DRAM2,0.251879513026607
DUSP12,0.264170127919721
DXO,0.330806561721261
DZIP1L,0.297406981852864
E2F7,-0.253885636278712
EDRF1,0.285287852080664
EEA1,-0.33939474413789
EFL1,-0.354200239979568
EIF4A2,-0.458303677806039
ELMOD3,-0.41972732896413
EMC9,0.370191379753341
ENTPD5,0.355242571810629
EPC1,-0.30321681229376
EPOR,0.327181258289477
ERCC6L2,-0.272712697194393
ERMARD,0.326007429851243
ETNK1,-0.349533414734929
EVC,-0.310057643875312
EXOG,-0.317279060213406
EYA3,-0.47583343969231
FAM133B,-0.325276698452978
FAM13A,-0.301200103583403
FAM149B1,-0.303721566357147
FAM214A,0.335038521726411
FAM81A,0.250373742776461
FANCB,-0.390577548117247
FBXO38,-0.250250562800695
FCSK,0.289453117757985
FDXR,0.279929855385474
FGFR3,0.284583540017305
FHOD3,0.375333055780577
FLVCR1,-0.251757024665749
FMN2,-0.321009907614179
FNBP4,-0.302231967779237
FNTB,-0.283426304180616
FRRS1,-0.303667497252347
FRS3,0.319912564833867
FUBP3,-0.290311250871292
GALM,-0.257863907079951
GALNT3,0.45787967724291
GANC,0.298897147380698
GARNL3,0.353602779444087
GGT1,0.291784353373836
GKAP1,0.26732633757508
GLB1L3,0.367751298845508
GLI3,0.332363864392076
GLS,-0.316447471210549
GNPDA2,-0.314518847645286
GOLGB1,-0.279442153383163
GORAB,-0.321318897450079
GPATCH2,0.304314490006456
GPATCH2L,-0.255015884672507
GPC2,0.550888391032931
GPR89A,-0.311170988767603
GPR89B,0.268359399190671
GRHL1,0.27185675319617
GRID1,-0.311719755941282
GUSBP1,0.261125673272725
H2BC5,-0.370874152763213
HACE1,-0.270954239254798
HCFC2,-0.279661788760837
HECTD1,-0.313111059832432
HINFP,-0.28110658039131
HLA.E,0.269209903745825
HNRNPLL,-0.273307213264431
HRAS,-0.256648795075475
HTT,0.269116454038596
IDE,-0.2557124489718
IFFO1,-0.402571899495253
IFT52,-0.287916687918893
IMPACT,0.444395113908467
IVNS1ABP,0.284206747367734
JAK2,0.310243723374312
KANSL2,-0.438073662496548
KDM3A,-0.31751782969442
KHDC4,-0.25971742450939
KIF27,-0.322757828334953
KLHL17,0.329449491496272
KLHL42,-0.285241945103669
