,BIO2195127_CHX_vs_BIO2195127_EtOH,BIO2195127_CHX_vs_DMSO_CHX,BIO2195127_CHX_vs_DMSO_EtOH,BIO2195127_EtOH_vs_DMSO_EtOH,BIO2197294_CHX_vs_BIO2197294_EtOH,BIO2197294_CHX_vs_DMSO_CHX,BIO2197294_CHX_vs_DMSO_EtOH,BIO2197294_EtOH_vs_DMSO_EtOH,Branaplam_CHX_vs_Branaplam_EtOH,Branaplam_CHX_vs_DMSO_CHX,Branaplam_CHX_vs_DMSO_EtOH,Branaplam_EtOH_vs_DMSO_EtOH,DMSO_CHX_vs_DMSO_EtOH,U1_mut1_100_CHX_vs_DMSO_CHX,U1_mut1_100_CHX_vs_DMSO_EtOH,U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,U1_mut1_100_EtOH_vs_DMSO_EtOH,U1_mut1_500_CHX_vs_DMSO_CHX,U1_mut1_500_CHX_vs_DMSO_EtOH,U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,U1_mut1_500_EtOH_vs_DMSO_EtOH,U1_mut2_100_CHX_vs_DMSO_CHX,U1_mut2_100_CHX_vs_DMSO_EtOH,U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,U1_mut2_100_EtOH_vs_DMSO_EtOH,U1_mut2_500_CHX_vs_DMSO_CHX,U1_mut2_500_CHX_vs_DMSO_EtOH,U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,U1_mut2_500_EtOH_vs_DMSO_EtOH,U1_WT_500_BIO2197294_vs_DMSO_EtOH,U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,U1_WT_500_Branaplam_vs_DMSO_EtOH,U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,U1_WT_100_CHX_vs_DMSO_CHX,U1_WT_100_CHX_vs_DMSO_EtOH,U1_WT_100_CHX_vs_U1_WT_100_EtOH,U1_WT_100_EtOH_vs_DMSO_EtOH,U1_WT_500_CHX_vs_DMSO_CHX,U1_WT_500_CHX_vs_DMSO_EtOH,U1_WT_500_CHX_vs_U1_WT_500_EtOH,U1_WT_500_EtOH_vs_DMSO_EtOH
AADAT,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0
ABCA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
ABCB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ABCB9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AC004803.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
