,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
AADAT,-0.370774315496534
ABCA5,-0.319286774705677
AC009022.1,0.30773852241735
AC009053.2,0.293272463266431
AC009533.1,0.345662726901484
AC015813.2,0.562710416909737
AC022400.7,-0.261083903606448
AC026191.1,-0.28613236831444
AC079447.1,-0.288671375023733
AC127502.1,0.287590576803852
AC133644.2,0.253021076288869
AC138649.1,-0.341592680661352
AC233968.1,0.403207803926395
AC241952.2,0.427365765895467
ACAD10,0.330864742682021
ACAD11,-0.310210707867464
ACADL,0.25267338536277
ACBD6,-0.440773564101841
ACIN1,-0.272550123574544
ACOT2,0.272010424270516
ACOT8,0.270593090105445
ACSF2,-0.277788247439011
ACSS3,-0.363416171357022
ADAM11,0.282236248125547
ADAMTS19,-0.408040484941715
ADAMTS20,-0.347926129319232
ADGRV1,-0.353272509000784
ADPRM,0.446206973121615
AGO3,-0.307370175538896
AGPAT4,0.276005521148955
AKAP10,0.262879337393059
AKAP17A,-0.350112946331654
AKAP8,-0.313390875603565
AKAP8L,0.308988211857621
AL109811.3,0.252696741396657
AL139317.3,0.493124484341988
ANKIB1,-0.345882826099749
ANKLE2,-0.25026289106129
ANKRD36,0.301780531144376
ANKRD36C,0.264676527025035
APBB3,0.280934319099
APLF,-0.336569441336006
APOBEC3D,0.368230550106843
ARFIP2,-0.272916076435329
ARSK,-0.446619933907445
ASTE1,-0.35675358106273
ATAD2B,-0.384323981833918
ATF2,0.266786675654306
ATP13A1,0.3582963480227
ATP1A1.AS1,0.310312912157463
ATRX,0.290095314137236
AUH,-0.276964489142711
AXIN2,0.277078931169093
BBS1,-0.290868727136428
BCLAF1,-0.303837805046888
BCLAF3,-0.264374045581959
BMS1P15,0.274170754781258
BRD2,-0.280241223458287
BRD4,-0.310847791374848
C3orf33,-0.268145054386867
C5orf22,-0.323711796204321
C6orf136,0.513337922798359
C6orf52,-0.261620089581592
CA5BP1,0.33554630709032
CACNA1H,-0.277911349403381
CACNA2D3,0.277627329768335
CAMTA1,0.347474175201422
CAPN10,-0.319123663606908
CAPRIN2,0.261453374706391
CASP2,-0.462262443571392
CBFA2T2,-0.264997846222779
