,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH
AADAT,-0.353080414761318
ABCB9,0.302076918177353
AC009053.2,0.338157502720227
AC009533.1,0.278394716620931
AC083798.2,0.272370443666066
AC103810.2,0.281119959316519
AC233968.1,0.376275184239814
AC241952.2,0.282890210433808
ACAD10,0.307471633649846
ACAD11,-0.357787119450416
ACBD6,-0.352907698579315
ACOT2,0.287629899975922
ACOT8,0.285033763901504
ACSS3,-0.450196522839067
ACTR3B,-0.348528801959269
ADAM11,0.297225505451368
ADPRM,0.430780561805415
ADSS1,0.298248360827339
AGO3,-0.317638161854678
AGPAT4,0.303800232617393
AHI1,-0.287261730128111
AKAP17A,-0.369043599235641
AKAP8,-0.364705874232294
AKAP8L,0.289857521386812
AL109811.3,0.31524365421892
AL136982.6,0.252846501692182
ANKIB1,-0.300885152116783
ANKRA2,-0.268181694622694
ANKRD36C,0.289915404754769
APBB3,0.31991838073792
APLF,-0.331324568562724
ARHGAP32,-0.257269842071965
ARSK,0.261807264409487
ASTE1,-0.313499380139622
ASXL1,0.562713279714841
ATAD2B,-0.327736399164353
ATF2,-0.435198653256529
ATP13A1,0.313093168839131
ATRX,0.272813892855367
AUH,-0.253624559131892
B4GALT4,0.315121816375287
BBOF1,-0.261377941642453
BCLAF1,-0.288057422455662
BCLAF3,-0.280006029866741
BEND5,0.369200655322341
BMS1P4,-0.27371243386321
BRD2,-0.296752219309698
BRD4,-0.294949127175488
BTN2A1,-0.321551403302194
C20orf194,-0.30332769088715
C3orf33,-0.264921370724189
C5orf22,-0.32649375058476
C6orf136,0.415748492108841
CAMTA1,0.317063468284185
CAPN10,-0.330869718577964
CASP2,-0.477578749890398
CBARP,0.379954571868392
CBWD2,-0.285644094938525
CBWD3,-0.332756176430099
CBWD5,-0.373406658482934
CCDC162P,0.292894817967581
CCDC84,0.363835144053696
CCNL1,-0.3617358196506
CCNT2,0.283647369199778
CDK11A,0.315585228608821
CDKN2AIP,0.39573596841577
CEP250,-0.363084096661114
CEP76,0.255981893014105
CEP89,-0.344071014484448
CEPT1,-0.437780428956782
CFDP1,0.310337682707593
CHN1,-0.337365210649372
CIC,0.366938966863485
CLASRP,0.287534188631331
CLCN6,0.348008842307609
CLK1,0.532991198838719
CLK4,0.531382508634083
CNTLN,-0.260376366786321
COX11,-0.260329415590547
COX18,0.450890073003377
CREB1,-0.280558761353102
CRYBG2,-0.291592984577532
CSRNP1,0.34136872609138
CUL5,-0.268714906288553
CUL7,0.297799448699339
CYB5R4,-0.306232098734137
DCAF17,0.252714852934675
DCAF8,-0.385743204496151
DCAKD,-0.275604005944627
DDB2,0.326555460353585
DDX19A,-0.276718317491761
DECR2,-0.46392846292786
DELE1,-0.260780920141566
DENND6A,-0.293791028168784
DGLUCY,-0.333321051640916
DHX34,-0.280015539225196
DHX9,0.260444066370059
DIP2C,0.305954778143797
DIS3L2,-0.251372592446542
DNAH14,-0.254362704899297
DNAJC2,-0.301742913132578
DNAJC25,0.311204843033848
DNAJC6,-0.332308679951909
DPP3,0.272414154585374
DPY19L2P1,-0.301901687100923
DPY30,0.255037928029482
DUSP12,0.283192959974428
DXO,0.345864177932161
DZIP1L,0.261968498424135
E2F7,-0.274679596268075
EDRF1,0.282991256016561
EEA1,-0.308723472188194
EFL1,-0.347469321471265
EIF4A2,-0.412446105643522
EIF4E3,0.341833100393775
ELMOD3,0.250795652629946
EMC9,0.2960825901194
EML2,-0.278799784350623
EPC1,-0.301373149146627
ERCC6L2,-0.404547810700242
ERMARD,0.271952787684657
ETNK1,-0.318577313812505
EVC,-0.3419997849403
EYA3,0.273708508749517
FAAHP1,-0.255149315773951
FAM120C,0.318363926259696
FAM133B,-0.321299013255999
FAM13A,-0.275677773369729
FAM149B1,-0.259573079296886
FAM184A,-0.266037360106658
FAM95C,0.312907424524831
FANCB,-0.323485963736954
FAT1,0.29576147376585
FBXW8,0.272160994404005
FCSK,0.334352044959429
FLVCR1,-0.252721895378341
FMN2,-0.258076169168192
FNBP4,0.274157284068697
FNTB,-0.334397206662909
FRRS1,-0.399455986862333
FUBP3,-0.288660731954713
FZR1,0.258802555073251
GALK2,-0.395379421432189
GALNT3,0.527785888504529
GALNT6,0.283088905137637
GARNL3,0.314760583623363
GAS7,0.250674042970484
GDAP1,-0.265541193833316
GKAP1,-0.305099678322406
GLB1L3,0.533893409581382
GLS,-0.374542907336572
GNB1,-0.324865940448876
GNPDA2,-0.361479525527351
GORAB,0.470368043726747
GPATCH2,0.308737511064486
GPC2,0.400318032599535
GPR89A,0.27610878593539
GPR89B,-0.34575980624401
GSN,0.337830806325127
GUSBP1,0.266884479621851
H4C15,0.25795377329143
HCFC2,-0.292469837234126
HECTD1,-0.289325020928078
HLA.E,0.250389386695611
