,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH
AADAT,-0.385816787649755
ABCA5,0.250963361529316
AC009053.2,0.312185369744595
AC009533.1,0.290828636891987
AC138649.1,-0.425024542344238
AC233968.1,0.399249909964527
AC241952.2,0.664794082358802
ACAD11,-0.32253276359827
ACIN1,-0.269306424551006
ACOT2,0.280267546515759
ACOT8,0.305858454503025
ACSF2,-0.286323947140678
ACSS3,-0.305300066478141
ACTR3B,-0.276924120220768
ADPRM,0.426366253846843
ADSS1,0.350471369615948
AGO3,-0.39424308085535
AGPAT4,0.329615397159116
AKAP10,0.364072376040388
AKAP17A,-0.335446032554013
AKAP8,-0.283601713851941
AKAP8L,0.290316363213466
AL669831.1,0.257411233763319
ALG13,-0.273467715568073
ANKIB1,-0.260783680386561
ANKLE2,-0.255961027213655
ANKRD10,-0.259738399806608
ANKRD16,0.308746330980084
ANKRD18CP,0.251750946664311
ANKRD36,0.27484891265954
ANKRD36B,0.32551115884965
AP002495.1,-0.275921725265254
APBB3,0.272999676991238
APLF,-0.376226743279834
ARFIP2,-0.317569984336429
ARSK,-0.421407374488659
ASAP2,-0.264464457258354
ASTE1,-0.274534136560871
ATAD2B,-0.34737485079169
ATF2,-0.428045529405197
ATP13A1,0.342944545136733
ATRX,0.256959238916212
B4GALT4,0.345252921260065
BBS1,-0.256896673213202
BCLAF1,-0.381362693068824
BCLAF3,0.267401748803417
BCRP2,0.300689973326469
BICDL1,-0.339812479603256
BMP8B,0.277926214741305
BRD2,-0.297808146335724
BRD4,-0.303442532875799
BTN2A1,-0.335641040388557
C3orf33,-0.280352031753226
C5orf22,-0.296201355809767
C6orf136,0.433943310820436
CACNA2D3,0.30387019822003
CACNB4,-0.263587054811824
CAPN10,0.278505848448759
CASP2,-0.443816370176329
CBWD2,-0.274177196878666
CBWD3,-0.335989497934081
CBWD5,-0.379338199860967
CBWD6,-0.267796269349691
CCDC162P,0.36164194319527
CCDC84,-0.257202506547138
CCNH,-0.261330845992427
CDADC1,-0.296172369554911
CDK11A,0.302515086906797
CDKN2AIP,0.330845068736317
CEP250,0.26437674677085
CEP89,-0.299749191411265
CEPT1,-0.423931592635856
CFDP1,0.341398775993648
CHMP4A,-0.280890904616812
CHMP4C,0.25262194638234
CHN1,-0.444657546518245
CIC,0.334370437350197
CIRBP,-0.29513539782051
CLASRP,0.349050012660707
CLCN6,0.418106954300261
CLK1,0.540876487680774
CLK4,0.56439536944461
CMC1,0.32768267483271
CNTLN,-0.354100364424004
COX11,-0.302309686850819
CRYBG2,0.262819858610293
CSRNP2,-0.365399307790304
CTDSPL2,-0.30328693497731
CU633904.2,0.300819907027666
CU634019.2,0.290712292533099
CUL5,-0.263929899035056
CUL7,0.264797576718037
CXXC4,0.270955309842404
CYB5R4,-0.288375951394441
DAGLA,-0.250898529096741
DANCR,0.527230297702067
DBT,-0.261421250695575
DCAF17,0.288820553537354
DCAF8,-0.414892588381456
DCAKD,-0.286592352474242
DDB2,0.417890577040108
DDX19A,-0.302300233227893
DECR2,-0.393862079762309
DELE1,-0.278166039755717
DENND1B,-0.305942561016762
DHX34,-0.313668076061524
DHX9,0.266986491013316
DMTF1,-0.267547533031056
DNAH14,-0.260324534762205
DNAJC2,-0.308859743847563
DNAJC25,0.269061122372828
DNAJC27,-0.263376083313772
DNAJC6,-0.291556236844698
DNAJC8,0.281346922521729
DOCK3,-0.328666567792799
DPY19L2P1,0.280420748045239
DPY30,0.383952370154933
DUSP12,0.285857377983385
DXO,0.343526998830314
DZIP1L,0.308567050892447
EDRF1,0.254528495977465
EEA1,-0.348253431469961
EFL1,-0.317102928478335
EIF4A2,-0.441697574878329
ELMOD3,-0.359823779955209
EMC9,0.347616517306477
EPC1,-0.279669781019532
EPC2,0.297126016738329
ERCC6L2,-0.330947201578676
ERMARD,0.320029584129407
ETNK1,-0.383835325636398
EVC,-0.301921238602149
EYA3,0.261611259658091
FAM133B,-0.343138146266632
FAM13A,-0.274422534513671
FAM184A,-0.261303344656899
FAM214A,0.265048993097917
FAM228B,0.294415212864739
FAM76B,-0.250799072925125
FANCB,-0.346678201427135
FDXR,0.368478774339698
FMN2,-0.297271173651347
FNBP4,-0.457131358560678
FNTB,-0.320771713135978
FRRS1,-0.363969325668317
FUBP3,-0.278178635345932
GALK2,-0.317059426269007
GALNT3,0.436958738460447
GARNL3,0.439817059840236
GHDC,0.255749983848051
GKAP1,-0.347243663442326
GLS,-0.35831985878123
GMDS,0.401447934260113
GNPDA2,-0.370342432448694
GORAB,0.403187056905659
GPATCH2,-0.485964199555487
GPC2,0.377314680278976
GPR89A,-0.275141197363179
GPR89B,0.262644078571964
GRB14,0.356224044958607
H2BC5,0.282505326243258
HCFC2,-0.274212876114215
HECTD1,-0.2745150678765
HEXD,-0.299141902970018
HLA.E,0.267000137897265
HNRNPLL,-0.277016314279248
HOXA7,0.397241909246285
HSD17B7P2,0.411381599498437
HSPA12A,-0.302390762162819
ICA1L,-0.394878516249553
IDE,-0.301619348577786
IFFO1,0.25885204861883
IMPACT,0.417749123045025
INPP5J,-0.310400569628274
IRAK4,0.258441416013824
ISG15,-0.336373855238764
JAK2,0.369498795653329
KANSL2,-0.417836598677888
KCNT2,0.417306662400564
KDM3A,-0.330256130525946
KHDC4,-0.268421366932129
KIF27,-0.399736312545943
KLHL36,-0.293711581033801
KLHL42,-0.338843439089786
L3HYPDH,-0.270447465730322
LATS1,-0.267611775169304
LIN7A,-0.27028478066805
LINC00888,-0.268908775797332
LRCH2,-0.26078666007752
LRIG2,-0.294183318586136
LRP4,0.285710903675656
LRRC27,-0.267875973843589
LRRC37A2,0.27599377522057
LRRC37A4P,0.29061449253752
LRRC69,0.437603086479866
LRRC75B,-0.383510746577993
LTN1,-0.392610879263802
LUC7L,0.284349780499535
LUC7L2,-0.291341799587965
MAGEA2,-0.25823694172861
MAGEA2B,-0.274995636769713
MAK,0.313067311626632
MAN2A1,0.259569421662564
MANBA,-0.257502951373522
MAP3K15,0.291177338613304
MAST1,-0.332528590443039
MCEE,0.395801083053415
MCOLN3,-0.376833149684299
METTL22,0.405972696116893
METTL25,-0.251563369736049
MFSD14C,-0.256052062155698
MICA,-0.310866290687074
MITD1,-0.283671655496105
MLLT10,-0.251426171633739
MMP17,0.429063004443596
MMS22L,-0.256140028251672
MPPE1,-0.341298166138851
MRPS6,0.419075498900396
MSH5,0.330987560610311
MSTO2P,-0.302064240601782
MTAP,-0.287293173614783
MUS81,0.308916453439655
MYL5,-0.321271024878038
MYO1D,0.308803483404396
MYO5C,-0.255776802667544
NAA16,0.28295520712777
NAA25,0.287945872175722
NAF1,-0.258560924578796
NCBP3,-0.279284970325253
NCOA7,-0.316979398504303
NIPSNAP3B,0.366861646467763
NKTR,0.289623496174472
NNT,-0.259235099442068
NOD1,0.327747606079567
NOL4,-0.267696518276915
NOM1,-0.321766464630879
NOP56,0.267893048952142
NR2C2,-0.258873206782389
NSUN5P1,-0.305807422643983
NT5M,0.262199552634897
NUDT16L1,0.456287881936891
ODR4,-0.429911443554951
