,dPSI_U1_mut2_500_EtOH_vs_DMSO_EtOH
ABHD4,0.463986096434606
AC138894.1,-0.352258993543775
ADAM22,-0.273872348766978
AGAP12P,0.280621536493796
APLP2,-0.256788290297294
ATP6AP1L,0.529285708082389
C1GALT1,-0.276345054851802
C1orf109,-0.302359603470701
C1QTNF6,0.446483419046983
C2orf42,-0.293664724908127
CYB561D1,0.272486234889516
DHRS4L2,-0.268496674210166
DNAJC27,0.327677305050575
EFCAB14,0.277161220784465
FANCC,0.306112614666025
FNIP2,-0.30035136673958
GALNT13,-0.286082770020485
GDI2,-0.300273055087817
GK5,-0.296278791072982
GORASP2,-0.371430784026834
HEATR5B,-0.266466408225504
HMG20A,-0.257832113421086
HOOK1,-0.326369649290716
ITFG2.AS1,0.344185742816247
KDM4A,-0.323283263072082
KDM6A,0.254495094258751
KIAA1109,0.304306325952945
LIMS1,-0.311380538954897
LINC00491,0.373788169009217
LRP6,-0.341383340985935
LRRC27,0.301359968572738
LRRC69,0.349636354473269
LRRFIP2,-0.39509750921105
MACROD1,0.314976243468233
MAGI1,-0.40256402468577
MATR3,0.340939159736922
MED27,-0.306659219289251
METTL4,0.306270208788702
MSH5,0.28817296352466
MTA1,0.352763572055928
MTA3,0.399574909751347
MTX2,-0.270626024740074
NOP14.AS1,0.544784117068915
NPIPB9,0.353180195705382
NSD1,0.30038043925064
PCNX2,-0.359604903253388
PPFIBP1,-0.317014307542174
PRDM5,-0.283021225885102
PREX2,0.269090437689409
PYCR1,-0.253381294106176
R3HDM2,-0.330459075149885
RABEPK,-0.34854770844094
RIMKLB,0.274947275710275
RPS6KB1,-0.388886754682914
SH3GLB1,-0.443384177664681
SHLD2,0.304869506722795
SIN3B,-0.325455737881286
SIPA1L2,-0.320792048963341
SLC25A40,-0.256542564575364
SMAD9,-0.278523355442899
SMOX,-0.389760585802708
SSH2,0.361965398569034
STIM1,-0.256911730790381
TCAIM,0.297037670417448
TMEM268,-0.278031805986368
TNKS2.AS1,0.281021433711327
ULK4,0.34868081316945
USP37,-0.393611351798239
VAMP1,0.258584557186788
VAPA,-0.435258078257541
ZNF155,-0.314238031934914
ZNF221,0.296308517193517
ZNF516,-0.379404459059896
ZNF704,-0.262672171106566
ZNF767P,0.312829647208278
