,dPSI_BIO2195127_EtOH_vs_DMSO_EtOH
AC009022.1,-0.33719216183196
ASAP1,0.338024616829018
CACNA2D1,0.305120351534044
EVC,-0.284522576668226
EXOC6B,0.272947356915959
FAAP20,-0.332104879454479
GXYLT1,-0.374353072531891
KDM6A,-0.481806814185733
LINC02210,-0.453724993836557
MADD,-0.323459470374828
NUP58,-0.294869412754759
PDE7A,0.36454983897485
PNISR,0.4026575124618
POMT2,0.342889334724486
RAF1,-0.255574068934964
RNF32,0.499997085444979
SENP6,-0.250447983982558
TAF2,-0.363238182803096
TIAM1,0.276289961954822
TMEM237,-0.327098609194338
TPTEP2,-0.270877868719608
ZNF37BP,0.408945641009571
ZNF618,-0.264152753516709
