,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_U1_WT_500_BIO2197294_vs_DMSO_EtOH,dPSI_U1_WT_500_BIO2197294_vs_DMSO_EtOH,Padj_maxP_U1_WT_500_Branaplam_vs_DMSO_EtOH,dPSI_U1_WT_500_Branaplam_vs_DMSO_EtOH,Padj_maxP_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,Padj_maxP_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,Padj_maxP_U1_WT_500_EtOH_vs_DMSO_EtOH,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH
1:1,FOXM1,ENSG00000111206.13,U1-WT-500-BIO2197294_vs_DMSO,-0.262635842294768,0.286581146221111,0.753202303875845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1:2,HTT,ENSG00000197386.12,U1-WT-500-BIO2197294_vs_DMSO,-1.28766011312776,8.12413071969804e-34,9.49101571328724e-30,1.00261876699118e-05,0.273334483546729,NA,NA,NA,NA,NA,NA,NA,NA
1:3,MSH3,ENSG00000113318.11,U1-WT-500-BIO2197294_vs_DMSO,0.300388133891195,0.134331680057459,0.45369466674509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2:1,FOXM1,ENSG00000111206.13,U1-WT-500-Branaplam_vs_DMSO,0.0640763081721317,1,1,NA,NA,4.61660294034475e-07,-0.264416144374241,NA,NA,NA,NA,NA,NA
2:2,HTT,ENSG00000197386.12,U1-WT-500-Branaplam_vs_DMSO,-1.32776178897391,3.29943396140224e-36,7.4488021112617e-32,NA,NA,0.000136872747813474,-0.272680089431603,NA,NA,NA,NA,NA,NA
2:3,MSH3,ENSG00000113318.11,U1-WT-500-Branaplam_vs_DMSO,-0.00776624694670363,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3:1,FOXM1,ENSG00000111206.13,U1-WT-500-BIO2197294_vs_WT-500,-0.282134387577913,0.199864083876555,0.576998920408838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3:2,HTT,ENSG00000197386.12,U1-WT-500-BIO2197294_vs_WT-500,-1.12051477718374,7.80659169580358e-25,3.52483228248923e-21,NA,NA,NA,NA,1.17612042914236e-05,0.273110412407847,NA,NA,NA,NA
3:3,MSH3,ENSG00000113318.11,U1-WT-500-BIO2197294_vs_WT-500,0.288633861558996,0.179125117143702,0.532867129349877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4:1,FOXM1,ENSG00000111206.13,U1-WT-500-Branaplam_vs_WT-500,0.0348911945272586,1,1,NA,NA,NA,NA,NA,NA,2.56222980180087e-05,-0.259433531164001,NA,NA
4:2,HTT,ENSG00000197386.12,U1-WT-500-Branaplam_vs_WT-500,-1.16013195310501,6.99428320726437e-27,1.68932922305056e-22,NA,NA,NA,NA,NA,NA,0.000322984312819889,-0.271376070568541,NA,NA
4:3,MSH3,ENSG00000113318.11,U1-WT-500-Branaplam_vs_WT-500,-0.00817417600701259,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5:1,FOXM1,ENSG00000111206.13,U1-WT500-EtOH_vs_DMSO,0.00265434866056845,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5:2,HTT,ENSG00000197386.12,U1-WT500-EtOH_vs_DMSO,-0.0917893034975418,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5:3,MSH3,ENSG00000113318.11,U1-WT500-EtOH_vs_DMSO,0.00542745580956068,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
