,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_DMSO_CHX_vs_DMSO_EtOH,dPSI_DMSO_CHX_vs_DMSO_EtOH,Padj_maxP_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,Padj_maxP_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,Padj_maxP_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,Padj_maxP_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,Padj_maxP_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,Padj_maxP_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,Padj_maxP_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,Padj_maxP_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,Padj_maxP_Branaplam_CHX_vs_Branaplam_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
1:1,FOXM1,ENSG00000111206.13,DMSO-CHX__vs_DMSO,-0.501912754105707,3.74256858854876e-06,2.7492171264969e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1:2,HTT,ENSG00000197386.12,DMSO-CHX__vs_DMSO,-1.1432639764772,6.22738441627193e-26,2.00546687741621e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1:3,MSH3,ENSG00000113318.11,DMSO-CHX__vs_DMSO,0.438024073817637,0.000909037447453111,0.00419407477905157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2:1,FOXM1,ENSG00000111206.13,U1-WT100-CHX_vs_WT100,-0.520201240553364,5.1899441027374e-07,4.73923326704788e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2:2,HTT,ENSG00000197386.12,U1-WT100-CHX_vs_WT100,-0.874560741931439,1.74736987419444e-14,6.4042829395172e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2:3,MSH3,ENSG00000113318.11,U1-WT100-CHX_vs_WT100,0.453186863209335,0.000290453267584848,0.00154995970274026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3:1,FOXM1,ENSG00000111206.13,U1-WT500-CHX_vs_WT500,-0.524706264689449,1.14534454294667e-06,1.01666691458254e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3:2,HTT,ENSG00000197386.12,U1-WT500-CHX_vs_WT500,-0.882033895227979,1.77568883149186e-14,7.54812878240708e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3:3,MSH3,ENSG00000113318.11,U1-WT500-CHX_vs_WT500,0.354233383513048,0.0290054358644135,0.0945436292082562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4:1,FOXM1,ENSG00000111206.13,U1-mut1-100-CHX_vs_mut1-100,-0.519097258208747,7.97745564319832e-07,6.36325911988669e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
