UniqueID,Gene.Name,U1-WT-500-BIO2197294_vs_DMSO_logFC,P.Value.x,Adj.P.Value.x,U1-WT-500-BIO2197294_vs_WT-500_logFC,P.Value.y,Adj.P.Value.y,U1-WT-500-Branaplam_vs_DMSO_logFC,P.Value.x.1,Adj.P.Value.x.1,U1-WT-500-Branaplam_vs_WT-500_logFC,P.Value.y.1,Adj.P.Value.y.1
ENSG00000282740.1,AL021920.3,7.52519768498671,1.25887142953271e-05,0.000200396993384609,NA,NA,NA,7.59443347966852,1.08043672726094e-05,0.00594925354991291,NA,NA,NA
ENSG00000148677.6,ANKRD1,6.82646953232809,7.67691107111483e-50,1.79371027176598e-45,1.79054062344378,1.2222764023653e-05,0.000199957333766659,5.14193269488514,8.77874315294298e-29,9.90944527104203e-25,NA,NA,NA
ENSG00000282988.2,AL031777.2,6.44787701281552,1.62493798467628e-16,3.65064192422705e-14,3.90517154717806,1.31315532666249e-11,1.08592654412939e-09,0.0315566688164781,0.00112407950304777,0.224577158060234,NA,NA,NA
ENSG00000286945.1,AL513478.4,6.01862143152544,7.34784862493636e-06,0.000125133005190698,1.86989759105518,0.00765413496747808,0.0460185755062011,0.0111467044249555,0.00676767018068303,0.626175909832378,NA,NA,NA
ENSG00000233930.4,KRTAP5-AS1,5.47248604462812,7.88285120407305e-12,5.77375606216824e-10,3.43859104618351,3.59664871220889e-11,2.54539001024539e-09,0.0453442799732195,0.000443980209118517,0.115210312655858,NA,NA,NA
ENSG00000244468.1,AC093001.1,5.07697764401268,8.8410081098531e-05,0.00112144492120911,3.66106477840336,0.00125182894395424,0.0105256202006372,NA,NA,NA,NA,NA,NA
ENSG00000171557.17,FGG,-4.78293134206636,0.000282846203287214,0.00309106713742084,-0.245447816950518,0.00987806284217151,0.0569913485113376,NA,NA,NA,NA,NA,NA
ENSG00000263567.1,AC007923.1,4.78218291643935,0.000194633526494839,0.00224130721860617,4.75293190110169,0.000207973114325634,0.00231747037032653,NA,NA,NA,NA,NA,NA
ENSG00000055957.11,ITIH1,4.69183713167787,2.35535798627111e-05,0.000348530331534037,3.97458213540822,7.44381939488406e-05,0.000946236861818144,0.0340409056637363,0.000975679245365114,0.205156601038746,NA,NA,NA
ENSG00000257017.9,HP,4.62280976093832,0.000266287375398497,0.00293758476212743,NA,NA,NA,4.59424819697636,0.000281706167667922,0.0836815584377763,NA,NA,NA
ENSG00000243509.6,TNFRSF6B,4.3645921507828,0.0001630677970705,0.00192135316410625,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000285791.1,AC009879.3,4.29124145887192,1.54732595916712e-08,5.15738531183163e-07,2.13042070851006,0.000112701607129672,0.00135626411650292,0.033162221279671,0.00119021022372159,0.230519640803879,NA,NA,NA
ENSG00000251095.7,AC093866.1,4.20957336509396,9.24241966652879e-11,5.30587556531806e-09,NA,NA,NA,4.3103366099332,3.54143694891467e-11,5.33009870391317e-08,NA,NA,NA
ENSG00000284837.1,AC007846.1,4.08082468028389,0.000524640641991861,0.00528827808461597,2.79067784645828,0.00286225297412832,0.0207842467494117,NA,NA,NA,NA,NA,NA
ENSG00000255663.1,AP002373.1,4.0201787518767,0.000117296921090299,0.00143714869495272,1.30491167972236,0.0114198082498837,0.0643408013599638,3.32908621351344,0.000856316984150703,0.189531492492022,NA,NA,NA
ENSG00000242338.6,BMS1P4,3.87404901896208,1.07796435202587e-18,4.6641920527934e-16,2.6008950931022,2.7344352290497e-10,1.49836431385985e-08,0.0451313111788376,0.0130022325858932,0.903522586764325,NA,NA,NA
ENSG00000267978.5,MAGEA9B,3.77956438999693,0.00104298732988473,0.0094235881526515,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000254912.2,AC135983.4,3.76860964198972,2.50860092220052e-13,2.57076581347435e-11,1.58396940323649,0.000137623361601208,0.00161737897527791,0.0571727790181222,0.000632933396606415,0.148827963399692,NA,NA,NA
ENSG00000187775.17,DNAH17,3.72732847776116,6.61042906287855e-16,1.19730755855936e-13,0.765688420075863,0.0265487680325253,0.126555107073963,2.69547570621004,5.86269332590449e-09,7.05770552480531e-06,NA,NA,NA
ENSG00000196503.5,ARL9,3.68843376524599,1.51631833249561e-10,8.23925066017673e-09,2.86704964192311,1.80738885255445e-08,6.19174669730944e-07,0.0437251968683549,0.00133898898408054,0.245764352069937,NA,NA,NA
ENSG00000215837.7,SDHAP2,3.68138157528605,9.93292850439888e-06,0.000163784667964206,0.33014160723107,0.0315727082603676,0.144992974305545,NA,NA,NA,NA,NA,NA
