genesymbol,Padj_maxP_BIO2195127_CHX_vs_U1_mut1_100_CHX,dPSI_BIO2195127_CHX_vs_U1_mut1_100_CHX,Padj_maxP_BIO2195127_CHX_vs_U1_mut1_500_CHX,dPSI_BIO2195127_CHX_vs_U1_mut1_500_CHX,Padj_maxP_BIO2195127_CHX_vs_U1_mut2_100_CHX,dPSI_BIO2195127_CHX_vs_U1_mut2_100_CHX,Padj_maxP_BIO2195127_CHX_vs_U1_mut2_500_CHX,dPSI_BIO2195127_CHX_vs_U1_mut2_500_CHX,Padj_maxP_BIO2195127_CHX_vs_U1_WT_100_CHX,dPSI_BIO2195127_CHX_vs_U1_WT_100_CHX,Padj_maxP_BIO2195127_CHX_vs_U1_WT_500_CHX,dPSI_BIO2195127_CHX_vs_U1_WT_500_CHX,Padj_maxP_BIO2195127_EtOH_vs_U1_mut1_100_EtOH,dPSI_BIO2195127_EtOH_vs_U1_mut1_100_EtOH,Padj_maxP_BIO2195127_EtOH_vs_U1_mut1_500_EtOH,dPSI_BIO2195127_EtOH_vs_U1_mut1_500_EtOH,Padj_maxP_BIO2195127_EtOH_vs_U1_mut2_100_EtOH,dPSI_BIO2195127_EtOH_vs_U1_mut2_100_EtOH,Padj_maxP_BIO2195127_EtOH_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_EtOH_vs_U1_mut2_500_EtOH,Padj_maxP_BIO2195127_EtOH_vs_U1_WT_100_EtOH,dPSI_BIO2195127_EtOH_vs_U1_WT_100_EtOH,Padj_maxP_BIO2195127_EtOH_vs_U1_WT_500_EtOH,dPSI_BIO2195127_EtOH_vs_U1_WT_500_EtOH,Padj_maxP_BIO2197294_CHX_vs_U1_mut1_100_CHX,dPSI_BIO2197294_CHX_vs_U1_mut1_100_CHX,Padj_maxP_BIO2197294_CHX_vs_U1_mut1_500_CHX,dPSI_BIO2197294_CHX_vs_U1_mut1_500_CHX,Padj_maxP_BIO2197294_CHX_vs_U1_mut2_100_CHX,dPSI_BIO2197294_CHX_vs_U1_mut2_100_CHX,Padj_maxP_BIO2197294_CHX_vs_U1_mut2_500_CHX,dPSI_BIO2197294_CHX_vs_U1_mut2_500_CHX,Padj_maxP_BIO2197294_CHX_vs_U1_WT_100_CHX,dPSI_BIO2197294_CHX_vs_U1_WT_100_CHX,Padj_maxP_BIO2197294_CHX_vs_U1_WT_500_CHX,dPSI_BIO2197294_CHX_vs_U1_WT_500_CHX,Padj_maxP_BIO2197294_EtOH_vs_U1_mut1_100_EtOH,dPSI_BIO2197294_EtOH_vs_U1_mut1_100_EtOH,Padj_maxP_BIO2197294_EtOH_vs_U1_mut1_500_EtOH,dPSI_BIO2197294_EtOH_vs_U1_mut1_500_EtOH,Padj_maxP_BIO2197294_EtOH_vs_U1_mut2_100_EtOH,dPSI_BIO2197294_EtOH_vs_U1_mut2_100_EtOH,Padj_maxP_BIO2197294_EtOH_vs_U1_mut2_500_EtOH,dPSI_BIO2197294_EtOH_vs_U1_mut2_500_EtOH,Padj_maxP_BIO2197294_EtOH_vs_U1_WT_100_EtOH,dPSI_BIO2197294_EtOH_vs_U1_WT_100_EtOH,Padj_maxP_BIO2197294_EtOH_vs_U1_WT_500_EtOH,dPSI_BIO2197294_EtOH_vs_U1_WT_500_EtOH,Padj_maxP_Branaplam_CHX_vs_U1_mut1_100_CHX,dPSI_Branaplam_CHX_vs_U1_mut1_100_CHX,Padj_maxP_Branaplam_CHX_vs_U1_mut1_500_CHX,dPSI_Branaplam_CHX_vs_U1_mut1_500_CHX,Padj_maxP_Branaplam_CHX_vs_U1_mut2_100_CHX,dPSI_Branaplam_CHX_vs_U1_mut2_100_CHX,Padj_maxP_Branaplam_CHX_vs_U1_mut2_500_CHX,dPSI_Branaplam_CHX_vs_U1_mut2_500_CHX,Padj_maxP_Branaplam_CHX_vs_U1_WT_100_CHX,dPSI_Branaplam_CHX_vs_U1_WT_100_CHX,Padj_maxP_Branaplam_CHX_vs_U1_WT_500_CHX,dPSI_Branaplam_CHX_vs_U1_WT_500_CHX,Padj_maxP_Branaplam_EtOH_vs_U1_mut1_100_EtOH,dPSI_Branaplam_EtOH_vs_U1_mut1_100_EtOH,Padj_maxP_Branaplam_EtOH_vs_U1_mut1_500_EtOH,dPSI_Branaplam_EtOH_vs_U1_mut1_500_EtOH,Padj_maxP_Branaplam_EtOH_vs_U1_mut2_100_EtOH,dPSI_Branaplam_EtOH_vs_U1_mut2_100_EtOH,Padj_maxP_Branaplam_EtOH_vs_U1_mut2_500_EtOH,dPSI_Branaplam_EtOH_vs_U1_mut2_500_EtOH,Padj_maxP_Branaplam_EtOH_vs_U1_WT_100_EtOH,dPSI_Branaplam_EtOH_vs_U1_WT_100_EtOH,Padj_maxP_Branaplam_EtOH_vs_U1_WT_500_EtOH,dPSI_Branaplam_EtOH_vs_U1_WT_500_EtOH,Padj_maxP_U1_mut1_100_CHX_vs_U1_WT_100_CHX,dPSI_U1_mut1_100_CHX_vs_U1_WT_100_CHX,Padj_maxP_U1_mut1_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_WT_100_EtOH,Padj_maxP_U1_mut1_100_EtOH_vs_U1_WT_100_EtOH,dPSI_U1_mut1_100_EtOH_vs_U1_WT_100_EtOH,Padj_maxP_U1_mut1_500_CHX_vs_U1_WT_500_CHX,dPSI_U1_mut1_500_CHX_vs_U1_WT_500_CHX,Padj_maxP_U1_mut1_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_WT_500_EtOH,Padj_maxP_U1_mut1_500_EtOH_vs_U1_WT_500_EtOH,dPSI_U1_mut1_500_EtOH_vs_U1_WT_500_EtOH,Padj_maxP_U1_mut2_100_CHX_vs_U1_WT_100_CHX,dPSI_U1_mut2_100_CHX_vs_U1_WT_100_CHX,Padj_maxP_U1_mut2_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_WT_100_EtOH,Padj_maxP_U1_mut2_100_EtOH_vs_U1_WT_100_EtOH,dPSI_U1_mut2_100_EtOH_vs_U1_WT_100_EtOH,Padj_maxP_U1_mut2_500_CHX_vs_U1_WT_500_CHX,dPSI_U1_mut2_500_CHX_vs_U1_WT_500_CHX,Padj_maxP_U1_mut2_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_WT_500_EtOH,Padj_maxP_U1_mut2_500_EtOH_vs_U1_WT_500_EtOH,dPSI_U1_mut2_500_EtOH_vs_U1_WT_500_EtOH,Padj_maxP_U1_WT_500_BIO2197294_vs_BIO2197294_EtOH,dPSI_U1_WT_500_BIO2197294_vs_BIO2197294_EtOH,Padj_maxP_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH,Padj_maxP_U1_WT_500_Branaplam_vs_Branaplam_EtOH,dPSI_U1_WT_500_Branaplam_vs_Branaplam_EtOH,Padj_maxP_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_Branaplam_vs_U1_WT_500_EtOH
AADAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3331496530275e-09,-0.359547283575471,NA,NA,NA,NA,1.97358301981178e-07,-0.313546679204708,NA,NA,NA,NA,1.51984060571919e-08,-0.370941290348136,NA,NA,NA,NA,1.61567493541839e-08,-0.379853953272783,NA,NA,0.0150981781243387,-0.272918910124342,0.0118789377079168,-0.283163416176954,NA,NA,NA,NA
ABCA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00290088850268822,-0.335250007623255,NA,NA,NA,NA,NA,NA,NA,NA,0.00541802376649943,-0.323511378457703,NA,NA,NA,NA,NA,NA
ABCB8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26524453697447e-08,-0.36866460676433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77134713073746e-08,-0.346707736385851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93325943679588e-07,-0.37047606530147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65255746734447e-07,-0.303957984824529,NA,NA,NA,NA
ABCB9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00119535622658366,0.3200212203653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD10,NA,NA,3.58870907568944e-07,0.268294242073449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20461466464067e-08,0.258449899291541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4523392942425e-08,0.318900918239865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53313786782779e-07,0.299728002695553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77167339228656e-06,0.256065741670806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00026732853617e-06,0.280608735002049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35979383225805e-12,-0.333631989433535,5.22533640005344e-13,-0.374750142366249,7.15573473880094e-11,-0.31844670687021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD13,NA,NA,1.12477480485706e-05,0.508671941711138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37041914384029e-06,0.558530761982122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74614880047394e-05,0.505123086116592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80650213506859e-06,0.554791600829946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19812447073111e-05,0.505313016803894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5596685327468e-05,0.556350113513207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49371372721499e-06,0.374252270305596,1.16977134749229e-06,0.374234320841317,6.37293867406656e-07,0.343730038767832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD4,NA,NA,NA,NA,NA,NA,0.0043283748119137,0.388206819411168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00543395832169301,0.463975832085268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00389276453027253,0.388195461774315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00595276482559153,0.46398075785713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00376116859155274,0.38820776874303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0114355658012296,0.444558777056378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0208751137407856,0.367798801929042,0.0103011529130667,0.356420266383117,0.0498693551194668,0.425473318188209,NA,NA,NA,NA,NA,NA,NA,NA
AC004803.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235348858461705,0.302278524611874,NA,NA,NA,NA
AC004943.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335997356330917,0.256400958270264,NA,NA,NA,NA,NA,NA,NA,NA
AC008581.2,NA,NA,NA,NA,NA,NA,1.19127603556892e-05,0.309122260913871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71095132458793e-05,0.313607273301356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9354080019721e-06,0.311267900526441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24433966516626e-06,-0.315721504053902,6.46697843350209e-07,-0.342336378871738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
