,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,Algorithem.x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,Algorithem.y,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,Algorithem.x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,Algorithem.y,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,Algorithem.x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x,Algorithem.y
A1BG,0.763252478186361,0.0126282127668088,leafcutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1BG-AS1,0.996210211573262,-0.0266669777200499,majiq,0.903978330580508,0.0713388444503063,leafcutter,0.619254492277846,0.0740277202803854,leafcutter,0.99732623890026,-0.0231620321032557,majiq,0.997574148774531,-0.0220286338980274,majiq,0.995646955357822,-0.0287601828882227,majiq
A4GALT,0.379495159563716,0.160725536396026,leafcutter,0.999617552158861,-0.0373575785131097,majiq,0.999098021593486,-0.0248094967967318,majiq,0.293795127601,-0.136,rmats,0.998988094243076,-0.0198129841012266,majiq,0.872850850066503,0.0309574772970114,leafcutter
AAAS,0.593034173645,0.013,rmats,0.428899825913971,0.0149572112868838,leafcutter,0.639744960997583,0.0361404634666942,leafcutter,0.8744373392279,0.0149574747640041,leafcutter,0.845767777737781,0.0149575682172246,leafcutter,0.624822793436438,0.0149569691385506,leafcutter
AACS,0.763252478186361,0.0303616343128245,leafcutter,0.572227159205843,0.044370776834467,leafcutter,0.523643550928659,0.0521923857786365,leafcutter,0.8744373392279,0.0425910954272128,leafcutter,0.326981042968,0.105,rmats,0.195489352815,0.09,rmats
AADAT,0.759015222541959,0.0418577952015669,leafcutter,0.857701208392946,0.0134090294202522,leafcutter,0.5465918882117,0.0493678979204153,leafcutter,0.8744373392279,0.0560008669089835,leafcutter,0.95688919163197,0.0176839756247049,leafcutter,0.908568096550562,0.0219246117021563,leafcutter
AAED1,0.848460498225054,0.0268705850414387,leafcutter,0.881108001463432,0.0334181399063166,leafcutter,0.960768335589315,0.0128847654106909,leafcutter,0.8744373392279,0.0929947196080539,leafcutter,0.974182059746577,0.0298483854909802,leafcutter,0.942303835662233,0.0314727165539984,leafcutter
AAGAB,0.763252478186361,0.102953940849172,leafcutter,0.415643575369541,0.0325344683500571,leafcutter,0.683016505050992,0.0799710618090666,leafcutter,0.977926380038186,0.0406969874009238,leafcutter,0.845767777737781,0.0961181527003885,leafcutter,0.994117118658104,0.0154514037993577,leafcutter
AAK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079151643779,-0.549,rmats
AAMDC,0.999998725504968,0.0367812077479217,leafcutter,0.152947163784,0.072,rmats,0.0325956753024,0.047,rmats,0.997224438385351,-0.0131036131752509,majiq,0.505775036634,0.041,rmats,0.9579308665888,0.0162016459461966,leafcutter
AAMP,0.763252478186361,0.0389634330842667,leafcutter,0.999999999896621,-0.014173044607187,majiq,0.894136538470273,0.0141196433540365,leafcutter,0.832875854027,0.022,rmats,0.879031206588476,0.0347821137380123,leafcutter,0.854137404756,0.015,rmats
AAR2,0.930810644257206,0.0135554179663145,leafcutter,0.85696082504579,0.0162732788221047,leafcutter,0.937891862373874,-0.0161240342502328,leafcutter,0.8744373392279,0.0553885258014355,leafcutter,0.999925932028971,-0.013988412903127,majiq,0.932052311707107,0.0294434784578785,leafcutter
AARS,0.990491114575131,0.0194128083987966,leafcutter,0.387371372540317,0.0297820125222679,leafcutter,0.424305383360782,0.0291404227873462,leafcutter,0.918713971084962,-0.01174379855556,leafcutter,0.849461720279666,0.0177859884438968,leafcutter,0.578231680603286,0.0280170639707357,leafcutter
AARS2,0.825806731925007,0.0710587350308254,leafcutter,0.188709117886077,0.132717521394097,leafcutter,0.809197742653644,0.0362867850214276,leafcutter,0.8744373392279,0.0641165119938008,leafcutter,0.980524029482525,0.0419587843025618,leafcutter,0.984768016936535,0.0311138109346507,leafcutter
AARSD1,0.703782540265891,0.0425119086816974,leafcutter,0.555086550244092,0.0212183562209448,leafcutter,0.999109411410577,-0.0235318115172073,majiq,0.953023456263406,0.0442238674923167,leafcutter,0.199084525858,0.071,rmats,0.982828348364111,0.0252741493853962,leafcutter
AASDH,0.640496204172,-0.075,rmats,0.704103718027,0.108,rmats,NA,NA,NA,0.388717715454,0.127,rmats,0.999757667833431,0.0155974069767598,majiq,0.0117680508214,0.17,rmats
AASS,0.956905100650218,0.0215985400564696,leafcutter,0.546358325468,-0.012,rmats,0.286461060322308,0.12300547380017,leafcutter,0.992950969349972,-0.0149240912979351,majiq,0.703360534741,-0.012,rmats,0.917754295138598,0.0286761622750981,leafcutter
AATF,0.759015222541959,0.014549109622869,leafcutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC12-49244600F4.3,0.116860737437,-0.246,rmats,0.826687065083319,0.0855802713935892,leafcutter,0.459632276939,-0.27,rmats,NA,NA,NA,0.974182059746577,0.0644140430144403,leafcutter,0.892237169502032,0.119617623974342,leafcutter
ABC14-1080714F14.1,0.9976749165864,0.0339581230943176,majiq,0.999661149477041,-0.0463091144505936,majiq,NA,NA,NA,0.998575514553801,-0.0305264434835007,majiq,NA,NA,NA,NA,NA,NA
ABC7-42389800N19.1,0.604714441203877,0.0840417279364596,leafcutter,0.60262352069481,0.101115783758034,leafcutter,0.894209654815026,0.047197228039713,leafcutter,0.999808615433162,-0.0210167455898637,majiq,0.999847354157724,-0.0177714058834114,majiq,0.965821937808121,0.0341304183976796,leafcutter
ABCA1,0.999700259589823,-0.0212640399028335,majiq,NA,NA,NA,0.0208537306541,-0.143,rmats,NA,NA,NA,0.99989809535402,0.0111468643396789,majiq,NA,NA,NA
ABCA11,NA,NA,NA,NA,NA,NA,0.999016339361833,-0.0369701721710579,majiq,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCA2,0.77567820095,-0.013,rmats,0.50313650256,-0.015,rmats,0.761657694572,-0.028,rmats,0.652121101687,-0.012,rmats,0.0886565192538,0.036,rmats,0.752917334295253,0.0278512569428935,leafcutter
ABCA5,0.308098324172,0.163,rmats,0.0944614439958,-0.141,rmats,0.0144956288493,0.512,rmats,0.0668558337991,0.282,rmats,0.206095720698,-0.211,rmats,0.565932943924,-0.099,rmats
ABCA6,0.95312902267997,0.0139562856970351,leafcutter,0.632332383794596,0.060487529136464,leafcutter,0.893989645976042,0.0184222814700624,majiq,0.999529341781186,0.0186921595894931,majiq,0.998630772326853,-0.014281518039673,majiq,0.417247345362103,0.0809794227981945,leafcutter
