,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x
ABCB8,0.99999260448385,0.597227728965662,5.83420623641731e-18,0.310522678866495,0.0228831892892712,0.374160489352025,NA,NA,NA,NA,NA,NA
ABHD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000310993856181686,-0.356121036260068
ADAM12,NA,NA,1.94389338452591e-06,0.492625049878904,2.26902748130077e-09,0.402061261516746,NA,NA,NA,NA,NA,NA
ADAM17,NA,NA,3.44483620638471e-05,-0.363591907189032,NA,NA,NA,NA,NA,NA,NA,NA
ADARB1,NA,NA,0.0051075397913,0.305,NA,NA,NA,NA,NA,NA,NA,NA
ADGRA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164572710343517,-0.267722469230599
AMT,NA,NA,0,0.355,NA,NA,NA,NA,NA,NA,NA,NA
ANAPC1,NA,NA,0.999999993200712,0.702599730402539,NA,NA,NA,NA,NA,NA,NA,NA
ANKRD13D,0.0336591879050466,0.358310375573065,3.53526907748e-10,0.465,3.84966781685e-09,0.444,NA,NA,NA,NA,NA,NA
ANKS3,7.3061741531135e-05,-0.33587314191368,3.21221112434976e-09,0.326607437231169,2.03991453019e-08,0.351,NA,NA,NA,NA,NA,NA
ANXA11,NA,NA,0,0.4,0,0.411,NA,NA,NA,NA,NA,NA
APIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014962299388958,-0.375536149797958
APLP2,4.91694091046018e-14,-0.25961285086018,0,0.339,0,0.341,NA,NA,8.25183705250364e-15,-0.304205028131162,0,0.396
APPL2,0.99999999999996,0.611062337323483,1.39996129356632e-13,0.670459995253547,1.59166514657649e-15,0.681932560967167,NA,NA,NA,NA,1.19710641616759e-10,-0.461939566814194
ARHGAP1,NA,NA,1.20003436999979e-14,-0.400758969117276,3.79144999614313e-11,-0.345825301621107,NA,NA,NA,NA,NA,NA
ARHGAP5,NA,NA,4.08361895919035e-07,0.26037343627721,6.50474004608475e-07,0.256087369847848,NA,NA,NA,NA,NA,NA
ARL15,NA,NA,NA,NA,0.999999989437398,0.822149365714889,NA,NA,NA,NA,NA,NA
ARMCX6,NA,NA,0,0.46,0,0.486,NA,NA,NA,NA,NA,NA
ASAP1,0,0.808,0,0.937,0,0.967,NA,NA,NA,NA,0,0.771
ASCC3,NA,NA,0.000313317159874289,0.403337599911892,0.000320887905633768,0.47944348661099,NA,NA,NA,NA,0.000130954216374757,0.695500401664458
ATF6,NA,NA,4.74996753443076e-07,-0.366916650212052,1.81758871525018e-06,-0.365009024727752,NA,NA,NA,NA,NA,NA
ATG5,NA,NA,NA,NA,3.55687945574e-08,-0.363,NA,NA,NA,NA,NA,NA
AXIN1,0.000507717535553908,-0.481400678020288,0,0.726,0,0.639,NA,NA,NA,NA,0.00394121196148889,0.277885614628492
BCAS3,NA,NA,0.0040476709911033,-0.289775221305859,NA,NA,NA,NA,NA,NA,NA,NA
BECN1,0.924699249156433,-0.364619835667728,2.52744265123433e-06,0.279984549886823,2.98755414604802e-05,0.296352015018468,NA,NA,NA,NA,NA,NA
BIN3,NA,NA,2.1602100535622e-05,0.263682585114566,NA,NA,NA,NA,NA,NA,NA,NA
BPHL,0.00143538817058,0.363,NA,NA,NA,NA,0.00180165945773,0.363,NA,NA,NA,NA
BTBD10,NA,NA,2.76070922981387e-06,0.250291840755637,1.94787747686869e-06,0.263624880449225,NA,NA,NA,NA,NA,NA
C10orf76,NA,NA,NA,NA,7.69329366506629e-05,-0.282173232878987,NA,NA,NA,NA,NA,NA
C11orf73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98890820359531,0.438920623043738
C14orf132,NA,NA,2.81728332652077e-08,0.259302452638649,1.91132502046252e-08,0.270705764487528,NA,NA,NA,NA,NA,NA
CACNA2D1,0.000335228132273351,0.803423173681263,0.0028355544472565,0.887467821954409,2.91182541450299e-06,0.912826050180195,NA,NA,NA,NA,NA,NA
CACNB1,NA,NA,0,0.736,0,0.764,NA,NA,NA,NA,NA,NA
CASP7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031092418610032,-0.253489028311892
CDC25B,NA,NA,NA,NA,0.00011750175242456,0.266032739567887,NA,NA,NA,NA,NA,NA
CECR7,NA,NA,0.000187176875969858,0.319379644171016,NA,NA,NA,NA,0.00702113023235593,0.281873587097005,0.000511095505531167,0.331307763658469
CEP57,NA,NA,6.67383911345959e-06,-0.275199257693704,NA,NA,NA,NA,NA,NA,NA,NA
CFAP70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000533659344705,0.562
CHD9,0.0283088582528124,-0.26810614792319,NA,NA,1.20615394013809e-06,0.328583897158736,NA,NA,NA,NA,NA,NA
CNOT1,NA,NA,0.00273086224080646,0.271937634865944,0.00271712441165084,0.273213068116514,NA,NA,NA,NA,NA,NA
CNTN3,NA,NA,NA,NA,9.02188356338439e-08,0.507481270106159,NA,NA,NA,NA,NA,NA
COPS7B,0,0.334,0,0.438,0,0.495,NA,NA,NA,NA,0,0.615
CRYBG3,NA,NA,0.000294608754746819,-0.353206356616109,NA,NA,NA,NA,NA,NA,NA,NA
CSF1,NA,NA,2.55827890372895e-05,0.259997962895458,NA,NA,NA,NA,NA,NA,NA,NA
CTNS,0.989784769474894,0.452185259423095,0.00152276358383061,0.34990266098031,0.000259583390385362,0.403844224736068,NA,NA,NA,NA,0.00118082706119832,0.270485234466486
CYB5B,NA,NA,0.00262769216772714,0.284566417264635,0.00119103599112719,0.358693024634287,NA,NA,NA,NA,NA,NA
D2HGDH,NA,NA,NA,NA,0.0193045167643136,0.273479547411482,NA,NA,NA,NA,NA,NA
DCAF17,NA,NA,0.00103424699397285,0.260039173524264,NA,NA,NA,NA,NA,NA,NA,NA
DCUN1D4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000541523542767778,-0.292831687343116
DDX42,0.00400271096359753,0.556194618335371,0.0018981299803651,0.827833030527983,0.00136912481360807,0.784825057224881,NA,NA,NA,NA,0.00413137500473728,0.612397195391049
DENND5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.494
DGKA,NA,NA,0,0.434,0,0.41,NA,NA,NA,NA,0,0.348
DLG5,NA,NA,1.36527435353956e-08,-0.30770699141582,7.81946086596404e-09,0.267858164945382,NA,NA,NA,NA,NA,NA
DLGAP4,1.62073695701493e-15,-0.355915597408742,0,0.379,0,0.423,NA,NA,NA,NA,NA,NA
DNTTIP1,NA,NA,4.26740592144729e-06,-0.366461822538043,4.30124234100705e-08,0.26337111494574,NA,NA,NA,NA,NA,NA
DPH1,NA,NA,7.07028941054926e-07,-0.420498223941321,9.11956435381924e-08,-0.430594797163312,NA,NA,NA,NA,4.51248014190544e-07,-0.413859083046814
DPY30,NA,NA,0.999999999998228,0.733396102105338,0.999973736216066,0.55882026272217,NA,NA,NA,NA,NA,NA
DYRK1A,NA,NA,6.89403289945677e-16,-0.296803269738266,NA,NA,NA,NA,NA,NA,NA,NA
ELMO2,0.908498926082561,0.392799247308369,0.999321895112173,0.500548476903419,0.99984820900349,0.535443110815867,NA,NA,NA,NA,0.950052054726024,0.41095508874975
EMSY,NA,NA,NA,NA,3.95252327137622e-05,-0.28185169492725,NA,NA,NA,NA,NA,NA
ENAH,0.000609175088483963,-0.34619284922103,3.0354414689423e-08,0.282927897680492,3.74957254746939e-07,0.314703125162793,NA,NA,NA,NA,8.03526748991829e-07,-0.403763014929272
EP300,NA,NA,2.87573725745055e-06,-0.320947553192103,NA,NA,NA,NA,NA,NA,NA,NA
EPN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08341735819191e-07,-0.348766176792631
ERGIC3,2.2340369084163e-12,-0.318694114106068,0,0.365,0,0.402,NA,NA,NA,NA,NA,NA
EVC,2.46768796590915e-08,0.332093197495508,3.0354414689423e-08,0.511829497216601,2.2818296716803e-09,0.474409975952514,NA,NA,NA,NA,4.51287602764327e-08,0.317318119132409
EXOC3,NA,NA,5.29141904823106e-05,0.46013740513381,9.24378302547416e-05,0.341159814167478,NA,NA,NA,NA,NA,NA
EXOC6B,0.00238649517071114,-0.407882214100774,0.00010338708280638,0.263905281338929,4.64455119734856e-05,0.254086894567609,NA,NA,NA,NA,0.0035471051596457,-0.331048671943447
EXTL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32000260444719e-07,-0.6475867662003
FAAP20,0,0.366,0,0.608,0,0.574,NA,NA,NA,NA,NA,NA
FAM162A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.466
FAM174A,NA,NA,0.0139538242356055,-0.319201555450688,0.000416765105926406,-0.306256736379943,NA,NA,0.0101925723878228,-0.327783829478127,0.000124011032559925,-0.482730696057117
FAM198B,NA,NA,0.000144861175974615,0.509291530061905,0.000680412459695216,0.523680074295252,NA,NA,NA,NA,0.00061533040922835,0.330094878302804
FAM3A,NA,NA,0,0.327,1.54082277868e-09,0.311,NA,NA,NA,NA,NA,NA
