"","dPSI_NGN2_1755497.12nM"
"POMT2",0.803
"LIMCH1",0.796
"WDR27",0.78085981212284
"NUP58",0.779
"DENND1A",0.689717980910128
"LINC02210",0.605972074387972
"ARL15",0.601
"LARP7",0.6
"NR1H3",0.596311811663982
"HDX",0.594
"LRRC42",0.558
"PDE7A",0.554
"PDXDC1",0.533637122956989
"STRN3",0.533
"CACNA1C",0.523692045994325
"HTT",0.515767115521948
"AP004608.1",0.509
"RAF1",0.505
"CACNB4",0.503
"STXBP5L",0.496293190287179
"CLASP2",0.495402384307501
"CHROMR",0.494
"XRN2",0.493448104052929
"SENP6",0.490295373145182
"DLGAP4",0.486
"AC026786.1",0.483384729870954
"MELTF",0.480565593575054
"RBBP8",0.479121755886868
"STRN",0.4767750197688
"ABCB8",0.476
"SCLY",0.463
"MCAM",0.459023870577021
"DHFR",0.458642857701118
"MUTYH",0.449755488429477
"TAF2",0.449
"AC091729.3",0.438155057251527
"SNAI3-AS1",0.431539435670036
"ERCC8",0.423559191747241
"C12orf4",0.419325106285347
"DENND4A",0.410144196167056
"MYCBP2",0.406
"RAB3IP",0.406
"TMEM74B",0.400073520398511
"KDM6A",0.385
"GXYLT1",0.384585601438174
"TRAPPC13",0.382
"ARMH3",0.381384388827453
"WDR17",0.379
"ZFP82",0.369571935573601
"SKP1",0.364
"ASCC3",0.355515783335247
"AXIN1",0.355
"ZNF519",0.352
"KLHL1",0.350183276781026
"SNHG14",0.348
"FAAP20",0.343
"TMEM50B",0.335779039926828
"ADAM17",0.327
"SNHG17",0.321
"SF3B1",0.316
"SERGEF",0.314
"FGD4",0.309986657268661
"C10orf82",0.306
"ELMOD3",0.303
"CSTF3",0.299520207084783
"SLC25A17",0.295609813914665
"EXOC6B",0.294790087749042
"TIAM1",0.279937146057013
"SETX",0.265889699744703
"LINC01011",0.265514251138759
"TET1",0.262543706553409
"FBL",0.259467685317266
"TENT2",0.252256982149637
