"","dPSI_NGN2_1949634.10uM"
"GNS",1
"STAT1",1
"LARP4B",0.99999999957791
"RICTOR",0.999999999548817
"WDR19",0.999999997523102
"ADAMTS10",0.999999997435362
"GXYLT1",0.999999985414131
"C12orf4",0.99999997694614
"LINC02210",0.997419325052486
"PCDH10",0.997404469964784
"MLLT10",0.997004687972814
"CRYL1",0.997
"ZMYM6",0.996442589725034
"KDM6A",0.996
"CDC37L1",0.993029763018517
"MED13L",0.992
"LARS2",0.991
"POMT2",0.991
"SNHG16",0.991
"VAV2",0.989428504446449
"PRPF31",0.988067465490259
"COG3",0.986301282564377
"COQ6",0.986
"LNPK",0.984215356059578
"LMBRD2",0.983650003303605
"ENOX1",0.983377183204084
"CYLD",0.981720545652812
"SAR1A",0.981590033068211
"CHN2",0.981203664813426
"GABRB2",0.981175577697647
"SCO1",0.981
"DENND5A",0.98
"FGD4",0.98
"ABHD10",0.979
"PDE7A",0.979
"RAF1",0.975
"AGPS",0.974373539538827
"AL031315.1",0.974357281862337
"AC068547.1",0.974312643886733
"DENND1B",0.97422930687605
"SPPL2B",0.974
"TASP1",0.973906791931545
"TOE1",0.973727230588299
"CYB5B",0.973689300901747
"SNAP23",0.972914264210678
"SLC12A2",0.972783600148313
"SNX7",0.97231979911494
"ODR4",0.970835068434826
"FBXL16",0.969274285512446
"NPY5R",0.969181565568733
"GARNL3",0.968886799162159
"AL157871.6",0.967902805537219
"SPIDR",0.966273606600748
"JMJD1C",0.965980678870785
"ZNF169",0.965063491198306
"PIGN",0.96492831619785
"DNAJC13",0.96335136487869
"DDX42",0.961997657527853
"PLXNC1",0.961883943108151
"IVD",0.961507877445136
"IGDCC4",0.960694222808902
"MAST4",0.959597549774184
"ATP11B",0.958040942461184
"ARL15",0.958
"MAN1B1",0.958
"CHRM2",0.957796934441741
"TANK",0.956508224804925
"SLC41A3",0.955294695410483
"TMEM214",0.955066712802677
"P4HA2",0.954788667554045
"SLK",0.953801625604585
"BNIP1",0.95281909854577
"BICRA",0.948928741391785
"TAF2",0.948
"AC008581.2",0.947511813891379
"NEDD4",0.945360441404535
"SERF1B",0.94526187371943
"NLN",0.94504981948022
"TPTEP2",0.943
"PTPRT",0.942499216924634
"IGSF3",0.941372312265995
"SNX4",0.938783503752052
"GNG10",0.937457617005692
"AGK",0.936165448221327
"CNGA3",0.935185331879006
"AC068205.2",0.934645650416565
"BSDC1",0.933354305649066
"CHD2",0.931732509817339
"DLG5",0.930356465914484
"SRGAP1",0.928133707666703
"CLTC",0.928
"STX7",0.927883580588452
"LRIG2",0.927858246359417
"MDN1",0.927509146845405
"THADA",0.927
"MTHFD1L",0.925969843330168
"HOMER2",0.924618112834913
"AC026786.1",0.924222284327651
"ATP8A2",0.923284524694087
"EHMT1",0.922879865949652
"GALC",0.922
"LRRC27",0.920678879464348
"DHFR",0.920066121360728
"EXOC6B",0.919
"SREK1",0.918
"CLASP2",0.917558929344295
"CCDC93",0.9147146271431
"IFT57",0.912097523463045
"ZNF280D",0.908944238684862
"AC114490.2",0.905366499525292
"ARHGAP5",0.901426055996099
"AC018630.2",0.900619830413382
"PRH1",0.900479296326291
"OTUD7A",0.900431616457242
"MTERF3",0.900250718060276
"TET1",0.898504338358464
"SPATS2",0.896960950437185
"SETX",0.895436626017296
"CPT2",0.894677572238084
"HSD17B12",0.891124247268445
"DOCK3",0.890545118097508
"TMEM117",0.88876085417957
"PXK",0.887328369688713
"CPLX2",0.886370624837743
"SMC5",0.885638911423865
"SLC16A7",0.885454767323358
"INO80",0.884501475855347
"DENND1A",0.881841000630118
"INTS6L",0.878
"GALNT11",0.875297823040005
"GCFC2",0.87030588891966
"NT5C3A",0.869872773700886
"ABCB8",0.867
"NIPA1",0.865
"DPH1",0.864967071151134
"HOOK3",0.864568080094063
"NRL",0.863898662742742
"VPS13C",0.863042566058982
"ELP4",0.862
"GAB1",0.861053513028118
"LIMCH1",0.861
"FASTKD2",0.860877258482183
"TAF5L",0.859
"OXCT1",0.856317551244359
"SENP6",0.855
"PIK3CD",0.854084042602732
"BRWD3",0.854032199215242
"CAMK1G",0.854
"AKAP7",0.852603281148322
"GTF2H2C",0.852418793374966
"NR2C2",0.852087341055393
"MACROD2",0.851058027365177
"ATAD2B",0.850996487771061
"ZNF730",0.849776870947258
"ANKS1B",0.847291464427368
"PCLO",0.847
"ZNF804A",0.846548058396104
"STX18-AS1",0.844972530367078
"OSBPL5",0.844428354064635
"AXIN1",0.842
"PIGG",0.841615933930188
"SLC24A3",0.840709837530392
"PIK3R1",0.839298111840974
"FCHO1",0.837013015144153
"SSBP1",0.836910889241006
"ABLIM2",0.836659399070966
"FRY",0.836380378801993
"DDX50",0.834821377367258
"PPIL3",0.834072270058537
"DPY30",0.832715233648342
"CAPRIN2",0.831026175977378
"RERE",0.828551752634401
"RPF2",0.826908173755275
"TDRKH",0.825435177811325
"RBBP8",0.824985236948914
"FUT9",0.824347901466474
"APLP2",0.824
"CCNY",0.824
"LRRC42",0.824
"WDR37",0.824
"ERC1",0.823926077420256
"PDXDC1",0.822945671026216
"DIAPH1",0.822322572998823
"CUL3",0.820100280094639
"WSB1",0.819
"TAMM41",0.818885122136288
"FAM174A",0.817
"FAM124A",0.81618780286999
"APIP",0.816032072157503
"IDH1",0.815755444456063
"NUP58",0.814
"PGGT1B",0.813938164704146
"CDCA4",0.813902857103739
"TMEM233",0.813791588605925
"PDIA5",0.811362424001627
"SEC22A",0.808538262035338
"FNBP1",0.80767595127314
"LRRC6",0.806719270370475
"ZFP82",0.805614767795276
"LMAN2L",0.803
"ERCC8",0.801
"C14orf132",0.799
"GNAQ",0.798601395783667
"VAMP4",0.794777490331567
"QKI",0.79460640135393
"MANEA",0.79280467209295
"VSTM2L",0.789269307589732
"DMXL1",0.78894171570214
"SNTG1",0.787101043744803
"RAB8B",0.786026772143417
"RMST",0.786
"TNRC6B",0.784870757297396
"SH3YL1",0.782
"DYNC1I1",0.78107066540592
"HDX",0.781
"DCUN1D4",0.778
"BIRC6",0.776466189989964
"MMS19",0.775205149880975
"SGK1",0.774561592696049
"TIAM1",0.772497765666488
"RARS1",0.771843829071832
"MYT1",0.771
"PCDH11Y",0.767765348840332
"USP25",0.766428792397472
"PPP3CA",0.764012237997655
"ADAL",0.764
"PRKCA",0.763484923005051
"TTC7B",0.763286968977606
"C6orf58",0.763
"RUFY2",0.762126588616105
"ADGRL1",0.761140732166917
"RBBP4",0.760671428462317
"NBL1",0.757752322796074
"ATXN1",0.75750554188169
"PRKCI",0.755628933051494
"BEND6",0.755
"FAM193B",0.753774215571523
"PLEKHA3",0.750933938414123
"MATK",0.747905082424475
"LINC00467",0.747341113161222
"URGCP-MRPS24",0.74523666968735
"ATPAF1",0.744147152645081
"SERINC3",0.743533747223364
"TSPAN5",0.743
"NFKB1",0.741586609674191
"EPB41L4A",0.740545252661192
"UNC13A",0.738945447221897
"GLRB",0.737
"TYW5",0.736470914598763
"VCAN",0.735
"ANP32A",0.734921389216555
"OSGEPL1",0.734
"FHOD3",0.727357991591759
"STRN",0.725217147364909
"STXBP5L",0.725085577556523
"USP42",0.721127768958044
"SNX13",0.72106583826183
"STRN4",0.721
"ARMH3",0.718844307731443
"NLGN1",0.717290716491076
"ADAM22",0.714
"PPP6C",0.712699799262859
"LYRM1",0.712
"SELENOF",0.70998654997375
"METTL21A",0.707275289487175
"TTC28",0.706440094223477
"HUWE1",0.703453438623825
"HSD17B4",0.703
"AL157778.1",0.701
"TPGS2",0.701
"NEGR1",0.698410565925178
"MAGI3",0.698394716118026
"ATG2B",0.698
"GRIA1",0.695037733147906
"ELMO2",0.695
"ERRFI1",0.693466317482596
"DAAM1",0.693376336135545
"RCOR3",0.691
"EP300",0.689800454493685
"DCBLD2",0.688
"PABPC1",0.688
"HMBOX1",0.6875650273657
"MARCHF7",0.686963218830542
"PLXNB1",0.686659561963502
"URI1",0.685360973090718
"SNX24",0.685138555163359
"ZMIZ2",0.685
"ANKMY1",0.684
"DPY19L2P2",0.684
"OBSCN",0.683412464352562
"DPYSL5",0.682534243088967
"AC114316.1",0.681377679751427
"STOX2",0.67904429886791
"DGKZ",0.678
"EIF4A2",0.677
"NCOA6",0.676860273048346
"TMEM39A",0.676795413366809
"RAB2B",0.676706995588365
"SLC36A4",0.676047033275642
"SH2B3",0.675263188206095
"FUCA1",0.674191414823687
"HMGN1",0.671
"MTMR1",0.671
"MYO5A",0.670932996382837
"HNRNPH3",0.670846305234264
"ZNF618",0.67
"SULF1",0.669663423181214
"SGPL1",0.668823708418053
"INVS",0.668167164687825
"GOLGA4",0.667730352592241
"SMC6",0.667
"GBAP1",0.666
"NEK9",0.663862187224406
"TNFRSF19",0.663422097584247
"ARMCX6",0.663
"HDAC8",0.663
"LINGO2",0.662108356307173
"EBAG9",0.662
"TASOR2",0.661
"RASGRF1",0.659860304632899
"TAB2",0.659670030694887
"NCOR1",0.659
"HECTD4",0.657683943787871
"HEATR5B",0.656900747391771
"FAM207A",0.655755497881252
"SLC35E4",0.654548851078013
"PPP4R4",0.65449685585282
"RAPGEF1",0.653
"PCDH9",0.652225927600604
"ARID1A",0.650313444615323
"ATG4A",0.65
"KIF26B",0.647923220463008
"ATP6AP1L",0.6475246844024
"MARCHF1",0.646847117613813
"OSBPL6",0.646045426986165
"SLC7A6",0.646
"MZF1",0.643669571965232
"TXNL4B",0.641737197267888
"FAM81A",0.640031345341761
"ERBIN",0.639591444723363
"FGF12",0.637340748245365
"PLCD1",0.637336223780184
"MACF1",0.636744225444761
"ZNF585B",0.636547255056094
"CLK4",0.636
"CPSF4",0.636
"FAAP20",0.636
"FAM162A",0.633
