"","dPSI_iPSC_1949634.3uM"
"AC009022.1",0.999999999830344
"TASP1",0.999999999801612
"SNAP23",0.996
"PIEZO2",0.99
"POMT2",0.984
"HSD17B12",0.983076932068161
"WDR91",0.981
"C12orf4",0.980598892201808
"EVC",0.977605059304458
"ASAP1",0.974
"LMBRD2",0.973084496018112
"TMC3-AS1",0.97186392194681
"TNS3",0.965223998226392
"SOS2",0.963255770707679
"SEC22A",0.963255519887215
"PDIA5",0.961976421542514
"TANK",0.96050271440021
"RAF1",0.96
"PRPF31",0.956852856891208
"MTERF3",0.956279179971363
"MFN2",0.956
"VAV2",0.950051376209566
"SLC12A2",0.948903754141516
"CENPI",0.947398615151467
"ARL15",0.941
"CYB5B",0.938032424682943
"DDX42",0.937794546882896
"LNPK",0.934170368283831
"STXBP6",0.932656642624947
"APIP",0.923846056990872
"MATK",0.921927364488053
"TMEM214",0.91220630602662
"TRAF3",0.907934787073289
"MMS22L",0.903863212366903
"DUS4L",0.903418723969557
"GNS",0.902629626229759
"FBN2",0.902512785786489
"ATAD2B",0.902508672492902
"PPP1R26",0.901110858271968
"CDC37L1",0.899970696281579
"MAN1A2",0.897151901822154
"FOCAD",0.892811781931368
"GCFC2",0.885508631694804
"MED13L",0.883240099094911
"LRRC1",0.88137532325835
"KCNN2",0.881
"MLLT10",0.879482245120444
"SYN3",0.878160190631153
"ASCC3",0.876696672602653
"ABHD10",0.876
"PROSER1",0.871
"NEDD4",0.870453089916776
"ZFP82",0.8696089511336
"ANKHD1-EIF4EBP3",0.862242768172362
"BRWD3",0.861898896522312
"ALG13",0.861
"ODR4",0.860811871887197
"MEDAG",0.858489604653763
"ZMYM6",0.856592173492677
"RNF144A",0.85451217894077
"STAT1",0.854
"WDR27",0.849793222276456
"RICTOR",0.849058910858547
"PDXDC2P",0.845550452825729
"CHD9",0.843
"WDR90",0.839251627601257
"STX18-AS1",0.833143786435713
"NPY5R",0.83242677824646
"DNMBP",0.829631027078772
"IFT57",0.827176948279753
"ZNF208",0.82681360806658
"DIAPH3",0.8251374115176
"AL031315.1",0.820068171600571
"EXTL2",0.814
"NAV2",0.814
"WASHC4",0.810983051911918
"PDS5B",0.809302725825003
"SCO1",0.808
"ZNF138",0.807668823325358
"HDX",0.804
"CIP2A",0.801393759025628
"RAPGEF1",0.8
"BICRA",0.79875631508213
"FAM162A",0.798
"PDE7A",0.797
"FOXM1",0.793
"VPS29",0.793
"TIAM1",0.789690117686765
"TET1",0.787863495299215
"SKP1",0.784058559907844
"PDXDC1",0.77448579685831
"ZFYVE26",0.773611854036812
"HIKESHI",0.768
"SPIDR",0.762267704367282
"KCND2",0.761974190061319
"NCOA6",0.754
"HDAC8",0.753
"ZNF585B",0.752380374793505
"CACNB1",0.748642149560586
"AP002784.1",0.748475862546895
"VCAN",0.748
"RAB2B",0.747477000288564
"ARAP3",0.746991576112702
"CHEK2",0.746
"AC114490.2",0.738270666310485
"LYRM1",0.736
"EXOC6B",0.734
"DPH1",0.732295159778755
"ERGIC3",0.732
"SPPL2B",0.728
"NAA25",0.724753962029308
"OR2A20P",0.72
"DHFR",0.718482699540761
"GXYLT1",0.71695974878175
"GLCE",0.716686730495347
"LRRC42",0.713
"FAM174A",0.71
"C14orf132",0.703940383089478
"TARBP1",0.697
"RAP1A",0.69
"C1orf94",0.688098903290851
"LARS2",0.688
"PXK",0.686367820375916
"ANXA11",0.686
"KIF5C",0.684680081302497
"LINC00862",0.684092731351666
"NT5C2",0.683426067060889
"PRKDC",0.682758863218975
"CPT2",0.682513806139864
"AC104109.3",0.678644006384133
"CRYM",0.675359221246137
