,SH_BIO_2196772_10x_vs_SH_Risdiplam_10x,SH_BIO_2207180_10x_vs_SH_Risdiplam_10x,SH_BIO_2178782_10x_vs_SH_Risdiplam_10x,SH_BIO_2196895_10x_vs_SH_Risdiplam_10x,SH_BIO_2197306_10x_vs_SH_Risdiplam_10x,SH_BIO_2204984_10x_vs_SH_Risdiplam_10x,SH_BIO_2199562_10x_vs_SH_Risdiplam_10x,SH_BIO_2196772_3x_vs_SH_Risdiplam_3x,SH_BIO_2207180_3x_vs_SH_Risdiplam_3x,SH_BIO_2178782_3x_vs_SH_Risdiplam_3x,SH_BIO_2196895_3x_vs_SH_Risdiplam_3x,SH_BIO_2197306_3x_vs_SH_Risdiplam_3x,SH_BIO_2204984_3x_vs_SH_Risdiplam_3x,SH_BIO_2199562_3x_vs_SH_Risdiplam_3x,SH_BIO_2196772_3x_vs_SH_DMSO,SH_BIO_1949634_3x_vs_SH_DMSO,SH_BIO_2207180_3x_vs_SH_DMSO,SH_BIO_2178782_3x_vs_SH_DMSO,SH_BIO_2196895_3x_vs_SH_DMSO,SH_BIO_2197306_3x_vs_SH_DMSO,SH_BIO_2204984_3x_vs_SH_DMSO,SH_BIO_2199562_3x_vs_SH_DMSO,SH_BIO_2196772_10x_vs_SH_DMSO,SH_BIO_1949634_10x_vs_SH_DMSO,SH_BIO_2207180_10x_vs_SH_DMSO,SH_BIO_2178782_10x_vs_SH_DMSO,SH_BIO_2196895_10x_vs_SH_DMSO,SH_BIO_2197306_10x_vs_SH_DMSO,SH_BIO_2204984_10x_vs_SH_DMSO,SH_BIO_2199562_10x_vs_SH_DMSO
AL513477.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749837224527006,NA,NA,NA,NA,NA,NA
ECE1-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9514857656062,NA,NA,NA,NA,2.27115985842476,NA,NA,NA,NA,1.87834258414253,NA,NA
FUCA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.610701878926279,NA,NA,NA,NA,NA,NA,NA
RCC1,1.12835632058822,NA,1.01899886460863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26490519373077,NA,NA,1.15710873177051,NA,NA,NA,0.948177418370537
SNHG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.621779628844459,NA,NA,NA,NA,NA,NA,NA
AL513497.1,1.30993232169969,NA,1.28109117027279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63920236020332,NA,NA,1.60988580163377,NA,NA,NA,1.25586924519082
EIF2B3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.673664427101201,NA,NA,NA,NA,NA,NA,NA
NSUN4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.643629915478948,NA,NA,NA,NA,NA,NA,NA
ZNF326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804356540247385,NA,NA,0.679995441522737,NA,0.80246256760173,NA,NA
LRRC39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45382497959837,NA,NA,1.69715255421067,NA,NA,NA,NA
BCL2L15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60434382591575,NA,NA,1.6246362425027,NA,NA,NA,NA
OLFML3,NA,NA,NA,NA,NA,-0.716774111652146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.603195736702441,NA,NA,NA,NA,NA,-0.772535945495586,NA
MAN1A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.776832262087169,NA,NA,NA,NA,NA,NA,NA
LINGO4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0877915056395
AQP10,-0.715174574513602,NA,NA,NA,NA,-0.741204121979464,-0.741125326036908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL592078.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0282962086321,NA,NA,0.918986775596405,NA,0.704168607605599,0.839571937621786,1.16205289304783,1.38401715921918,1.05986990437955,0.771322644050379,1.04025000334211,1.23895954723397,1.25245762858005,1.43011820423498,1.2782033996233
HAPLN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8288418127729,NA,NA,NA,NA
PEAR1,NA,NA,NA,NA,NA,NA,-0.627748399702758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TNN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33846761881357,NA,NA,5.60321033813649,NA,NA,NA,6.47527771701014
NIBAN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677793828916597,NA,NA,NA,NA
KCNT2,NA,NA,NA,NA,NA,NA,NA,-1.09786987647989,-0.755056176682967,-1.30075350375603,NA,-1.0393425532795,-0.864102284572365,-1.28237966073895,-1.77927418965414,-0.658398464481399,-1.44835538008925,-1.97996077244941,-0.908873699637549,-1.73308837615601,-1.55608049408126,-1.95922030775604,-2.12941763771484,-1.75079533561388,-1.6891536954514,-1.96085929652513,-1.96865661233734,-2.06261941327206,-2.17978176058763,-2.05490892572569
IRF6,-0.821267680393993,NA,NA,NA,NA,-0.706041461919463,-0.872125906408469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.898661081519286,NA,NA,NA,NA,-0.68745675026585,-0.775985533058247,-0.948858931889253
CEP170,-1.05140612921112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22220215503995,NA,NA,NA,NA,NA,NA,-0.883575663179591
DNAJC27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622505477341184,NA,NA,NA,NA,NA,0.63741274261274,NA
