Sample,Sample_Group,Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
1,1,iPSC-BIO-1755497-10x-1.Aligned.sortedByCoord.out.bam,iPSC,Branaplam,iPSC-1755497-10x,TPM.iPSC.BIO.1755497.10x.1,iPSC_1755497_10x_1,Homo sapiens
2,1,iPSC-BIO-1755497-10x-3.Aligned.sortedByCoord.out.bam,iPSC,Branaplam,iPSC-1755497-10x,TPM.iPSC.BIO.1755497.10x.3,iPSC_1755497_10x_3,Homo sapiens
3,1,iPSC-BIO-1755497-10x-4.Aligned.sortedByCoord.out.bam,iPSC,Branaplam,iPSC-1755497-10x,TPM.iPSC.BIO.1755497.10x.4,iPSC_1755497_10x_4,Homo sapiens
4,2,iPSC-BIO-1755497-3x-2.Aligned.sortedByCoord.out.bam,iPSC,Branaplam,iPSC-1755497-3x,TPM.iPSC.BIO.1755497.3x.2,iPSC_1755497_3x_2,Homo sapiens
5,2,iPSC-BIO-1755497-3x-3.Aligned.sortedByCoord.out.bam,iPSC,Branaplam,iPSC-1755497-3x,TPM.iPSC.BIO.1755497.3x.3,iPSC_1755497_3x_3,Homo sapiens
6,2,iPSC-BIO-1755497-3x-4.Aligned.sortedByCoord.out.bam,iPSC,Branaplam,iPSC-1755497-3x,TPM.iPSC.BIO.1755497.3x.4,iPSC_1755497_3x_4,Homo sapiens
7,3,iPSC-BIO-2006152-10x-1.Aligned.sortedByCoord.out.bam,iPSC,2006152,iPSC-2006152-10x,TPM.iPSC.BIO.2006152.10x.1,iPSC_2006152_10x_1,Homo sapiens
8,3,iPSC-BIO-2006152-10x-3.Aligned.sortedByCoord.out.bam,iPSC,2006152,iPSC-2006152-10x,TPM.iPSC.BIO.2006152.10x.3,iPSC_2006152_10x_3,Homo sapiens
9,3,iPSC-BIO-2006152-10x-4.Aligned.sortedByCoord.out.bam,iPSC,2006152,iPSC-2006152-10x,TPM.iPSC.BIO.2006152.10x.4,iPSC_2006152_10x_4,Homo sapiens
10,4,iPSC-BIO-2006152-3x-2.Aligned.sortedByCoord.out.bam,iPSC,2006152,iPSC-2006152-3x,TPM.iPSC.BIO.2006152.3x.2,iPSC_2006152_3x_2,Homo sapiens
11,4,iPSC-BIO-2006152-3x-3.Aligned.sortedByCoord.out.bam,iPSC,2006152,iPSC-2006152-3x,TPM.iPSC.BIO.2006152.3x.3,iPSC_2006152_3x_3,Homo sapiens
12,4,iPSC-BIO-2006152-3x-4.Aligned.sortedByCoord.out.bam,iPSC,2006152,iPSC-2006152-3x,TPM.iPSC.BIO.2006152.3x.4,iPSC_2006152_3x_4,Homo sapiens
13,5,iPSC-BIO-2189972-10x-2.Aligned.sortedByCoord.out.bam,iPSC,2189972,iPSC-2189972-10x,TPM.iPSC.BIO.2189972.10x.2,iPSC_2189972_10x_2,Homo sapiens
14,5,iPSC-BIO-2189972-10x-3.Aligned.sortedByCoord.out.bam,iPSC,2189972,iPSC-2189972-10x,TPM.iPSC.BIO.2189972.10x.3,iPSC_2189972_10x_3,Homo sapiens
15,5,iPSC-BIO-2189972-10x-4.Aligned.sortedByCoord.out.bam,iPSC,2189972,iPSC-2189972-10x,TPM.iPSC.BIO.2189972.10x.4,iPSC_2189972_10x_4,Homo sapiens
16,6,iPSC-BIO-2189972-3x-2.Aligned.sortedByCoord.out.bam,iPSC,2189972,iPSC-2189972-3x,TPM.iPSC.BIO.2189972.3x.2,iPSC_2189972_3x_2,Homo sapiens
17,6,iPSC-BIO-2189972-3x-3.Aligned.sortedByCoord.out.bam,iPSC,2189972,iPSC-2189972-3x,TPM.iPSC.BIO.2189972.3x.3,iPSC_2189972_3x_3,Homo sapiens
18,6,iPSC-BIO-2189972-3x-4.Aligned.sortedByCoord.out.bam,iPSC,2189972,iPSC-2189972-3x,TPM.iPSC.BIO.2189972.3x.4,iPSC_2189972_3x_4,Homo sapiens
19,7,iPSC-BIO-2194943-10x-2.Aligned.sortedByCoord.out.bam,iPSC,2194943,iPSC-2194943-10x,TPM.iPSC.BIO.2194943.10x.2,iPSC_2194943_10x_2,Homo sapiens
20,7,iPSC-BIO-2194943-10x-3.Aligned.sortedByCoord.out.bam,iPSC,2194943,iPSC-2194943-10x,TPM.iPSC.BIO.2194943.10x.3,iPSC_2194943_10x_3,Homo sapiens
21,7,iPSC-BIO-2194943-10x-4.Aligned.sortedByCoord.out.bam,iPSC,2194943,iPSC-2194943-10x,TPM.iPSC.BIO.2194943.10x.4,iPSC_2194943_10x_4,Homo sapiens
22,8,iPSC-BIO-2194943-3x-2.Aligned.sortedByCoord.out.bam,iPSC,2194943,iPSC-2194943-3x,TPM.iPSC.BIO.2194943.3x.2,iPSC_2194943_3x_2,Homo sapiens
23,8,iPSC-BIO-2194943-3x-3.Aligned.sortedByCoord.out.bam,iPSC,2194943,iPSC-2194943-3x,TPM.iPSC.BIO.2194943.3x.3,iPSC_2194943_3x_3,Homo sapiens
