Genes,NGN2.BIO1755497.00040nM,NGN2.BIO2006152.00150nM,NGN2.BIO2059811.00870nM,NGN2.BIO2135644.01000nM,NGN2.BIO2136770.00300nM,NGN2.BIO1949634.03000nM,NGN2.BIO2060573.03000nM,NGN2.BIO2070692.01680nM
POMT2,0.96913843708812,0.975504423504004,1,1,0.98,0.993,0.982,0.981
WDR27,0.914454251852659,0.928516746254044,0.992228883702396,0.98014899976417,0.920692681078971,0.975629988710408,0.980565855661381,0.98830867775003
PDE7A,0.904526298933676,0.886708689310675,0.974358199929381,0.984,0.923323659079184,0.974257585503872,0.974357557572906,0.974358393861344
ARL15,0.923,0.942,0.947,0.953,0.942,0.949,0.958,0.943
GCFC2,0.84501202697351,0.91628651843036,0.964169189079494,0.977584742514373,0.975023069692059,0.913331273178164,0.970231987880331,0.968387470982543
SENP6,0.793408004153307,0.972912267961884,0.973660307500099,0.974102987835713,0.872213375086047,0.974313482470507,0.974220861317903,0.960067853376584
LARP7,0.893777311445829,0.877341142631846,0.955,0.957,0.931,0.958,0.953,0.95
RAF1,0.831823845742786,0.901631981946433,0.974358976890854,0.974358979613065,0.88083580198688,0.975,0.970088796055003,0.927030531498596
ASCC3,0.787729894209018,0.780430691681998,0.999999999874355,0.991506441087087,0.909056501695839,0.987385076773621,0.98798479305597,0.987386459767839
DENND1A,0.926569463067072,0.911558765410158,0.97195225752928,0.958206249156956,0.733040636489692,0.958520266243498,0.953699934648675,0.969189980071974
GALC,0.766202776493541,0.813048619647607,0.971445435601704,0.970315093379894,0.954,0.974050311890802,0.947303903448584,0.973246446362961
USP9Y,0.788938099840391,0.840030560828939,0.973300902069747,0.971263976360485,0.859060420528004,0.970731331014826,0.971114458829482,0.971594916410827
HDX,0.902952381676346,0.836,0.93866747712841,0.966808535831497,0.797613795731546,0.968149104249861,0.939186287188098,0.966788256625532
KDM6A,0.83082791090326,0.860242523401939,0.934247329429669,0.996,0.771481948852087,0.958950046536116,0.99,0.973134769158328
SLC25A17,0.854,0.698786405538309,0.99,0.954,0.918,0.969,0.947,0.98
C12orf4,0.832788694425748,0.825331864128536,0.994221658978051,0.989035667523936,0.861631546751541,0.995025935819875,0.915256682523876,0.871407244420618
KLHL1,0.945766438056069,0.966042074246511,0.972261578845816,0.973150193244352,0.388174171495802,0.971681563643655,0.9728864505934,0.972988129339561
LINC02210,0.848069558741701,0.820366385559607,0.935157525503275,0.971988782477597,0.715735183913683,0.923500218488843,0.941691396921496,0.998
TENT2,0.845613729050827,0.837112652278921,0.966215902974747,0.964186329688216,0.616398433061568,0.972365530062717,0.966480203824762,0.972373284144585
LIMCH1,0.884882903331059,0.893291107096989,0.896,0.895538776108348,0.861,0.896,0.896,0.893322761530111
ZMYM6,0.754090449973554,0.769271219838947,0.94827252574221,0.983968617851945,0.594751132461,0.969143759578939,0.975291817410322,0.982152776958487
PCDH10,0.52596402646059,0.706391685579159,0.99452316554203,0.988918724344645,0.793992291214718,0.996197042703382,0.94256387823657,0.967607586999025
STRN3,0.82,0.816,0.903,0.891,0.825,0.914,0.899,0.822
GXYLT1,0.88806156692783,0.765044505376789,0.99369505079885,0.992833129492731,0.471926169107996,0.98747766168534,0.861331806319219,0.855031147884512
TAF2,0.809428505594223,0.741350133318659,0.951717861963309,0.913117601229613,0.697902011713844,0.961835926821347,0.897054621103369,0.836672062571469
MLLT10,0.534257781953623,0.6992123020346,0.97225893996179,0.999999999893024,0.604669277105847,0.971988267618281,0.973883510470002,0.988734329648376
AXIN1,0.791270837917805,0.748523522540783,0.864377221794097,0.866618235440885,0.699,0.99,0.866275884935715,0.84963402636126
LYRM1,0.861,0.755,0.837,0.896,0.751,0.766,0.91,0.899
CLASP2,0.775957792936123,0.778978111240654,0.902275715439164,0.921707899365368,0.53095291372497,0.918959095713956,0.919625074847702,0.871120126221313
LRIG2,0.675931400099227,0.636833547634265,0.956925233193973,0.917906022937116,0.652026956374834,0.940741925281045,0.963023665948692,0.864606047392763
SERGEF,0.692,0.880966470826417,0.788,0.933862585963675,0.709,0.821,0.94802593299116,0.821
MFN2,0.421467005182172,0.637191623719404,0.966164502486863,0.965284819224343,0.832,0.965996552578613,0.85440310490054,0.941436716750625
ZFP82,0.704736540775787,0.678772188084199,0.920883663529579,0.920132707094306,0.58464303742693,0.936638807364813,0.910452962162454,0.909159933378101
DHFR,0.698925118401842,0.716480679772927,0.863527481834771,0.948872111607028,0.722743863864403,0.861023195002378,0.886549940181014,0.863006706123245
LRRC42,0.761894692024591,0.729,0.808,0.89101315758804,0.754,0.834688599537943,0.893804850863042,0.858864295838183
PDXDC1,0.783614844593679,0.90023422488187,0.909203264052407,0.597,0.879535328825591,0.579,0.901686993848456,0.950716220821233
STX18-AS1,0.816813379661156,0.803360743922791,0.850717602257865,0.841979091501667,0.6736060224112,0.854432111586596,0.811467943660948,0.847269745194452
ABCB8,0.788,0.723850130679647,0.773629639295943,0.875,0.745581363146058,0.758455943533744,0.861,0.914302423110581
CDC37L1,0.53247577868742,0.45705661616442,0.969859298281399,0.917924976467679,0.670909622204476,0.974276759015763,0.916492324894806,0.942772941235278
XRN2,0.785944143104131,0.948278679296642,0.88717255705678,0.186,0.789744887745757,0.977278673101108,0.821294293722549,0.953507812141007
CNGA3,0,0.813802591315326,0.961877789250684,0.960704474873709,0.910413467465673,0.961553220640294,0.761570408655287,0.940625456238487
RAPGEF1,0.463854168869283,0.68346696041119,0.885439004081433,0.882214165114641,0.794,0.878808371294172,0.828090144997741,0.88057244514312
NUP58,0.799,0.8,0.777,0.827601454307843,0.738,0.766,0.802,0.781
FGD4,0.431481861689023,0.422789302632812,0.938,0.987,0.554291885536025,0.992,0.942,0.971
DLGAP4,0.793929508517806,0.795241191932568,0.812719206350413,0.795792794105443,0.698,0.813685936766046,0.756748088954556,0.772015387130149
GARNL3,0.254533631255177,0.789310111648904,0.927793626051388,0.982926540031563,0.429187263207095,0.940298884319119,0.942050975952575,0.948812639522377
ERCC8,0.613045772237502,0.633269134164558,0.917066105247384,0.807804512167768,0.655944894850141,0.967438472748227,0.819555623383154,0.798549807532394
AC114490.2,0.618825635493322,0.632363273953032,0.909155036914513,0.972328339823686,0.19020649200466,0.938905341019208,0.962497082857543,0.973147130235745
CACNA1C,0.82358500577889,0.676648196010612,0.795446138484582,0.866544979095217,0.524901524648107,0.721080578407423,0.904,0.8842258518973
EXOC6B,0.476926843500022,0.766028812092503,0.801415954329122,0.914007645327529,0.621229181741537,0.883788431360951,0.869440330174807,0.861701441710489
TIAM1,0.585303377930691,0.712854815448199,0.813873178603596,0.861475072617067,0.566627595860176,0.848537975671643,0.935444000076848,0.828695537724588
PMS1,0.623099935882993,0.649530726275412,0.937104619020702,0.52,0.496,0.9703142098723,0.994040942702296,0.951696993919271
CACNB4,0.672975873336561,0.771293444522786,0.711459355191053,0.921469275054307,0.503,0.811335832577949,0.935478128577633,0.810126368210403
NKAIN2,0.422054038235435,0.689648686291858,0.903604883931328,0.849344234726321,0.849666269725441,0.929310440275388,0.717002741763821,0.772505247212231
SEC22A,0.175085999484744,0.482354039595256,0.974004246828839,0.964117888938264,0.77071005316242,0.981702055118407,0.812091676905676,0.968462436569253
SETX,0.631373303406603,0.757635744478529,0.755605711421668,0.897018954640468,0.521984264580089,0.817528260603723,0.881092498121584,0.841302443687116
APLP2,0.595547621455308,0.639613611164703,0.829236263254039,0.828837940135065,0.769,0.828,0.781932943621146,0.829853576452741
SREK1,0.600792415658796,0.685409155183155,0.669,0.686,0.648685522672734,0.882943197199924,0.972273875732839,0.929247391826809
DENND5A,0.242389963216566,0.564694094303244,0.992809614864976,0.898143745376867,0.808419311937376,0.979105582970422,0.718,0.830529806034748
EVC,0.926490362558138,0.90435418943105,0.969583430930518,0,0.322055725091007,0.968342910135061,0.969560356584332,0.969352780088299
PIGN,0,0.564538716846285,0.98283654047111,0.971312122096027,0.706241793698704,0.965055556537667,0.90753799077341,0.915559612647645
SCO1,0.325828611914518,0.456976039983228,0.932070612375855,0.955184177478753,0.43086988717669,0.999987687579686,0.959274715303978,0.939720482959505
SKP1,0.754633579133468,0.7974022501655,0.617642896673033,0.883653012775253,0.477,0.708929269692673,0.916761168567435,0.810590330661339
TPTEP2,0.258589968383557,0.643532196238382,0.847567844131927,0.886825620802744,0.841041568016995,0.929044141179297,0.754617788648201,0.779469160584946
FAM162A,0.280008325741449,0.513914409785867,0.928456719840669,0.96941251772467,0.775076538678552,0.894645372873333,0.665513394465661,0.868293941832753
TET1,0.563274819756876,0.779055154863787,0.970827999471532,0.971232639826262,0.399694324333776,0.845199646744383,0.516116251657666,0.83884445876596
GNAQ,0.483097747403178,0.442173423667008,0.852535947612076,0.95222596985172,0.386702427879139,0.87287291792715,0.937726008941981,0.907448759198952
CRYL1,0.306,0.67,0.568,0.997,0.715,0.901,0.997,0.662
CHRM2,0.778896767444465,0.576348904346093,0.954121033161486,0.83331219298274,0,0.95030762561163,0.845271708031967,0.866139799114676
HTT,0,0.975527143432461,0.972552744438576,0.289,0.606526300296961,0.999952568001765,0.96586759481409,0.97395527890961
SOS2,0,0.514353641051627,0.990815107066877,0.986326759677134,0.83128128728643,0.981158663433395,0.615962009795298,0.833656742072286
