Genes,iPSC.BIO2006152.00150nM,iPSC.BIO2059811.00870nM,iPSC.BIO2135644.01000nM,iPSC.BIO2136770.00300nM,iPSC.BIO1949634.03000nM,iPSC.BIO2060573.03000nM,iPSC.BIO2070692.01680nM
ASAP1,0.930360091100272,0.98870798777479,0.987,0.900286481931534,0.984495439678326,0.987760232709666,0.991
POMT2,0.798,0.975,0.974354576221756,0.893146266449586,0.984,0.953181438492255,0.96680228725586
C12orf4,0.909842765763971,0.96542786046983,0.943915690634869,0.865741813355085,0.980598892201808,0.940270012309315,0.929850189582201
ARL15,0.924750087054797,0.931226313259529,0.957,0.796009207040217,0.944561263671393,0.957,0.93368111052423
AC009022.1,0.8036194461417,0.941772903323133,0.97576619087277,0.721165266080667,0.999999999830344,0.967176879399474,0.967066990891069
SENP6,0.859949134127021,0.908456491550989,0.909283259831712,0.873639995684285,0.907458587991587,0.871759969189783,0.909165933253696
KDM6A,0.727955358655992,0.937630039508397,0.968998098922418,0.715431752351784,0.970009059871633,0.964045659919363,0.91344783364272
HDX,0.757,0.918116175140407,0.837,0.816,0.930874382812906,0.928819335167005,0.847
GRAMD2B,0.784254411135202,0.953525273099251,0.929890549806803,0.791076009926165,0.961044350084221,0.785629198015843,0.809183953778654
LARP7,0.662679457268107,0.946,0.936,0.725084972236698,0.965,0.83,0.872
TENT2,0.538938749426593,0.969529487944824,0.97307848876794,0.619167514748661,0.974349450218608,0.912115898449421,0.914729580892231
PDXDC2P,0.709432250138862,0.891637808701031,0.920033143236633,0.646636188507048,0.845550452825729,0.941173513445573,0.938650472286369
MADD,0.638867435304285,0.910528812793357,0.919802126227008,0.725189290562989,0.920839043778491,0.879,0.876794090898488
HTT,0.725180960750915,0.889911057485506,0.912510034131587,0.600904353350679,0.92059196676023,0.888248444966838,0.869271274000243
ANKRD18CP,0.546192064401732,0.98884600107474,0.993989315615135,0.900820400140923,0.962309885878852,0.512856218419641,0.888538987524284
CENPI,0.585838308019039,0.97435718659525,0.974100901069698,0.872684505014309,0.974337280724656,0.543534694143699,0.787290626267544
LYRM1,0.76,0.814,0.916,0.552,0.853,0.854,0.828
FBN2,0.638200586027739,0.931868219849019,0.893131291163944,0.635715505331456,0.902512785786489,0.71970876701578,0.757107273155457
NAV2,0.672517472913662,0.856713184464528,0.820363311325096,0.659382739597461,0.83344868990724,0.834660942078049,0.79538987538212
PDE7A,0.593295290976396,0.8478074584299,0.842807983728463,0.679780440865325,0.845649014782122,0.842696918005355,0.788206412856567
STX18-AS1,0.540998226964964,0.973608445022889,0.866866082870803,0.674716315365781,0.833143786435713,0.698194018244886,0.743117908118308
SAR1A,0.696726847152855,0.936995963553166,0.894850353506049,0.571958898728607,0.972512783979006,0.643172494727036,0.549822664255661
ERGIC3,0.709721957348568,0.757256060890906,0.862200977297592,0.409782264413932,0.83965483580567,0.871580526754473,0.776132965597087
RAB2B,0.589993441149713,0.792288455906686,0.797250661223877,0.572973795151501,0.778734407377322,0.882460038374895,0.784787995420206
ZFP82,0.531898386629335,0.822580949770245,0.847467038958416,0.510629151658368,0.8696089511336,0.790840059682089,0.770945475331824
FOXM1,0.630032416049753,0.826985622496754,0.806934023791406,0.731861056875637,0.827770994128291,0.569608281436312,0.719007081200877
DENND5A,0.349796924303802,0.909325091309226,0.917709499210471,0.582499853639609,0.991,0.459263768822216,0.89
SLC25A17,0.282234096202111,0.876,0.887,0.397739532401602,0.882,0.858,0.908
MATK,0.701375833971047,0.870380751993263,0.847961389850182,0.536862775124059,0.921927364488053,0.593528751435197,0.577177121770118
STRN3,0.673972124335488,0.725,0.72,0.711623720734742,0.73,0.725,0.725242459589413
TPTEP2,0.565278239266771,0.768247603378832,0.783111127918015,0.654361424263614,0.834788261705369,0.623305706009375,0.761022340205992
DCAF17,0.269266114513278,0.986877893171079,0.96360004727899,0.581055688917216,0.992335351641859,0.559583266720859,0.619732710494307
RAF1,0.501583639979392,0.898864954175524,0.844255045921321,0.425172720881562,0.97101583418827,0.671795000563553,0.608715734427732
LRRC42,0.555,0.678987496271286,0.811933970016237,0.516,0.798545535221103,0.776835310484487,0.700755919948589
FAM162A,0.384705801143666,0.887730085235244,0.862806557178717,0.61074869518306,0.847893486844295,0.479955534981826,0.692488754870873
TIAM1,0.567604078508242,0.690828299369285,0.891614145257368,0.445596659280561,0.789690117686765,0.756293167369658,0.612845131864255
LINC02210,0.530319038028799,0.575266309267076,0.84058286867784,0.511264642922326,0.651739641212633,0.857706593980787,0.778274147809613
VPS29,0.583044470346801,0.725774841835258,0.782282588397101,0.527952078451699,0.830358653066847,0.688049939945219,0.603091482543825
TARBP1,0.379928654146361,0.907515802231583,0.909919002883602,0.48160325343135,0.890044475491811,0.404946515369248,0.754957929337421
ABCB8,0.534941721430721,0.620134625008656,0.771131432022461,0.458145786523324,0.721983275393525,0.808638427393547,0.798744895232028
GALC,0,0.211,0.920021271231686,0.92045329756216,0.919557060112511,0.813698854267731,0.92010861589225
TAF2,0.441371305840421,0.940156027174211,0.68436743436399,0.381265619882305,0.999999983848474,0.601605964044394,0.599842502662664
WDR27,0.443783565817414,0.785085138118277,0.733978368339155,0.328796010216405,0.849793222276456,0.804569622593817,0.701288569098938
MFN2,0.346095406204791,0.967092510323684,0.884701369017177,0.54846136512879,0.974008200541358,0.298416711365627,0.618892929914215
ASCC3,0.156408117018544,0.906613519949754,0.747696075271233,0.321001655035659,0.888736420883493,0.794358418139192,0.818788512568227
EXOC6B,0.643362825594679,0.676159370684733,0.774950210913798,0.489560723648479,0.768920113558096,0.642817883709095,0.592264890883651
SPIDR,0.342570336841808,0.713665973157319,0.780068737502473,0.464504937656793,0.762267704367282,0.773527766666742,0.742216898437456
CLASP2,0.552851794744221,0.579654971564737,0.912487305187318,0.52909950904332,0.611355051280022,0.821,0.569822424352929
PDXDC1,0.420441818511867,0.574741709062117,0.836599261331226,0.476578703752898,0.77448579685831,0.737148118811183,0.748368956584805
AXIN1,0.403495086457278,0.816475504266275,0.751558020999127,0.39907600290999,0.839828369175395,0.729387266810154,0.626796537976214
EVC,0.362488181954067,0.884713607379086,0.835764277765878,0.322997129815485,0.977605059304458,0.724287071527237,0.458376954781974
EMSY,0.19420349740531,0.84847722297045,0.827704797075577,0.291783474951434,0.973877201773369,0.663103000333833,0.682808416113443
MAN1A2,0.219251757644855,0.920764106073938,0.88692826291489,0.326652181058792,0.92442496112692,0.643743802503902,0.554047723638065
BECN1,0.402705818506793,0.654619657002275,0.825650405976404,0.314948345591175,0.801734562212966,0.742206831534104,0.700099548228341
MMS22L,0.381716039029091,0.872795854335572,0.831127836776392,0.315395923523733,0.920834498532191,0.602248032632703,0.511580386633848
NIPA1,0.229228269232255,0.926,0.650549203627343,0.377141188619402,0.96,0.666,0.621
TNRC6A,0.366518194549096,0.869642293245187,0.76056708339173,0.32678940067806,0.971283254126173,0.611595533852506,0.508561132057039
ANXA11,0.336654948536671,0.661303947164069,0.811161402739305,0.319630018928858,0.782420826416909,0.740985732848678,0.716356795573235
