"","dPSI_NGN2.6527.3x"
"KCNT2",0.870785440311951
"AC009022.1",0.845738893076038
"PDXDC2P",0.827262566917518
"LIMCH1",0.715
"XRN2",0.64455586923512
"EVC",0.640674072369197
"ARL15",0.632
"EPHA4",0.600851801734645
"PDXDC1",0.582098044242054
"TSPAN4",0.552
"FSIP2",0.541
"STRN3",0.538
"CLEC2D",0.531816893230773
"WDR17",0.519
"SNTG1",0.490566208097687
"KLHL1",0.481964285217756
"WDR27",0.481425248875651
"LRRC42",0.475
"SYT3",0.473859113756967
"HTT",0.462234871763994
"TNFRSF25",0.459
"ASCC3",0.452320939305478
"ABCB8",0.444561503194778
"HAUS3",0.422264828707845
"LARP7",0.419
"AC007614.1",0.418
"ABCC8",0.404
"POMT2",0.402
"SKP1",0.402
"CCDC180",0.397
"SETX",0.392990601986444
"ZFP82",0.373389703768346
"PDE7A",0.369
"CYB5A",0.362
"STXBP5L",0.352763171899412
"DENND1A",0.346918409000038
"ADAM17",0.335671693111532
"CLN3",0.333
"AXIN1",0.331765386732526
"DLGAP4",0.329
"FHOD3",0.326975070172953
"SCLY",0.325
"RAF1",0.317
"TDP1",0.314
"LRIG2",0.309567038817021
"CTXN2",0.304
"TAF2",0.303
"TENT2",0.293211037458083
"ENAH",0.288225725558481
"SMG1P5",0.287724631050545
"KDM6A",0.266421134822816
"NUP58",0.256984866674453
