"","dPSI_iPSC.6152.10x"
"ARL15",0.968
"ASAP1",0.958
"ZNF37BP",0.921471580307522
"FHOD3",0.92077595441002
"C12orf4",0.858960180609832
"POMT2",0.856
"PDXDC2P",0.783419731785008
"HDX",0.766
"ZNF66",0.754726426862323
"AC009022.1",0.749804444075664
"GRAMD2B",0.741660972873971
"ADAMTS19",0.719661661843222
"MATK",0.713342052949013
"CENPI",0.676315320879166
"LYRM1",0.671
"HTT",0.660121616374787
"HSD17B4",0.656771174815704
"SENP6",0.645
"KDM6A",0.641
"EXOC6B",0.634
"MADD",0.625
"SKP1",0.620597136570765
"PDE7A",0.617
"ANKRD18CP",0.607857296998017
"FBN2",0.606624691214893
"WDR27",0.60651893297101
"ZNF730",0.605777768114738
"LRRC42",0.596
"ERGIC3",0.585
"ZFP82",0.580667814269905
"TPTEP2",0.559
"ATG2B",0.540960874265733
"MAN1B1",0.540800829374527
"LINC02210",0.530016065726408
"MYCBP2",0.53
"CA12",0.521426760680637
"C14orf132",0.520720168585846
"ABCB8",0.519776951240037
"CLASP2",0.517999062377728
"NAV2",0.516
"FOXM1",0.511
"TAF2",0.505
"AL157778.1",0.497372666391837
"BECN1",0.488181231953808
"DLGAP4",0.465864800570679
"TMEM214",0.46151387723424
"VPS29",0.452
"DENND5A",0.451425158526597
"GGCT",0.438
"SPIDR",0.432740758248314
"ZNF563",0.429879702717386
"AXIN1",0.429
"PDXDC1",0.428450072304722
"PPP1R26",0.425381734557895
"SS18L1",0.425063801104231
"ZMYM6",0.424526513994826
"APLP2",0.422
"TMEM52",0.42
"ADAL",0.414939068489868
"RPS10",0.410429197378713
"FAAP20",0.408
"RPGR",0.405
"ZNF138",0.404940654586499
"CACNA2D1",0.400035680628419
"MMS22L",0.397772160816683
"RAB2B",0.389740428202153
"MFN2",0.384554567010139
"MAN1A2",0.383344427595273
"DENND1A",0.382079374403936
"WNK1",0.378936717597193
"C11orf95",0.378
"RAP1A",0.374
"LINC00678",0.368701857728235
"NUP58",0.367
"TSPAN7",0.363
"TENT2",0.362896641649227
"DHFR",0.36125234252148
"ASAP2",0.352192308907692
"STRN",0.350406830697828
"TSC1",0.349
"XRN2",0.34776555068588
"CLN3",0.345
"TCF4",0.344728138557101
"ZNF618",0.344138841251558
"ANKRD13D",0.343
"CHD9",0.34037419409835
"PNISR",0.337889655511145
"FAM162A",0.333
"SLC25A17",0.331
"SNX14",0.331
"STRN3",0.33
"LARP7",0.325
"RAF1",0.322
"GOLT1B",0.318741925608075
"SIRT5",0.318383644737999
"KIAA1549L",0.31
"INTS3",0.309
"NIPA1",0.306530824347147
"ENAH",0.306303384778302
"RALGPS1",0.305600546085231
"CEP44",0.303
"TARBP1",0.302
"RAPGEF1",0.299387579692294
"TNRC6A",0.296924534330342
"ZMIZ2",0.293575577279636
"KIF21A",0.292745833180395
"CACNA1H",0.285218373264442
"APIP",0.283843234764064
"SAR1A",0.282436434658261
"MLLT10",0.275452648143379
"ANKHD1",0.266470946965521
"ODR4",0.26471706617049
"RCC1",0.2637986989611
"TIAM1",0.263593309527765
"ZNF43",0.260533005113858
"FAM174A",0.257688135425325
"VAV2",0.255984074875935
"ARMCX6",0.255213759165636
"SF3B3",0.254161132997817
"ARHGAP5",0.253990351090088
"PAXBP1",0.253854545644662
"IFT81",0.252842690374265
"ELP5",0.25145739004422
