,dPSI_iPSC-4088-10x,dPSI_iPSC-4088-3x,dPSI_iPSC-4090-10x,dPSI_iPSC-4090-3x,dPSI_iPSC-4714-10x,dPSI_iPSC-4714-3x,dPSI_iPSC-4741-10x,dPSI_iPSC-4741-3x,dPSI_iPSC-4748-10x,dPSI_iPSC-4748-3x,dPSI_iPSC-5420-10x,dPSI_iPSC-5420-3x,dPSI_iPSC-6152-10x,dPSI_iPSC-6152-3x,dPSI_iPSC-6527-10x,dPSI_iPSC-6527-3x,dPSI_iPSC-6866-10x,dPSI_iPSC-6866-3x,dPSI_iPSC-6960-10x,dPSI_iPSC-6960-3x,dPSI_iPSC-9701-10x,dPSI_iPSC-9701-3x,dPSI_NGN2-4088-10x,dPSI_NGN2-4088-3x,dPSI_NGN2-4090-10x,dPSI_NGN2-4090-3x,dPSI_NGN2-4714-10x,dPSI_NGN2-4714-3x,dPSI_NGN2-4741-10x,dPSI_NGN2-4741-3x,dPSI_NGN2-4748-10x,dPSI_NGN2-4748-3x,dPSI_NGN2-5420-10x,dPSI_NGN2-5420-3x,dPSI_NGN2-6152-10x,dPSI_NGN2-6152-3x,dPSI_NGN2-6527-10x,dPSI_NGN2-6527-3x,dPSI_NGN2-6866-10x,dPSI_NGN2-6866-3x,dPSI_NGN2-6960-10x,dPSI_NGN2-6960-3x,dPSI_NGN2-9701-10x,dPSI_NGN2-9701-3x,minpadj_maxPdPSI_iPSC-4088-10x,minpadj_maxPdPSI_iPSC-4088-3x,minpadj_maxPdPSI_iPSC-4090-10x,minpadj_maxPdPSI_iPSC-4090-3x,minpadj_maxPdPSI_iPSC-4714-10x,minpadj_maxPdPSI_iPSC-4714-3x,minpadj_maxPdPSI_iPSC-4741-10x,minpadj_maxPdPSI_iPSC-4741-3x,minpadj_maxPdPSI_iPSC-4748-10x,minpadj_maxPdPSI_iPSC-4748-3x,minpadj_maxPdPSI_iPSC-5420-10x,minpadj_maxPdPSI_iPSC-5420-3x,minpadj_maxPdPSI_iPSC-6152-10x,minpadj_maxPdPSI_iPSC-6152-3x,minpadj_maxPdPSI_iPSC-6527-10x,minpadj_maxPdPSI_iPSC-6527-3x,minpadj_maxPdPSI_iPSC-6866-10x,minpadj_maxPdPSI_iPSC-6866-3x,minpadj_maxPdPSI_iPSC-6960-10x,minpadj_maxPdPSI_iPSC-6960-3x,minpadj_maxPdPSI_iPSC-9701-10x,minpadj_maxPdPSI_iPSC-9701-3x,minpadj_maxPdPSI_NGN2-4088-10x,minpadj_maxPdPSI_NGN2-4088-3x,minpadj_maxPdPSI_NGN2-4090-10x,minpadj_maxPdPSI_NGN2-4090-3x,minpadj_maxPdPSI_NGN2-4714-10x,minpadj_maxPdPSI_NGN2-4714-3x,minpadj_maxPdPSI_NGN2-4741-10x,minpadj_maxPdPSI_NGN2-4741-3x,minpadj_maxPdPSI_NGN2-4748-10x,minpadj_maxPdPSI_NGN2-4748-3x,minpadj_maxPdPSI_NGN2-5420-10x,minpadj_maxPdPSI_NGN2-5420-3x,minpadj_maxPdPSI_NGN2-6152-10x,minpadj_maxPdPSI_NGN2-6152-3x,minpadj_maxPdPSI_NGN2-6527-10x,minpadj_maxPdPSI_NGN2-6527-3x,minpadj_maxPdPSI_NGN2-6866-10x,minpadj_maxPdPSI_NGN2-6866-3x,minpadj_maxPdPSI_NGN2-6960-10x,minpadj_maxPdPSI_NGN2-6960-3x,minpadj_maxPdPSI_NGN2-9701-10x,minpadj_maxPdPSI_NGN2-9701-3x
AASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28809274284789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00112160864962258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCB8,0.642342198726426,0.418575557745448,0.574693971386396,0.454522990451472,0.62880799082343,0.504081271130479,0.699593793484758,NA,0.575245744635373,0.272882635879762,0.537080066848649,0.28976503823326,0.488432001706278,0.297690911988873,0.509951464890925,NA,0.715030238333046,0.520638154296911,0.536772912927255,NA,0.499184981548876,NA,-0.879,-0.557,-0.783,-0.429,-0.857,-0.608,-0.85,-0.46,-0.815,-0.468,-0.774,-0.476,-0.662,-0.31,0.787404220118813,-0.411,-0.794,-0.586,-0.772,-0.399,-0.749,-0.542,8.55056727423966e-06,3.30106505712153e-05,1.4608386391326e-06,2.73683880650168e-05,2.5506465292512e-07,1.04894988874368e-05,3.64565597555654e-09,NA,5.87834030599559e-05,0.000377295691137098,4.98088092278583e-07,0.0133977879438152,1.4947943924034e-07,0.00029189844590909,3.08674779364444e-06,NA,1.94560080477024e-07,3.76626859337047e-07,1.23800014121297e-07,NA,2.43118121278636e-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2055686223241e-08,0,0,0,0,0,0,0
ABCC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.437190633293642,NA,NA,NA,-0.467632451875924,NA,0.579436281374209,NA,NA,NA,NA,0.292566983564245,NA,NA,NA,NA,-0.396635723553808,NA,0.636356824126749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988313814189898,NA,NA,NA,0.995230960160391,NA,0.999963274474379,NA,NA,NA,NA,0.0204834177289912,NA,NA,NA,NA,0.918818629014939,NA,6.69158378743088e-09,NA,NA,NA
ABHD10,NA,NA,NA,NA,NA,NA,-0.477,NA,NA,NA,NA,NA,0.265015492370312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265719412354312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,8.75376015899912e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05855259856003e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD17A,NA,NA,NA,NA,NA,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66983592886e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004890.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485393241877366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994712810661588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004951.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462354931459821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966202189607865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC008581.2,0.34965741465754,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374383501746996,NA,NA,NA,NA,NA,-0.404682127285545,NA,NA,NA,NA,NA,0.399358253201857,NA,NA,NA,0.579095549966859,NA,0.332687980742115,NA,0.25296388746456,NA,0.322864356436071,NA,0.34044557428197,NA,NA,NA,0.275931445396052,NA,0.451453944962651,NA,0.251737438895905,NA,4.43875986704039e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22816920619672e-09,NA,NA,NA,NA,NA,0.963650047587896,NA,NA,NA,NA,NA,0.000125937190014499,NA,NA,NA,3.36268153019608e-10,NA,5.04098625261052e-11,NA,7.96807671810911e-05,NA,3.65187063404166e-11,NA,1.64707879584733e-08,NA,NA,NA,0.00121047440512342,NA,4.17453556631155e-09,NA,1.74759404879783e-09,NA
AC009022.1,0.855302934584508,NA,0.378649195554262,NA,0.939739952834045,0.392281132158454,0.982520348279908,0.652848761455758,0.869287184247876,NA,0.542711130145369,NA,0.791731956272236,NA,0.720815274198089,NA,NA,0.513474304315321,NA,NA,0.638575741938359,NA,0.898470065321437,0.800338198285802,0.909489776918726,0.619567317544349,0.954595282256853,0.906192895028792,0.954687962143052,0.944719009448182,0.9228512851058,0.839768231885653,0.905236476209704,0.646505884459418,0.885523954871176,0.603543875493009,0.942217498608897,0.780330112335527,0.947535952371347,0.783881834100318,0.938579737165503,0.789560315101646,0.935967281777331,0.658664846298981,9.26650042698053e-10,NA,0.00445254069143416,NA,2.40252296364424e-08,0.0114942562808774,3.74303709422822e-05,0.000211176805066406,5.11963765484259e-06,NA,0.00699684817441228,NA,5.6754434568935e-11,NA,0.000265354705238808,NA,NA,0.00018014098228813,NA,NA,0.000399438636751081,NA,2.64030069960324e-09,5.6646586848861e-09,2.25362208667455e-10,0.000153825987645128,4.28138419916205e-12,8.55491435200425e-10,9.96646391532902e-12,8.97716357549965e-11,1.33419941751092e-10,4.53381361966725e-11,1.19040002497472e-08,0.00015134750193204,1.41676072702236e-09,9.05582470517538e-05,3.78773213711341e-09,2.05934312954885e-07,3.45387436875337e-09,1.26840161524883e-07,6.73920217371506e-11,3.69210230986403e-08,1.21618717922191e-09,3.07358038513547e-05
AC009533.1,0.548024831200259,NA,NA,NA,0.469584901853172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999606658590038,NA,NA,NA,0.989379234423666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
