,dPSI_TST11872_iPSC.BIO.2006152.45nM,dPSI_TST11872_iPSC.BIO.2006152.150nM,dPSI_TST11872_NGN2.BIO.2006152.45nM,dPSI_TST11872_NGN2.BIO.2006152.150nM
ARL15,0.720538851426466,0.856052552302831,0.733,0.906
C12orf4,0.664335025780151,0.909842765763971,0.558570597310026,0.825331864128536
POMT2,0.584,0.798,0.772,0.971
HDX,0.511238624060266,0.757,0.533721925356221,0.715
SKP1,0.503387649313856,0.5870624763278,0.434,0.476
MATK,0.446943218831285,0.701375833971047,0.327578241706292,0.575025458510517
SENP6,0.434519710420322,0.54,0.650996993885202,0.726
PDE7A,0.386,0.575,0.541,0.818
CLASP2,0.366883859749142,0.552851794744221,0.508213168791394,0.66704572316046
VPS29,0.366832778243315,0.434,0.30540327556983,0.545842189465368
KDM6A,0.362,0.62,0.39,0.772
LARP7,0.354,0.585,0.527,0.657
EXOC6B,0.339720002642673,0.554,0.339,0.731
LRRC42,0.329,0.555,0.592,0.729
STRN3,0.319,0.332,0.544,0.313
MYCBP2,0.307,0.465,0.317,0.312
ZFP82,0.304759169810112,0.531898386629335,0.428174832634584,0.635560062439291
NUP58,0.29075527647987,0.341,0.391,0.8
RAF1,0.270736278111926,0.355,0.592,0.865
TAF2,0.268831731144065,0.42,0.443,0.636
ABCB8,0.26436180254839,0.382,0.48,0.723
LINC02210,0.25144056146028,0.530319038028799,0.609505967818361,0.820366385559607
STRN,0.250716911848053,0.33140746422168,0.535513426341478,0.649497159733255
