,dPSI_iPSC.4088.3x,dPSI_iPSC.4088.10x,dPSI_NGN2.4088.3x,dPSI_NGN2.4088.10x
ARL15,0.911392579183407,0.959288535705024,0.671,0.79
POMT2,0.607,0.904,0.704,0.966
PDE7A,0.557,0.748,0.551,0.787
LARP7,0.518,0.813,0.601,0.696
SKP1,0.517314569360275,0.478149708051155,0.413,0.276746922544241
HTT,0.509831132345574,0.916843139868745,0.634017110282648,0.98080286386132
EXOC6B,0.503,0.784,0.415,0.766
ABCB8,0.494646657874468,0.745049655300523,0.524,0.849
LRRC42,0.491,0.666,0.554,0.703
KDM6A,0.482,0.778,0.394,0.687
LINC02210,0.480501868192717,0.824332212993909,0.592512886205755,0.334
CLASP2,0.447384079611039,0.971,0.511937808549755,0.748151749363081
ZFP82,0.419879671383535,0.727686097824184,0.477263613244945,0.695538562940406
VPS29,0.397,0.591,0.29374503729154,0.741
NUP58,0.371284793083398,0.501,0.379569792779768,0.6
STRN3,0.369,0.363,0.312,0.323
FAAP20,0.361025827725341,0.338,0.323,0.419
TAF2,0.351,0.546,0.45,0.782
GXYLT1,0.34664078751994,0.560215755473797,0.647575668266049,0.960739316433452
PNISR,0.315623815681124,0.536738479068389,0.440118086028048,0.696618114624212
AXIN1,0.311288231271635,0.536,0.306,0.3
DLGAP4,0.307137361435869,0.324,0.477,0.635
