,Row.names,dPSI_RG7916_10x,dPSI_RG7916_03x,dPSI_LMI070_10x,dPSI_LMI070_03x
1,PDXDC2P,0.973107071583219,0.826747386531785,0.972457370468718,0.972808117709838
2,RP11-419C5.1,0.973147084094473,0.823670887476304,0.972441415428718,0.972765320664029
3,POMT2,0.962,0.460619954602498,0.971,0.956
4,STRN3,0.842,0.499,0.87,0.844
5,LARP7,0.862,0.455,0.954,0.934
6,MFN2,0.799,0.305,0.389,0.395
7,UBAP2L,0.786145233798274,0.316381630501245,0.467136866411075,0.443633539175553
8,RAPGEF1,0.71,0.352,0.387,0.349
9,SMN2,0.523,0.523,0.517,0.513
10,SNAP23,0.794,0.213,0.355,0.379
11,ASCC3,0.695500401664458,0.182709523761203,0.47944348661099,0.165006258043424
12,VPS29,0.55,0.318,0.838,0.791
13,COPS7B,0.615,0.252,0.495,0.438
14,TRIM65,0.525,0.313,0.525,0.525
15,DDX42,0.612397195391049,0.188200088425781,0.784825057224881,0.827833030527983
18,FOXM1,0.464455496020565,0.274398508083222,0.309370517071495,0.313948008174803
19,RAP1A,0.44,0.293,0.292,0.368
20,SENP6,0.363,0.275,0.555,0.547
21,SPATA18,0.464,0.159,0.165,0.16
22,CECR7,0.331307763658469,0.281873587097005,0,0.319379644171016
23,DENND5A,0.494,0.106,0.206,0.188
24,APLP2,0.396,0.199,0.341,0.339
25,C19orf24,0.308369037598795,0.261958829596978,0.234696656910433,0
26,FAM162A,0.466,0.102311958137809,0.13,0.135
28,VAV2,0.38489762866664,0.172990112622121,0.138263937714204,0
29,SREK1,0.388,0.159,0.844,0.79
31,FBN2,0.365461785764917,0.13565912527904,0.184294390973373,0.190675510578742
32,UBE2V1,0.258,0.219,0.232,0.235
34,DGKA,0.348,0.123,0.41,0.434
35,TNS3,0.353431963644433,0.116996996084405,0.228711975546279,0
36,EVC,0.317318119132409,0.149942933425893,0.474409975952514,0.511829497216601
37,PPHLN1,0.269,0.18,0.224,0.226
38,GGCT,0.225,0.216,0.225,0.225
39,EXTL2,0.241339029950615,0.194194488088476,0,0
40,ADAMTS14,0.216,0.216,0,0
41,GAPVD1,0.278827932117031,0.147568692824271,0.183296818456492,0.165774982815062
43,FAM174A,0.245889595398015,0.176829310993042,0.206754535549078,0.166728819452601
44,FBXO31,0.184129933930023,0.234933960100108,0.203332129965662,0.325846065295373
46,TARBP1,0.209,0.189,0.197694987049286,0.129149384574284
48,NGF,0.173924978103382,0.215680513449987,0.148841958331086,0.149614622924514
49,C11orf73,0.275,0.104,0.188,0.201
52,APIP,0.187727078499471,0.178975926730905,0.146039587672291,0.169213775669947
53,PAPD4,0.239905666433024,0.103521781423946,0.308035240105045,0.408188936624469
57,PAN2,0.162,0.161,0.176,0.16
58,MYPN,0,0.322,0.235,0
59,ZNF326,0.132,0.187,0,0.198
60,GRAMD3,0.198,0.115793891226234,0.146976474263617,0.139082770448111
64,WIZ,0,0.295,0.295,0
65,FAHD2A,0.15,0.144,0,0.165
67,FAM198B,0.118,0.16497915121763,0.523680074295252,0.509291530061905
