,dPSI_TST11872_NGN2.BIO.2006152.45nM,dPSI_TST11872_NGN2.BIO.2006152.150nM
LIMCH1,0.848,0.883
POMT2,0.772,0.971
HTT,0.736410802978668,0.314
ARL15,0.733,0.906
GCFC2,0.726673690562951,0.91628651843036
WDR27,0.654133809959983,0.753444390425295
SENP6,0.650996993885202,0.726
DENND1A,0.620750310236184,0.911558765410158
LINC02210,0.609505967818361,0.820366385559607
PDXDC1,0.593902347677396,0.90023422488187
LRRC42,0.592,0.729
RAF1,0.592,0.865
CNGA3,0.571497777266498,0.813802591315326
XRN2,0.568315591937423,0.928090521538434
EVC,0.565231169591333,0.904354189431049
C12orf4,0.558570597310026,0.825331864128536
STRN3,0.544,0.313
PDE7A,0.541,0.818
STX18-AS1,0.539588458848038,0.803360743922791
STRN,0.535513426341478,0.649497159733255
HDX,0.533721925356221,0.715
LARP7,0.527,0.657
ASCC3,0.516128577148954,0.742025573786927
CLASP2,0.508213168791394,0.66704572316046
CACNB4,0.503,0.313
CHROMR,0.494,0.494
INO80E,0.483,0.339
ABCB8,0.48,0.723
WDR17,0.474,0.518
RAPGEF1,0.466,0.536
GXYLT1,0.464954019239359,0.765044505376789
SULF1,0.464661288116576,0.506272188778555
DLGAP4,0.459,0.654
NKAIN2,0.455656830254495,0.689648686291858
MELTF,0.452420104931301,0.663487098610555
TAF2,0.443,0.636
TIAM1,0.442312838970498,0.685305687077562
SKP1,0.434,0.476
DHFR,0.433083047517275,0.716480679772927
RBBP8,0.431526522920421,0.637032757093315
ZMYM6,0.429320166160656,0.769271219838947
ZFP82,0.428174832634584,0.635560062439291
AXIN1,0.415,0.714
HSD17B4,0.401866964908478,0.282165220845989
NUP58,0.391,0.8
KDM6A,0.39,0.772
GGCT,0.388556123656635,0.301
SETX,0.379189308361628,0.757635744478529
AL031315.1,0.378690927677992,0.611054396099911
GALC,0.373,0.78
SNHG15,0.373,0.367
TSPAN7,0.372447775562998,0.326
LRIG2,0.369327567100596,0.636833547634265
CACNA1H,0.366,0.314
SLC7A6,0.36563638210185,0.38
LYRM1,0.359,0.584
KLHL1,0.357846671842085,0.446036378408508
APIP,0.355489123898135,0.530292944664261
ENAH,0.352904172261174,0.481056138117116
AC138894.1,0.351,0.397
APLP2,0.351,0.632
C14orf132,0.346705403202711,0.469
CLN3,0.346,0.394
SERGEF,0.342,0.43
TENT2,0.341098549588275,0.372570602202433
EXOC6B,0.339,0.731
PCDH10,0.331126597808086,0.706391685579159
MATK,0.327578241706292,0.575025458510517
SLC25A17,0.319,0.348
ARMH3,0.317702574770545,0.514773195559418
MYCBP2,0.317,0.312
PNISR,0.31061832266889,0.540614713983636
VPS29,0.30540327556983,0.545842189465368
CSTF3,0.303553395551188,0.479817809714593
PRUNE2,0.302,0.369
FAAP20,0.301,0.336
ADAM17,0.288043701658911,0.405
RCC1,0.285329997766163,0.461574248126798
WNK1,0.276698983890683,0.5527672256077
TMEM50B,0.259943309454444,0.399
DENND5A,0.258477247921269,0.407
