,dPSI_iPSC.9701.3x,dPSI_iPSC.9701.10x
ARL15,0.75242377275375,0.949564614663541
STRN3,0.555,0.418
SKP1,0.525610462291676,0.528773231980173
PHB2,0.520097002724963,0.52006143535095
GRAMD2B,0.5135437158143,0.696935316894519
LARP7,0.509,0.796
POMT2,0.487,0.851
PDE7A,0.474,0.655
HDX,0.448592409226945,0.798
AHI1,0.4390697301935,0.453444167399953
ASAP1,0.428,0.892
MYCBP2,0.402,0.502
MADD,0.4,0.388
LRRC42,0.395,0.545
HTT,0.390239645839322,0.939743360550953
VPS29,0.383050480590803,0.499
EXOC6B,0.376257575889334,0.501
IGFLR1,0.356,0.394
PYCR1,0.327695305103605,0.313327892309526
KDM6A,0.306,0.647
NAV2,0.304,0.56
AXIN1,0.271325566002508,0.476
TAF2,0.269354882656434,0.471
ZFP82,0.267730845472732,0.660821852378767
SENP6,0.257567175433413,0.480666908744414
