dPSI_TST11872_iPSC.BIO.2006152.45nM,dPSI_iPSC.6152.3x,dPSI_TST11872_iPSC.BIO.2006152.150nM,dPSI_iPSC.6152.10x,dPSI_TST11872_NGN2.BIO.2006152.45nM,dPSI_NGN2.6152.3x,dPSI_TST11872_NGN2.BIO.2006152.150nM,dPSI_NGN2.6152.10x
0.359876037588846,0.667107268604948,0.8036194461417,0.968,0.48,0.453573895783474,0.723,0.615
0.720538851426466,0.263998259994956,0.856052552302831,0.958,0.288043701658911,0.734158043222878,0.405,0.881782364882515
0.486,0.309,0.867,0.766,0.733,0.319,0.906,0.928
0.664335025780151,0.351,0.909842765763971,0.641,0.317702574770545,0.403151206358041,0.514773195559418,0.593
0.366883859749142,0.296365418322937,0.552851794744221,0.325,0.516128577148954,0.588,0.742025573786927,0.828576539684057
0.344984784343102,0.355,0.554,0.596,0.415,0.325,0.714,0.372019455393617
0.339720002642673,0.367,0.554,0.625,0.558570597310026,0.308,0.825331864128536,0.423
0.378628189910238,0.491,0.544,0.516,0.508213168791394,0.304,0.66704572316046,0.841
0.608701939651363,0.475500179106231,0.418,0.617,0.620750310236184,0.254133021405468,0.911558765410158,0.665
0.511238624060266,0.584729771484126,0.757,0.856,0.433083047517275,0.467006459041868,0.716480679772927,0.723
0.362,0.381,0.62,0.33,0.459,0.308,0.654,0.397
0.354,0.300268487704534,0.585,0.452,0.339,0.440749647727287,0.731,0.898369249623993
0.25144056146028,0.50327666754883,0.530319038028799,0.580667814269905,0.301,0.371,0.336,0.938
0.329,0.376657939715572,0.555,0.634,0.464954019239359,0.420791698018678,0.765044505376789,0.725
0.302,0.373625391163155,0.576,0.645,0.533721925356221,0.308,0.715,0.444
0.312,0.512465709763022,0.616,0.620597136570765,0.736410802978668,0.399,0.314,0.317
0.386,0.358,0.575,0.517999062377728,0.39,0.260433850097285,0.772,0.583
0.584,0.341,0.798,0.530016065726408,0.357846671842085,0.541,0.446036378408508,0.522736524735708
0.270736278111926,0.491950375709931,0.355,0.53,0.527,0.388406340135738,0.657,0.477
0.434519710420322,0.321779294591479,0.54,0.741660972873971,0.848,0.603288411142975,0.883,0.859889064091906
0.319,0.463,0.332,0.858960180609832,0.609505967818361,0.438565198795793,0.820366385559607,0.383
0.268831731144065,0.285784834112786,0.42,0.585,0.592,0.521,0.729,0.881757257010398
0.351787572600944,0.356355420587645,0.478,0.465864800570679,0.452420104931301,0.842545777742289,0.663487098610555,0.854226699872746
0.366832778243315,0.349256990331551,0.434,0.559,0.317,0.258655934262757,0.312,0.628
0.304759169810112,0.313,0.531898386629335,0.511,0.541,0.253760254793944,0.818,0.609369323251885
0.274798869325599,0.380226794615918,0.322253326659299,0.31,0.772,0.416,0.971,0.583007939660401
0.26436180254839,0.35,0.382,0.713342052949013,0.592,0.706,0.865,0.680253979017282
0.27137540233174,0.373,0.796548229371506,NA,0.431526522920421,0.416,0.637032757093315,0.751645041121796
