"","1st_exp_iPSC.6152.3x","2nd_exp_iPSC.6152.3x"
"ARL15",0.720538851426466,0.667107268604948
"PHB2",0.476346732158169,0.516889175692161
"GRAMD2B",0.608701939651363,0.349256990331551
"SENP6",0.434519710420322,0.475500179106231
"TPTEP2",0.351787572600944,0.491950375709931
"MATK",0.446943218831285,0.380226794615918
"FOXM1",0.378628189910238,0.356355420587645
"EXOC6B",0.339720002642673,0.373625391163155
"VPS29",0.366832778243315,0.321779294591479
"ERGIC3",0.344984784343102,0.285784834112786
"ZFP82",0.304759169810112,0.300268487704534
"LINC02210",0.25144056146028,0.296365418322937
"C12orf4",0.664335025780151,-0.50327666754883
"HDX",-0.511238624060266,0.512465709763022
"MYCBP2",-0.307,-0.341
"MADD",-0.302,-0.358
"NAV2",-0.312,-0.35
"KDM6A",-0.362,-0.309
"LRRC42",-0.329,-0.355
"STRN3",-0.319,-0.381
"LARP7",-0.354,-0.351
"CLASP2",-0.366883859749142,-0.376657939715572
"PDE7A",-0.386,-0.367
"ASAP1",-0.486,-0.463
"POMT2",-0.584,-0.491
"SKP1",-0.503387649313856,-0.584729771484126
"ABCB8",0.26436180254839,NA
"AC009022.1",0.359876037588846,NA
"AC104109.3",-0.523033017444433,NA
"ADAMTS19",0.27137540233174,NA
"AKAP8L",NA,0.373
"CFAP410",NA,0.313
"CHROMR",NA,-0.704
"CYB5R2",-0.455,NA
"DLGAP4",NA,0.263998259994956
"EGLN1",0.319,NA
"FBN2",0.290189086903792,NA
"KCNT2",0.333802463607929,NA
"KIAA1549L",NA,-0.313
"NUP58",0.29075527647987,NA
"POLG2",-0.311,NA
"PRR13",0.307388737222857,NA
"RAF1",0.270736278111926,NA
"SAR1A",-0.520978717546436,NA
"SERHL2",-0.334,NA
"ST3GAL1",0.34,NA
"STRN",0.250716911848053,NA
"SYTL2",NA,0.304
"TAF2",0.268831731144065,NA
"ZNF618",0.274798869325599,NA
