,1st_exp_iPSC.0573.10x,1st_exp_iPSC.0573.3x,1st_exp_iPSC.0692.10x,1st_exp_iPSC.0692.3x,1st_exp_iPSC.0884.10x,1st_exp_iPSC.0884.3x,1st_exp_iPSC.5497.10x,1st_exp_iPSC.5497.3x,1st_exp_iPSC.5644.10x,1st_exp_iPSC.5644.3x,1st_exp_iPSC.6152.10x,1st_exp_iPSC.6152.3x,1st_exp_iPSC.6770.10x,1st_exp_iPSC.6770.3x,1st_exp_iPSC.9634.10x,1st_exp_iPSC.9634.3x,1st_exp_iPSC.9811.10x,1st_exp_iPSC.9811.3x,1st_exp_NGN2.0573.10x,1st_exp_NGN2.0573.3x,1st_exp_NGN2.0692.10x,1st_exp_NGN2.0692.3x,1st_exp_NGN2.0884.10x,1st_exp_NGN2.0884.3x,1st_exp_NGN2.5497.10x,1st_exp_NGN2.5497.3x,1st_exp_NGN2.5644.10x,1st_exp_NGN2.5644.3x,1st_exp_NGN2.6152.10x,1st_exp_NGN2.6152.3x,1st_exp_NGN2.6770.10x,1st_exp_NGN2.6770.3x,1st_exp_NGN2.9634.10x,1st_exp_NGN2.9634.3x,1st_exp_NGN2.9811.10x,1st_exp_NGN2.9811.3x,2nd_exp_iPSC.4088.10x,2nd_exp_iPSC.4088.3x,2nd_exp_iPSC.4090.10x,2nd_exp_iPSC.4090.3x,2nd_exp_iPSC.4714.10x,2nd_exp_iPSC.4714.3x,2nd_exp_iPSC.4741.10x,2nd_exp_iPSC.4741.3x,2nd_exp_iPSC.4748.10x,2nd_exp_iPSC.4748.3x,2nd_exp_iPSC.5420.10x,2nd_exp_iPSC.5420.3x,2nd_exp_iPSC.6152.10x,2nd_exp_iPSC.6152.3x,2nd_exp_iPSC.6527.10x,2nd_exp_iPSC.6527.3x,2nd_exp_iPSC.6866.10x,2nd_exp_iPSC.6866.3x,2nd_exp_iPSC.6960.10x,2nd_exp_iPSC.6960.3x,2nd_exp_iPSC.9701.10x,2nd_exp_iPSC.9701.3x,2nd_exp_NGN2.4088.10x,2nd_exp_NGN2.4088.3x,2nd_exp_NGN2.4090.10x,2nd_exp_NGN2.4090.3x,2nd_exp_NGN2.4714.10x,2nd_exp_NGN2.4714.3x,2nd_exp_NGN2.4741.10x,2nd_exp_NGN2.4741.3x,2nd_exp_NGN2.4748.10x,2nd_exp_NGN2.4748.3x,2nd_exp_NGN2.5420.10x,2nd_exp_NGN2.5420.3x,2nd_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.3x,2nd_exp_NGN2.6527.10x,2nd_exp_NGN2.6527.3x,2nd_exp_NGN2.6866.10x,2nd_exp_NGN2.6866.3x,2nd_exp_NGN2.6960.10x,2nd_exp_NGN2.6960.3x,2nd_exp_NGN2.9701.10x,2nd_exp_NGN2.9701.3x
ARL15,0.957,0.957,0.31895629753807,0.878792416269338,0.898902084985001,0.957,0.804041236481389,0.490006503437198,0.957,0.842,0.856052552302831,0.720538851426466,0.908,0.796009207040217,0.349,0.941,0.92,0.715699612379533,0.958,0.942,0.942,0.942,0.958,0.958,0.831,0.601,0.942,0.92,0.906,0.733,0.942,0.877,0.958,0.942,0.942,0.764,0.959288535705024,0.911392579183407,0.953826225167302,0.780424051599279,0.970857987971692,0.84629660708486,0.945600496457089,0.749264941013085,0.955148346818826,0.807628348061853,0.970588146505122,0.913833870601184,0.968,0.667107268604948,0.920962420435892,0.791351153181068,0.985,0.87813040860126,0.958850447811429,0.599247133670562,0.949564614663541,0.75242377275375,0.79,0.671,0.886,0.758,0.79,0.73,0.954,0.62,0.79,0.696,0.79,0.684,0.928,0.588,0.838,0.632,0.79,0.685,0.79,0.68,0.919,0.67
POMT2,0.976,0.947,0.969,0.957,0.981,0.972,0.822,0.438,0.974,0.884,0.798,0.584,0.97,0.884,0.982,0.984,0.975,0.95,1,0.982,0.993,0.981,1,1,0.966,0.803,1,0.994,0.971,0.772,1,0.98,0.991,0.993,1,1,0.904,0.607,0.829,0.347,0.959,0.631,0.956,0.676,0.876,0.391,0.876,0.583,0.856,0.491,0.756,0.351570960525668,0.969,0.759,0.877,0.409,0.851,0.487,0.966,0.704,0.947,0.438,0.979,0.763,0.981,0.833,0.93,0.506,0.928,0.458,0.938,0.439,0.915,0.402,0.901,0.538,0.946,0.526,0.903,0.432
PDE7A,0.794,0.777,0.804,0.756,0.8,0.794,0.53,0.323882906392849,0.783,0.687,0.575,0.386,0.785,0.674,0.804,0.797,0.794,0.733,0.986,0.964,0.979,0.974,0.986,0.983,0.852,0.554,0.984,0.883,0.818,0.541,0.972,0.887,0.979,0.973,0.963,0.939,0.748,0.557,0.782,0.514,0.794,0.564,0.777,0.439,0.735,0.489,0.652,0.392,0.617,0.367,0.646,0.391,0.757,0.606,0.717,0.455,0.655,0.474,0.787,0.551,0.838,0.559,0.89,0.646,0.846,0.484,0.879,0.572,0.671,0.322,0.723,0.316,0.784,0.369,0.774,0.4,0.878,0.498,0.742,0.427
HDX,0.804,0.804,0.804,0.804,0.804,0.804,0.696,0.367074410494456,0.804,0.766,0.757,0.511238624060266,0.759,0.742,0.804,0.804,0.795,0.702,0.8,0.827,0.827,0.81,0.805,0.827,0.752,0.594,0.827,0.74,0.715,0.533721925356221,0.819,0.775,0.781,0.827,0.818,0.756,0.827,0.658,0.737,0.569453469250471,0.817,0.642,0.831,0.560212842413155,0.815,0.666,0.746608011106567,0.556518869012508,0.766,0.512465709763022,0.785,0.574013273694558,0.839,0.623,0.801,0.478597194293215,0.798,0.448592409226945,0.837,0,0.902,0,0.916,0.725,0.837,0,0.864,0.250406689685805,0.797,0,0.765,0,0.704,0,0.768,0,0.81,0,0.817,0
KDM6A,0.94,0.907,0.952,0.868,0.368,0.949,0.595,0.417434005640652,0.929,0.69,0.62,0.362,0.885,0.626,0.64,0.38,0.883,0.55,0.982,0.99,0.996,0.888,0.99,0.996,0.74,0.385,0.996,0.557,0.772,0.39,0.983,0.633,0.996,0.939,0.903,0.535,0.778,0.482,0.771,0.358,0.803,0.424,0.816,0.415313240919058,0.739,0.386,0.641,0.359,0.641,0.309,0.587,0.446351407368065,0.86,0.571,0.691,0.35,0.647,0.306,0.687,0.394,0.585,0.357635701354207,0.858,0.368,0.773,0.450828172177182,0.769,0.454242834586916,0.545,0.317,0.628,0.258655934262757,0.62,0.266421134822816,0.657,0.319,0.825,0.354,0.547,0
AC009022.1,0.981297748580173,0.967176879399474,0.902461567533717,0.967066990891069,0.999999997705372,0.971768335556859,0.533236710134229,0,0.97576619087277,0.775375810005323,0.8036194461417,0.359876037588846,0.930203625471647,0.721165266080667,0.474081194171392,0.999999999830344,0.941772903323133,0.92044587900498,0.950343814701542,0,0.974161783971787,0,0.962176164400631,0.961931752737978,0,0,0,0.885318111612239,0.938839353956395,0,0.640560332458177,0.939564553442483,0,0,0,0.920619840965114,0.870979976327251,0,0.481420023050938,0,0.923850662743929,0.403534495150844,0.981927701496271,0.665285263316869,0.87162857120598,0,0.747558740426769,0,0.749804444075664,0,0.724570641463041,0,0,0.558125988892819,0,0,0.653464914134216,0,0.904107553067634,0.803937365959906,0.89580741546899,0.754741069862738,0.933761415221842,0.884331773955042,0.933754615705187,0.922387927732302,0.900348674886039,0.814461100486324,0.920250104495729,0.758338969116793,0.881782364882515,0.734158043222878,0.921853255785035,0.845738893076038,0.934261058216331,0.800889357009951,0.911328096502865,0.784182164897101,0.913804609182256,0.748635199605497
C12orf4,0.9805950633281,0.940270012309315,0.993364560520224,0.929850189582201,0.98185881993161,0.975806828035817,0.842031423276098,0.521187328695214,0.943915690634869,0.786528238759966,0.909842765763971,0.664335025780151,0.980626927527562,0.865741813355085,0.980573103528063,0.980598892201808,0.96542786046983,0.947675327938415,0.989578802430864,0.915256682523876,1,0.871407244420618,0.999999997175664,0.999994818051963,0.832788694425748,0.419325106285347,0.989035667523936,0.6798342288505,0.825331864128536,0.558570597310026,0.999998026080092,0.813021700473293,0.99999997694614,0.995025935819875,0.994221658978051,0.923070801462847,0.874314234261863,0.452770564342576,0.506804165169711,0,0.804873459788577,0,0.973681067441338,0.737860228097442,0.690013027995542,0,0.943235551474922,0.588815003099152,0.858960180609832,0.50327666754883,0.635612201572459,0,0.959274086047803,0.588632220998781,0.658821176022036,0,0.760719982326967,0,0.735451505209798,0,0,0,0.691631123029626,0,0.918070084396356,0.270881334139115,0,0,0.742516246581984,0,0.756930028729205,0,0.288973637310568,0,0.65382194697156,0,0.53465872199586,0,0.642270305384478,0
LRRC42,0.725,0.718,0.746,0.697,0.741,0.735,0.513,0,0.722,0.569,0.555,0.329,0.703,0.516,0.746,0.713,0.663,0.455,0.831,0.821,0.831,0.82,0.828,0.821,0.707,0.558,0.817,0.736,0.729,0.592,0.819,0.754,0.824,0.794,0.808,0.651,0.666,0.491,0.621,0.404,0.692,0.533,0.637,0.317,0.681,0.485,0.651,0.452,0.596,0.355,0.574,0.362,0.677,0.559,0.593,0.342,0.545,0.395,0.703,0.554,0.69,0.585,0.685,0.616,0.753,0.555,0.745,0.514,0.66,0.35,0.665,0.354,0.661,0.475,0.65,0.512,0.702,0.52,0.629,0.369
HTT,0.904563108098211,0.839305572018065,0.898170716833147,0.791655589319887,0.98337788570483,0.858768761444361,0.691090213578282,0,0.912510034131587,0.624755087514339,0.725180960750915,0,0.913638125671148,0.600904353350679,0.475,0.342,0.881552810473364,0.377241174006376,0.835869308541199,0.96586759481409,0.999999999826092,0.971718765598675,0.992958243520264,0.999999999828321,0,0.515767115521948,0,0.794462109007742,0.314,0.736410802978668,0.991106994795902,0.606526300296961,0.556,0.421,0.972552744438576,0.87163646681032,0.916843139868745,0.509831132345574,0.802494854947854,0,0.869206594162169,0,0.710437592552654,0,0.713799198559793,0,0.69822420193033,0,0.660121616374787,0,0.562012632131834,0,0,0.543681729911317,0.658057131090055,0,0.939743360550953,0.390239645839322,0.98080286386132,0.634017110282648,0.825810011337413,0.434867886100073,0.949947397306921,0.43763707362611,0.980828267969594,0.430697325085688,0.922360103753408,0.363833696155056,0.969299601563092,0.641239253059702,0.828576539684057,0.438565198795793,0.848906456905245,0.462234871763994,0.878101266194311,0.467482744701866,0.95920902635111,0.545807662746345,0.909734451096415,0.559236628586964
LARP7,0.664,0.404,0.891,0.528,0.501,0.747,0.592,0.326,0.753,0.336,0.585,0.354,0.337,0.7,0.632,0.476,0.814,0.528,0.937,0.953,0.367,0.917,0.45,0.937,0.656,0.6,0.957,0.866,0.657,0.527,0.954,0.837,0.494,0.958,0.949,0.858,0.813,0.518,0.753,0.358,0.547,0.567,0.632,0.58,0.719,0.508,0.346,0.562,0.325,0.351,0.703,0.37,0.787,0.596,0.791,0.336,0.796,0.509,0.696,0.601,0.357,0.46,0.663,0.622,0.845,0.438,0.687,0.463,0.497,0.353,0.423,0.416,0.761,0.419,0.534,0.55,0.564,0.533,0.332,0.496
