"","dPSI_NGN2_2194943_3x"
"PPIP5K1",0.854797091465458
"LIMCH1",0.805
"ARL15",0.698
"ASCC3",0.587254230366357
"AC136604.3",0.574566618550829
"POMT2",0.552
"PDE7A",0.546
"TRAPPC13",0.522
"PHOX2B-AS1",0.521341566749868
"SENP6",0.511166990901718
"LRRC42",0.494
"HDX",0.463
"DENND1A",0.451897940442332
"SNAI3-AS1",0.444465287010977
"ABCB8",0.438
"ENAH",0.411726318110683
"CLASP2",0.4106108897273
"DHFR",0.404916771355267
"KDM6A",0.4
"TMEM116",0.397
"CACNA1C",0.396779579571464
"STRN3",0.394
"ZFP82",0.392909591465192
"AXIN1",0.39
"TRIM65",0.377
"RAF1",0.37
"TAF2",0.37
"LARP7",0.369
"AC138894.1",0.36
"TENT2",0.357425110444275
"RAPGEF1",0.356
"WDR27",0.349
"WDR17",0.343294097822353
"LINC00963",0.338
"SKP1",0.331
"SLC25A17",0.33
"DLGAP4",0.324
"CLN3",0.319
"ADAM17",0.318
"STXBP5L",0.3131944813688
"EXOC6B",0.302089083565486
"SERGEF",0.302
"SNHG5",0.289558562508612
"CDC37L1",0.282955602256759
"SULF1",0.276749561075348
"ENOX1",0.257536240228221
"KLHL1",0.252116237294518
