"","dPSI_Sy5Y_1755497_10x_bridge"
"KCNT2",0.917
"POMT2",0.905
"C12orf4",0.850041680089939
"ASAP1",0.821
"AC009022.1",0.817413586905366
"ARL15",0.806
"AL589743.1",0.80259490221593
"CACNA2D1",0.747642161611095
"PDXDC2P",0.740669411725829
"HTT",0.740526821330682
"EVC",0.736565877633868
"OCLN",0.732675943673428
"WDR27",0.723596349127503
"OCLNP1",0.722177282920931
"HDX",0.718
"LINC02210",0.717373923417895
"PDE7A",0.712
"CHRM2",0.678995449003014
"LARP7",0.667
"LRRC42",0.644
"GXYLT1",0.612992457236559
"FHOD3",0.600793967628263
"MAOA",0.6
"RAB3IP",0.599
"ADAMTS19",0.585866317757337
"MED17",0.584
"ASAP2",0.583
"TPTEP2",0.578783526819684
"TAF2",0.567
"DUXAP9",0.562220849336924
"ZMYM6",0.561144558965594
"LYRM1",0.556
"KDM6A",0.549
"CTNS",0.54101968567171
"DYRK1A",0.538073857682951
"PSMA1",0.538039911663412
"MACROD2",0.532138292488725
"ZNF37BP",0.529082097665323
"LIMCH1",0.524
"TRAPPC13",0.522
"ERGIC3",0.504
"APPL2",0.50279020328055
"MELTF",0.500666485836561
"EHHADH",0.488
"TET1",0.487967151088611
"CIP2A",0.479333169192764
"NCAM1",0.470732068195687
"SPIDR",0.466302050204128
"ABCB8",0.466
"AXIN1",0.464
"NIPA1",0.461711488047633
"NUP58",0.458
"WDR17",0.457
"SKP1",0.456051991400226
"SMN1",0.44979802302495
"APLP2",0.443
"EXOC6B",0.44
"AL713999.1",0.438811535945667
"DLGAP4",0.438371231200733
"PDXDC1",0.431670268286516
"VPS29",0.425
"MMS22L",0.42441019311665
"FAAP20",0.42
"COG4",0.418638963070731
"TRAF5",0.418
"SDCBP2-AS1",0.411
"DGKI",0.405640649769599
"SHOC2",0.403425162857323
"MYCBP2",0.403
"MANBA",0.402304664959954
"ZMIZ2",0.401
"DENND4A",0.398
"WDR90",0.398
"AC114490.2",0.397743623190348
"PNISR",0.397628332791735
"AC022433.1",0.397507103860264
"DHFR",0.396723190335371
"BECN1",0.396521165621482
"GGCT",0.39
"GNAQ",0.388638617653757
"FOXM1",0.388
"ZFP82",0.385204726331846
"TENT2",0.384788259158042
"L3MBTL2",0.381897610978578
"RBFOX1",0.381377520941013
"ZNF680",0.379494791472724
"SFT2D1",0.376
"STOX2",0.372463357855968
"MIR9-3HG",0.371
"TMEM50B",0.369327252221101
"ZNF618",0.369
"PHOX2B-AS1",0.363420768643623
"PRICKLE1",0.362321071998617
"ELMO2",0.361
"ENAH",0.360493613312135
"ARMCX6",0.359287490704989
"LINC02249",0.352675124017389
"SMN2",0.351284284198852
"NOX4",0.350568928874058
"SLC7A6",0.344614373519866
"STXBP1",0.344157312890834
"WDR45",0.342
"CHEK1",0.341
"SENP6",0.339
"SLC25A17",0.338
"ZNF726",0.331309188567991
"TMEM214",0.328102572210454
"ANKS3",0.328
"SNX24",0.321530647850008
"CHD9",0.32132510914125
"MADD",0.32
"TARBP1",0.32
"FGD4",0.316714395732109
"SF3B3",0.316523574234363
"TCF4",0.316344384852302
"STRN3",0.315
"C14orf132",0.313
"CLK4",0.301
"WNK1",0.296730893438976
"SGIP1",0.294702222751003
"DNAJC27",0.289926631356782
"AL133163.3",0.280703189896594
"ZNF730",0.280660867077271
"RCC1",0.278158397831217
"NSMF",0.276438611416842
"LRIG2",0.272029719445487
"MLLT10",0.268696579362495
"CACNB1",0.265008089855453
"KIF21A",0.263544385412596
"ADGRL1",0.262242134379477
"SREK1",0.261946596407401
"TIAM1",0.258782540265342
"RAF1",0.258158734940326
"NPHP3",0.257003061082171
"DIPK1B",0.253157463342053
"TPT1-AS1",0.250930369931442
