"","dPSI_Sy5Y_2194943_10x"
"KCNT2",0.895
"ASAP1",0.847
"ARL15",0.778
"HDX",0.702
"MAOA",0.699
"POMT2",0.696
"PDE7A",0.683
"CHRM2",0.670150637397825
"WDR27",0.594295074159122
"ASAP2",0.588
"AL589743.1",0.585537519839475
"LRRC42",0.581
"LINC02210",0.560461410116908
"LYRM1",0.545
"LIMCH1",0.52
"MADD",0.519
"TPTEP2",0.51558331200913
"LARP7",0.514
"ERGIC3",0.51
"SENP6",0.505680451762643
"TAF2",0.501
"SPIDR",0.5004408453884
"OCLNP1",0.499510418248402
"EXOC6B",0.484
"MELTF",0.475429950651739
"C12orf4",0.474491988579236
"ZNF37BP",0.466204754708924
"EHHADH",0.465457879109537
"SMN1",0.462241788343708
"ENAH",0.458086614460197
"EVC",0.447530268769966
"WDR17",0.441
"C14orf132",0.434923376171556
"VPS29",0.432
"CLK4",0.431
"KDM6A",0.431
"PHOX2B-AS1",0.422039361444012
"TIAM1",0.420817488405711
"NHSL2",0.413229996763347
"DHFR",0.412351209334195
"AXIN1",0.407
"FOXM1",0.39812946894405
"APPL2",0.387678706018395
"ZMIZ2",0.384
"ZFP82",0.379619402368078
"ABCB8",0.375
"MYCBP2",0.374
"GGCT",0.368
"SFT2D1",0.365
"SPG7",0.359
"SMN2",0.358022848092446
"SLC25A17",0.356
"ZMYM2",0.356
"TRIM27",0.355
"ZMYM6",0.352469307164637
"MIR9-3HG",0.35
"CHEK1",0.343
"ZNF618",0.342350576735526
"SDCBP2-AS1",0.334
"MTMR3",0.330559618760791
"TENT2",0.326359351095352
"STRN3",0.315
"APLP2",0.313
"ARMCX6",0.311194301201209
"FBXO7",0.309
"NUP58",0.300555169849608
"ADGRL1",0.300352745636909
"VDAC3",0.295758903867978
"RCC1",0.283664674649152
"PNISR",0.275291697385437
"GXYLT1",0.263406275824695
"GPI",0.262836604395648
"ZNF730",0.257219908596337
"PPP1R26",0.25562591692061
"FAM162A",0.250583123035152
"SF3B3",0.250202968059343
