"","dPSI_iPSC_2006152_3x_bridge"
"DLGAP4",0.68
"SKP1",0.605239770472084
"ARL15",0.549
"ARFIP1",0.492905166204452
"AC104109.3",0.490227365169488
"C12orf4",0.47115893651281
"POMT2",0.448
"MYCBP2",0.439442945567731
"KDM6A",0.412138299985724
"LARS1",0.412
"RASSF8-AS1",0.408
"SENP6",0.407490102702245
"SMTN",0.406
"HDX",0.404099129492865
"TPTEP2",0.396552654707858
"KLHDC4",0.395
"ALDH3A2",0.387148297764359
"ASAP1",0.384
"KIAA1549L",0.382
"GRAMD2B",0.376531261298752
"MADD",0.355766342706338
"MATK",0.352383401491434
"RUBCNL",0.345
"LARP7",0.334
"PDE7A",0.318
"HIP1",0.313556670685202
"FOXM1",0.308319227752524
"TAF2",0.30507973497521
"STRN3",0.303
"NAV2",0.301
"HARS1",0.3
"EXOC6B",0.274536648090986
"CYTH2",0.272936269426192
"ZFP82",0.25405099255135
